"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Hanno svolto periodi di studio all'estero nel corso degli studi universitari (%)";"7,6";"4,6";"7,9";"7,8";"13,2"
"Con Erasmus o altro programma dell'Unione Europea";"5,5";"3,9";"6,7";"6,0";"6,4"
"Altra esperienza riconosciuta dal corso di studi";"1,3";"0,2";"0,7";"1,2";"3,9"
"Iniziativa personale";"0,9";"0,6";"0,4";"0,6";"2,9"
"Non hanno compiuto studi all'estero";"91,8";"94,5";"91,8";"92,0";"86,4"
"1 o più esami all'estero convalidati (%)";"4,2";"2,2";"4,5";"5,4";"5,7"
"Hanno preparato all'estero una parte significativa della tesi (%)";"7,0";"4,4";"6,7";"4,2";"17,1"
"Hanno svolto tirocini/stage o lavoro riconosciuti dal corso di laurea (%)";"44,1";"42,6";"24,7";"62,8";"31,8"
"Tirocini organizzati dal corso e svolti presso l'università";"22,3";"20,4";"12,4";"35,8";"11,1"
"Tirocini organizzati dal corso e svolti al di fuori dell'università";"16,4";"17,6";"9,4";"18,3";"17,5"
"Attività di lavoro successivamente riconosciute dal corso";"4,3";"3,1";"2,6";"7,4";"2,5"
"Nessuna esperienza di tirocinio o lavoro riconosciuto";"54,2";"56,1";"73,4";"35,2";"66,4"
"Mesi impiegati per la tesi/prova finale (medie)";"5,6";"4,3";"4,6";"4,4";"8,6"
"6. LAVORO DURANTE GLI STUDI"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Hanno esperienze di lavoro (%) ";"60,8";"59,6";"65,2";"56,7";"66,4"
"Lavoratori-studenti";"3,1";"2,6";"6,7";"2,6";"1,4"
"Altre esperienze di lavoro con continuità a tempo pieno";"3,2";"2,8";"4,1";"2,8";"3,9"
"Lavoro a tempo parziale";"14,4";"14,3";"16,1";"13,3";"15,0"
"Lavoro occasionale, saltuario, stagionale";"40,1";"40,0";"38,2";"38,0";"46,1"
"Nessuna esperienza di lavoro";"38,7";"39,6";"34,5";"43,3";"32,9"
"Lavoro coerente con gli studi";"11,7";"10,1";"18,0";"6,4";"18,6"
"7. GIUDIZI SULL'ESPERIENZA UNIVERSITARIA"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Sono complessivamente soddisfatti del corso di laurea (%)";" ";" ";" ";" ";" "
"Decisamente sì";"25,4";"24,6";"30,0";"26,0";"21,4"
"Più sì che no";"58,5";"58,9";"52,4";"59,8";"61,1"
"Più no che sì";"13,9";"14,1";"15,4";"12,3";"14,6"
"Decisamente no";"1,7";"1,8";"1,5";"1,4";"2,1"
"Sono soddisfatti dei rapporti con i docenti in generale (%)";" ";" ";" ";" ";" "
"Decisamente sì";"10,7";"9,2";"18,4";"8,9";"9,6"
"Più sì che no";"61,7";"63,7";"58,4";"59,0";"65,7"
"Più no che sì";"23,7";"24,0";"18,7";"26,4";"22,9"
"Decisamente no";"1,6";"1,5";"1,9";"2,2";"0,4"
"Sono soddisfatti dei rapporti con gli studenti (%)";" ";" ";" ";" ";" "
"Decisamente sì";"47,7";"50,1";"51,3";"41,9";"50,0"
"Più sì che no";"43,7";"41,8";"41,6";"47,7";"42,1"
"Più no che sì";"5,3";"5,5";"3,7";"5,8";"5,7"
"Decisamente no";"0,8";"0,7";"0,4";"1,0";"0,7"
"Valutazione delle aule (%)";" ";" ";" ";" ";" "
"Sempre o quasi sempre adeguate";"9,1";"7,2";"13,9";"7,4";"11,4"
"Spesso adeguate";"41,6";"34,1";"48,7";"45,1";"42,9"
"Raramente adeguate";"40,4";"45,7";"31,5";"39,8";"40,0"
"Mai adeguate";"8,4";"12,8";"6,0";"6,8";"5,0"
"Non utilizzate";"0,1";"-";"-";"0,2";"0,4"
"Valutazione delle postazioni informatiche (%)";" ";" ";" ";" ";" "
"Presenti e in numero adeguato";"11,5";"7,9";"28,8";"10,7";"3,2"
"Presenti, ma in numero inadeguato";"44,9";"42,0";"51,7";"55,7";"24,6"
"Non presenti";"26,7";"28,1";"10,1";"16,5";"58,2"
"Non utilizzate";"16,4";"21,7";"9,4";"16,5";"12,9"
"Valutazione delle biblioteche (prestito/consultazione, orari di apertura ...) (%)";" ";" ";" ";" ";" "
"Decisamente positiva";"11,5";"12,7";"13,1";"13,3";"4,6"
"Abbastanza positiva";"52,6";"54,5";"52,4";"58,3";"38,9"
"Abbastanza negativa";"16,8";"14,9";"14,6";"10,7";"33,6"
"Decisamente negativa";"6,5";"7,0";"1,5";"4,0";"15,0"
"Non utilizzate";"11,8";"10,3";"18,0";"12,9";"6,8"
"Il carico di studio degli insegnamenti è stato adeguato alla durata del corso di studio? (%)";" ";" ";" ";" ";" "
"Decisamente sì";"5,3";"4,8";"6,4";"4,8";"6,1"
"Più sì che no";"14,4";"13,8";"15,7";"13,1";"16,8"
"Più no che sì";"9,2";"7,5";"7,5";"9,7";"12,9"
"Decisamente no";"2,2";"0,9";"3,0";"2,0";"4,3"
"Si iscriverebbero di nuovo all'università? (%) ";" ";" ";" ";" ";" "
"Sì, allo stesso corso dell'Ateneo";"56,9";"58,2";"64,0";"61,0";"40,0"
"Sì, ma ad un altro corso dell'Ateneo";"6,1";"8,3";"5,2";"4,8";"5,4"
"Sì, allo stesso corso ma in un altro Ateneo";"28,1";"21,8";"24,7";"28,2";"43,2"
"Sì, ma ad un altro corso e in un altro Ateneo";"6,1";"8,4";"4,1";"3,8";"7,5"
"Non si iscriverebbero più all'università";"2,4";"2,9";"1,5";"1,6";"3,9"
"8. CONOSCENZE LINGUISTICHE E INFORMATICHE"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Lingue straniere: conoscenza "almeno buona" (%)";" ";" ";" ";" ";" "
"Inglese scritto";"75,9";"69,4";"82,4";"81,9";"71,4"
"Inglese parlato";"68,2";"62,8";"76,0";"71,0";"66,1"
"Francese scritto";"8,3";"8,3";"6,4";"4,8";"16,8"
"Francese parlato";"8,2";"8,1";"6,0";"4,6";"17,1"
"Spagnolo scritto";"4,7";"3,5";"4,9";"5,6";"5,4"
"Spagnolo parlato";"5,1";"3,7";"4,9";"6,0";"6,4"
"Tedesco scritto";"0,6";"0,4";"0,7";"0,8";"0,4"
"Tedesco parlato";"0,6";"0,6";"0,7";"0,4";"0,7"
"Strumenti informatici: conoscenza "almeno buona" (%) ";" ";" ";" ";" ";" "
"Navigazione in Internet e comunicazione in rete";"93,6";"94,1";"95,9";"91,8";"93,6"
"Word processor";"84,5";"83,7";"90,3";"81,5";"86,1"
"Fogli elettronici";"80,4";"85,5";"83,5";"77,1";"73,2"
"Strumenti di presentazione";"67,4";"67,5";"65,9";"62,8";"76,8"
"Sistemi operativi";"68,8";"66,8";"83,1";"62,4";"70,4"
"Multimedia";"58,6";"60,7";"58,4";"51,9";"66,4"
"Linguaggi di programmazione";"27,9";"17,4";"67,4";"27,6";"11,1"
"Data base";"29,6";"30,1";"46,4";"27,0";"17,1"
"Realizzazione siti web";"16,9";"12,1";"36,3";"13,1";"14,6"
"Reti di trasmissione dati";"24,5";"20,9";"46,4";"19,5";"19,3"
"CAD/CAM/CAE - progettazione assistita";"70,0";"79,8";"39,7";"63,0";"92,5"
"9. PROSPETTIVE DI STUDIO"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Intendono proseguire gli studi (%)";"65,6";"70,3";"65,9";"62,8";"61,1"
"Laurea triennale";"0,4";"0,7";"-";"0,2";"0,7"
"Laurea magistrale";"46,0";"56,1";"54,7";"51,5";"7,9"
"Dottorato di ricerca";"4,6";"3,7";"6,7";"2,8";"7,5"
"Diploma accademico (Alta Formazione Artistica e Musicale) ";"0,1";"-";"-";"-";"0,4"
"Scuola di specializzazione post-laurea";"2,0";"1,5";"0,4";"0,4";"7,5"
"Master universitario";"6,1";"4,0";"2,6";"3,6";"18,2"
"Altro tipo di master o corso di perfezionamento";"1,7";"1,3";"1,1";"1,2";"3,9"
"Tirocinio, praticantato";"1,9";"1,1";"0,4";"1,4";"6,1"
"Attività sostenuta da borsa o assegno di studio";"1,1";"0,4";"-";"0,6";"4,3"
"Altre attività di qualificazione professionale";"1,4";"1,1";"-";"0,6";"4,6"
"Non intendono proseguire";"34,3";"29,4";"34,1";"37,2";"38,9"
"10. PROSPETTIVE DI LAVORO"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Sono interessati a lavorare nelle seguenti aree aziendali: decisamente sì (%)";" ";" ";" ";" ";" "
"Acquisti";"17,1";"15,0";"12,7";"26,2";"8,6"
"Amministrazione, contabilità";"20,8";"23,5";"15,7";"27,2";"8,9"
"Assistenza tecnica";"25,1";"32,7";"31,5";"22,1";"10,0"
"Commerciale, vendite";"16,9";"17,6";"11,6";"22,1";"11,1"
"Controllo di gestione";"31,0";"29,7";"28,8";"44,3";"11,4"
"Finanza";"15,8";"14,1";"12,7";"25,4";"4,6"
"Legale";"6,6";"9,5";"6,7";"5,2";"3,6"
"Logistica, distribuzione";"26,7";"26,1";"19,9";"41,4";"8,2"
"Marketing, comunicazione, pubbliche relazioni";"21,7";"18,3";"13,9";"29,2";"22,1"
"Organizzazione, pianificazione";"43,7";"50,3";"29,6";"47,5";"37,5"
"Produzione";"42,2";"31,7";"42,7";"59,0";"31,8"
"Ricerca e sviluppo";"49,3";"41,5";"60,3";"57,1";"40,0"
"Risorse umane, selezione, formazione";"20,8";"21,5";"15,7";"26,2";"14,6"
"Segreteria, affari generali";"12,9";"17,1";"12,0";"12,7";"6,1"
"Sistemi informativi, EDP";"17,1";"14,1";"40,1";"14,5";"5,4"
"Aspetti ritenuti rilevanti nella ricerca del lavoro: decisamente sì (%)";" ";" ";" ";" ";" "
"Acquisizione di professionalità";"80,6";"81,8";"77,5";"78,7";"84,3"
"Possibilità di carriera";"73,5";"74,7";"72,7";"75,3";"68,6"
"Possibilità di guadagno";"61,4";"63,1";"60,3";"60,8";"60,4"
"Stabilità/sicurezza del posto di lavoro";"70,2";"74,3";"69,3";"68,8";"65,7"
"Rispondenza a interessi culturali";"38,1";"41,5";"30,0";"28,6";"56,1"
"Coerenza con gli studi";"50,8";"54,1";"49,4";"43,9";"57,9"
"Utilità sociale del lavoro";"27,1";"30,1";"20,6";"23,3";"34,6"
"Prestigio ricevuto dal lavoro";"35,0";"40,9";"28,1";"34,6";"31,1"
"Coinvolgimento e partecipazione all’attività lavorativa e ai processi decisionali";"42,0";"43,3";"35,2";"45,5";"39,6"
"Indipendenza o autonomia";"46,5";"49,2";"43,4";"42,1";"52,1"
"Flessibilità dell’orario di lavoro";"20,8";"23,5";"15,7";"18,9";"23,9"
"Rapporti con i colleghi sul luogo di lavoro";"38,4";"38,7";"35,2";"37,6";"42,1"
"Luogo di lavoro (ubicazione, caratteristiche fisiche dell’ambiente di lavoro)";"27,8";"30,1";"25,5";"25,8";"29,3"
"Tempo libero";"23,1";"23,1";"21,3";"21,3";"27,9"
"Opportunità di contatti con l'estero";"16,2";"15,0";"16,1";"14,3";"22,1"
"Possibilità di utilizzare al meglio le competenze acquisite";"19,4";"17,1";"20,6";"16,3";"28,6"
"Sono interessati a lavorare nei seguenti settori: decisamente sì (%)";" ";" ";" ";" ";" "
"Pubblico";"15,5";"16,7";"17,2";"11,9";"18,2"
"Privato (compreso l'avvio di un'attività autonoma/in conto proprio)";"20,6";"16,9";"24,3";"19,3";"26,4"
"Disponibilità a lavorare per tipo di relazione contrattuale: decisamente sì (%)";" ";" ";" ";" ";" "
"ORARIO/MODALITA' LAVORATIVA";" ";" ";" ";" ";" "
"Tempo pieno";"90,7";"87,7";"94,4";"93,6";"87,5"
"Part-time";"26,0";"27,9";"21,7";"18,9";"38,9"
"Telelavoro";"10,8";"14,3";"11,6";"6,6";"10,7"
"CONTRATTO";" ";" ";" ";" ";" "
"Tempo indeterminato";"90,8";"89,4";"94,0";"93,6";"85,7"
"A tempo determinato";"28,4";"27,9";"26,6";"27,8";"32,1"
"Collaborazione (compreso lavoro a progetto)";"27,5";"33,4";"20,2";"20,3";"35,7"
"Inserimento (ex formazione e lavoro)";"22,6";"25,0";"19,1";"21,3";"23,9"
"Stage";"23,8";"27,5";"19,9";"19,3";"28,2"
"Apprendistato";"18,9";"20,2";"17,6";"15,7";"23,2"
"Lavoro interinale";"14,0";"17,4";"12,4";"10,3";"15,7"
"Autonomo/in conto proprio";"42,4";"49,5";"33,0";"32,6";"55,0"
"Disponibilità a lavorare nelle seguenti aree geografiche: decisamente sì (%)";" ";" ";" ";" ";" "
"Provincia di residenza";"66,3";"69,7";"70,4";"63,2";"61,4"
"Provincia degli studi";"21,4";"20,6";"22,1";"18,1";"28,2"
"Regione degli studi";"20,2";"19,1";"22,5";"17,7";"24,6"
"Italia settentrionale";"50,8";"51,2";"50,2";"52,9";"46,8"
"Italia centrale";"49,1";"48,4";"48,3";"52,1";"45,7"
"Italia meridionale";"51,0";"53,8";"53,9";"48,7";"46,8"
"Stato europeo";"59,4";"55,2";"63,3";"58,6";"65,4"
"Stato extraeuropeo";"46,2";"42,4";"50,9";"45,1";"51,1"
"Disponibilità ad effettuare trasferte di lavoro (%)";" ";" ";" ";" ";" "
"Sì, anche con trasferimenti di residenza";"61,6";"59,6";"60,3";"62,6";"65,0"
"Sì, anche frequenti (senza cambi di residenza)";"27,6";"29,7";"30,0";"26,2";"23,6"
"Sì, ma solo in numero limitato";"8,7";"8,4";"8,6";"8,9";"8,6"
"Non disponibili a trasferte";"0,4";"0,6";"-";"-";"1,1"
