"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"In una provincia limitrofa";"25,2";"25,3";"27,0";"25,0";"23,3"
"In una provincia non limitrofa, ma nella stessa ripartizione geografica";"8,4";"8,3";"8,4";"8,7";"8,1"
"Al Sud, ma si sono laureati al Centro-Nord";"-";"-";"-";"-";"-"
"Al Centro, ma si sono laureati al Nord o al Sud";"0,2";"-";"0,3";"0,4";"-"
"Al Nord, ma si sono laureati al Centro-Sud";"-";"-";"-";"-";"-"
"All'estero";"0,4";"0,5";"1,0";"-";"-"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Hanno precedenti esperienze universitarie (%) ";"35,9";"38,3";"43,4";"40,5";"9,2"
"Portate a termine";"32,6";"34,7";"41,4";"38,4";"1,8"
"Non portate a termine";"3,4";"3,6";"2,1";"2,2";"7,5"
"Nessuna precedente esperienza universitaria";"63,8";"61,2";"56,6";"59,1";"90,8"
"Motivazioni molto importanti nella scelta del corso di laurea (%) ";" ";" ";" ";" ";" "
"Fattori sia culturali sia professionalizzanti";"53,1";"52,4";"59,3";"52,7";"47,8"
"Fattori prevalentemente culturali";"18,3";"20,6";"12,8";"11,8";"35,1"
"Fattori prevalentemente professionalizzanti";"14,8";"11,0";"16,9";"21,9";"4,8"
"Né gli uni né gli altri";"13,8";"15,8";"11,0";"13,6";"12,3"
"Età all'immatricolazione (%) ";" ";" ";" ";" ";" "
"Regolare o 1 anno di ritardo";"85,4";"81,3";"79,7";"88,3";"95,8"
"2 o più anni di ritardo";"14,6";"18,7";"20,3";"11,7";"4,2"
"Punteggio degli esami (medie, in 30-mi) ";"25,9";"25,9";"26,2";"25,5";"26,7"
"Voto di laurea (medie, in 110-mi) ";"102,6";"102,6";"103,3";"100,5";"107,1"
"Regolarità negli studi (%) ";" ";" ";" ";" ";" "
"In corso";"19,3";"19,1";"16,6";"25,2";"8,9"
"1° anno fuori corso";"31,7";"31,2";"33,1";"32,7";"28,8"
"2° anno fuori corso";"18,8";"19,7";"17,6";"17,4";"21,6"
"3° anno fuori corso";"10,0";"8,9";"10,5";"10,1";"11,4"
"4° anno fuori corso";"7,1";"6,9";"7,1";"5,9";"10,6"
"5° anno fuori corso e oltre";"13,2";"14,2";"15,2";"8,7";"18,6"
"Durata degli studi (medie, in anni) ";"5,4";"5,2";"5,5";"4,6";"7,6"
"Ritardo alla laurea (medie, in anni) ";"2,0";"2,0";"2,4";"1,6";"2,3"
"Indice di ritardo (rapporto fra ritardo e durata legale del corso) ";"0,64";"0,68";"0,81";"0,56";"0,49"
"5. CONDIZIONI DI STUDIO"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Hanno alloggiato a meno di un'ora di viaggio dalla sede degli studi (%)";" ";" ";" ";" ";" "
"Più del 50% della durata degli studi";"75,5";"73,2";"73,4";"77,8";"78,5"
"Meno del 50%";"23,9";"26,1";"25,5";"21,9";"21,1"
"Hanno frequentato regolarmente (%)";" ";" ";" ";" ";" "
"Più del 75% degli insegnamenti previsti";"82,1";"80,8";"82,4";"78,1";"95,2"
"Tra il 50% e il 75%";"12,6";"14,8";"11,0";"14,9";"3,5"
"Tra il 25% e il 50%";"3,7";"3,3";"4,5";"4,7";"1,3"
"Meno del 25%";"1,3";"0,9";"2,1";"2,0";"-"
"Hanno usufruito del servizio di borse di studio (%)";"24,1";"25,9";"28,3";"18,8";"27,2"
"Hanno svolto periodi di studio all'estero nel corso degli studi universitari (%)";"8,6";"5,2";"6,9";"10,6";"14,9"
"Con Erasmus o altro programma dell'Unione Europea";"6,3";"4,5";"5,2";"7,9";"8,3"
"Altra esperienza riconosciuta dal corso di studi";"1,0";"0,3";"0,3";"1,3";"3,1"
"Iniziativa personale";"1,3";"0,3";"1,4";"1,4";"3,5"
"Non hanno compiuto studi all'estero";"91,3";"94,7";"93,1";"89,2";"85,1"
"1 o più esami all'estero convalidati (%)";"4,5";"2,9";"2,1";"6,3";"7,5"
"Hanno preparato all'estero una parte significativa della tesi (%)";"6,8";"2,6";"5,2";"7,0";"18,9"
"Hanno svolto tirocini/stage o lavoro riconosciuti dal corso di laurea (%)";"44,3";"45,9";"21,4";"63,8";"21,9"
"Tirocini organizzati dal corso e svolti presso l'università";"26,3";"25,6";"10,3";"41,9";"10,1"
"Tirocini organizzati dal corso e svolti al di fuori dell'università";"13,6";"16,5";"7,6";"15,2";"9,6"
"Attività di lavoro successivamente riconosciute dal corso";"4,0";"3,4";"3,4";"5,9";"1,3"
"Nessuna esperienza di tirocinio o lavoro riconosciuto";"54,5";"52,6";"76,6";"35,7";"77,2"
"Mesi impiegati per la tesi/prova finale (medie)";"5,4";"4,5";"4,7";"4,6";"8,6"
"6. LAVORO DURANTE GLI STUDI"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Hanno esperienze di lavoro (%) ";"59,2";"60,1";"60,7";"56,6";"61,0"
"Lavoratori-studenti";"3,6";"3,8";"5,2";"2,9";"2,6"
"Altre esperienze di lavoro con continuità a tempo pieno";"2,0";"1,2";"3,4";"2,3";"1,3"
"Lavoro a tempo parziale";"14,7";"15,3";"15,5";"14,7";"12,3"
"Lavoro occasionale, saltuario, stagionale";"38,9";"39,9";"36,6";"36,7";"44,7"
"Nessuna esperienza di lavoro";"40,5";"39,5";"39,3";"42,8";"39,0"
"Lavoro coerente con gli studi";"12,4";"11,5";"13,4";"10,4";"18,4"
"7. GIUDIZI SULL'ESPERIENZA UNIVERSITARIA"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Sono complessivamente soddisfatti del corso di laurea (%)";" ";" ";" ";" ";" "
"Decisamente sì";"23,5";"21,8";"23,1";"28,7";"15,8"
"Più sì che no";"58,7";"60,0";"56,2";"57,3";"62,3"
"Più no che sì";"15,7";"15,8";"19,3";"11,8";"20,2"
"Decisamente no";"1,7";"2,2";"1,0";"1,6";"1,8"
"Sono soddisfatti dei rapporti con i docenti in generale (%)";" ";" ";" ";" ";" "
"Decisamente sì";"8,8";"7,9";"14,1";"7,9";"6,6"
"Più sì che no";"59,3";"61,0";"50,0";"60,8";"63,6"
"Più no che sì";"26,9";"26,1";"30,7";"26,3";"25,4"
"Decisamente no";"1,9";"1,9";"2,4";"1,8";"1,8"
"Sono soddisfatti dei rapporti con gli studenti (%)";" ";" ";" ";" ";" "
"Decisamente sì";"49,3";"50,9";"55,5";"48,6";"39,5"
"Più sì che no";"40,7";"39,0";"33,8";"42,8";"48,7"
"Più no che sì";"5,6";"5,0";"4,5";"5,4";"9,2"
"Decisamente no";"1,2";"1,7";"2,8";"0,4";"-"
"Valutazione delle aule (%)";" ";" ";" ";" ";" "
"Sempre o quasi sempre adeguate";"8,5";"8,2";"13,4";"7,5";"5,3"
"Spesso adeguate";"39,5";"36,8";"41,0";"46,1";"28,5"
"Raramente adeguate";"42,8";"42,6";"38,3";"38,9";"58,3"
"Mai adeguate";"8,9";"11,9";"6,9";"7,2";"7,9"
"Non utilizzate";"0,1";"0,2";"-";"-";"-"
"Valutazione delle postazioni informatiche (%)";" ";" ";" ";" ";" "
"Presenti e in numero adeguato";"11,5";"6,5";"24,8";"13,4";"2,6"
"Presenti, ma in numero inadeguato";"50,7";"45,9";"60,7";"58,4";"31,1"
"Non presenti";"23,9";"27,1";"9,3";"14,7";"56,6"
"Non utilizzate";"13,3";"19,6";"4,8";"12,9";"9,2"
"Valutazione delle biblioteche (prestito/consultazione, orari di apertura ...) (%)";" ";" ";" ";" ";" "
"Decisamente positiva";"12,4";"14,4";"14,5";"12,7";"3,5"
"Abbastanza positiva";"54,5";"56,0";"52,4";"56,5";"48,7"
"Abbastanza negativa";"16,2";"14,1";"14,5";"14,5";"27,6"
"Decisamente negativa";"7,7";"7,6";"6,2";"4,8";"17,1"
"Non utilizzate";"8,6";"7,4";"11,4";"10,9";"2,6"
"Ritengono che il carico di studio degli insegnamenti sia stato sostenibile (%)";" ";" ";" ";" ";" "
"Decisamente sì";"11,0";"12,4";"9,7";"10,9";"9,6"
"Più sì che no";"61,3";"62,9";"61,0";"62,4";"55,3"
"Si iscriverebbero di nuovo all'università? (%) ";" ";" ";" ";" ";" "
"Sì, allo stesso corso dell'Ateneo";"58,1";"59,3";"54,8";"63,4";"46,1"
"Sì, ma ad un altro corso dell'Ateneo";"5,1";"7,6";"4,1";"2,9";"5,7"
"Sì, allo stesso corso ma in un altro Ateneo";"28,1";"22,9";"30,3";"28,0";"39,0"
"Sì, ma ad un altro corso e in un altro Ateneo";"6,3";"7,6";"7,6";"4,5";"6,1"
"Non si iscriverebbero più all'università";"1,7";"2,2";"2,8";"0,5";"1,8"
"8. CONOSCENZE LINGUISTICHE E INFORMATICHE"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Lingue straniere: conoscenza "almeno buona" (%)";" ";" ";" ";" ";" "
"Inglese scritto";"75,8";"68,2";"80,7";"81,0";"75,9"
"Inglese parlato";"66,9";"59,8";"70,7";"72,2";"67,5"
"Francese scritto";"9,5";"9,6";"7,6";"8,4";"14,0"
"Francese parlato";"9,0";"9,8";"6,2";"7,7";"14,0"
"Spagnolo scritto";"5,7";"5,8";"3,1";"5,7";"8,3"
"Spagnolo parlato";"6,3";"6,9";"3,1";"6,3";"9,2"
"Tedesco scritto";"0,8";"0,9";"0,3";"0,9";"1,3"
"Tedesco parlato";"0,7";"0,7";"0,3";"0,9";"0,4"
"Strumenti informatici: conoscenza "almeno buona" (%)";" ";" ";" ";" ";" "
"Navigazione in Internet e comunicazione in rete (e-mail, blog, forum, social network, ...)";"93,0";"92,1";"94,8";"92,8";"93,4"
"Word processor (elaborazione di testi)";"82,1";"81,4";"88,6";"76,5";"89,5"
"Fogli elettronici (Excel, ...)";"79,5";"83,0";"83,4";"74,7";"77,2"
"Strumenti di presentazione (PowerPoint, Keynote, Impress, ... )";"22,8";"18,4";"21,4";"25,1";"30,3"
"Sistemi operativi";"61,5";"59,1";"75,2";"55,7";"64,0"
"Multimedia (elaborazione di suoni, immagini, video)";"59,2";"61,0";"66,2";"49,6";"69,3"
"Linguaggi di programmazione";"29,5";"17,7";"67,6";"29,0";"12,3"
"Data base (Oracle, SQL server, Access, ...)";"30,4";"29,0";"46,2";"26,5";"23,2"
"Realizzazione siti web";"20,0";"16,3";"40,0";"14,5";"17,5"
"Reti di trasmissione dati";"25,2";"22,0";"50,0";"17,9";"19,7"
"CAD/CAM/CAE - Progettazione assistita";"69,1";"74,6";"36,9";"69,5";"95,2"
"9. PROSPETTIVE DI STUDIO"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Intendono proseguire gli studi (%)";"67,0";"74,4";"59,0";"64,3";"64,9"
"Laurea triennale";"0,2";"-";"-";"0,2";"0,9"
"Laurea magistrale";"48,2";"59,5";"46,2";"55,0";"5,3"
"Dottorato di ricerca";"3,3";"1,9";"5,9";"1,8";"7,5"
"Diploma accademico (Alta Formazione Artistica e Musicale) ";"0,1";"-";"-";"0,2";"0,4"
"Scuola di specializzazione post-laurea";"0,8";"0,7";"-";"0,4";"3,5"
"Master universitario";"6,5";"6,0";"1,7";"3,0";"21,9"
"Altro tipo di master o corso di perfezionamento";"1,9";"1,5";"0,3";"0,9";"7,5"
"Tirocinio, praticantato";"3,0";"3,3";"0,7";"1,8";"8,3"
"Attività sostenuta da borsa o assegno di studio";"1,4";"0,9";"1,7";"0,2";"5,7"
"Altre attività di qualificazione professionale";"1,3";"0,5";"2,1";"0,5";"3,9"
"Non intendono proseguire";"32,8";"25,3";"40,7";"35,5";"35,1"
"10. PROSPETTIVE DI LAVORO"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Sono interessati a lavorare nelle seguenti aree aziendali: decisamente sì (%)";" ";" ";" ";" ";" "
"Acquisti";"20,0";"16,3";"15,2";"29,9";"11,4"
"Amministrazione, contabilità";"24,5";"28,0";"20,3";"28,7";"10,5"
"Assistenza tecnica";"27,1";"34,5";"26,6";"23,8";"16,7"
"Commerciale, vendite";"19,4";"17,5";"15,9";"26,2";"11,8"
"Controllo di gestione";"34,6";"34,5";"29,7";"45,0";"15,4"
"Finanza";"18,3";"16,5";"17,9";"25,4";"6,1"
"Legale";"9,0";"12,5";"7,6";"8,1";"3,9"
"Logistica, distribuzione";"31,7";"26,6";"25,2";"48,2";"12,7"
"Marketing, comunicazione, pubbliche relazioni";"23,1";"17,7";"16,2";"33,9";"19,3"
"Organizzazione, pianificazione";"48,6";"49,8";"33,1";"59,0";"39,5"
"Produzione";"45,5";"38,7";"39,3";"63,1";"28,1"
"Ricerca e sviluppo";"51,9";"45,2";"60,0";"57,9";"44,3"
"Risorse umane, selezione, formazione";"25,9";"24,1";"22,4";"32,1";"19,7"
"Segreteria, affari generali";"14,5";"17,0";"13,8";"14,3";"9,6"
"Sistemi informativi, EDP";"21,8";"18,9";"47,9";"15,6";"11,0"
"Aspetti ritenuti rilevanti nella ricerca del lavoro: decisamente sì (%)";" ";" ";" ";" ";" "
"Acquisizione di professionalità";"80,3";"81,3";"80,0";"78,9";"81,6"
"Possibilità di carriera";"72,9";"72,9";"75,2";"74,4";"66,7"
"Possibilità di guadagno";"61,5";"64,3";"62,4";"60,0";"56,6"
"Stabilità/sicurezza del posto di lavoro";"71,1";"74,7";"68,3";"69,5";"69,3"
"Rispondenza a interessi culturali";"35,6";"40,0";"29,7";"28,9";"48,7"
"Coerenza con gli studi";"48,3";"50,2";"45,5";"46,4";"51,8"
"Utilità sociale del lavoro";"8,8";"9,6";"7,6";"8,2";"9,6"
"Prestigio ricevuto dal lavoro";"11,0";"10,7";"10,3";"11,6";"11,0"
"Coinvolgimento e partecipazione all’attività lavorativa e ai processi decisionali";"15,3";"13,2";"14,1";"17,0";"17,5"
"Indipendenza o autonomia";"45,1";"51,9";"36,9";"42,1";"45,6"
"Flessibilità dell’orario di lavoro";"6,2";"6,9";"6,6";"4,7";"7,9"
"Rapporti con i colleghi sul luogo di lavoro";"12,8";"10,1";"14,8";"12,9";"17,1"
"Luogo di lavoro (ubicazione, caratteristiche fisiche dell’ambiente di lavoro)";"8,1";"7,6";"5,9";"8,6";"11,4"
"Tempo libero";"21,1";"24,1";"19,3";"19,5";"19,7"
"Tipo di lavoro cercato (%)";" ";" ";" ";" ";" "
"Nessuna preferenza";"55,5";"56,0";"58,6";"52,0";"59,2"
"Alle dipendenze nel settore pubblico";"10,5";"14,8";"9,0";"6,8";"10,5"
"Alle dipendenze nel settore privato";"22,0";"13,4";"23,1";"33,5";"14,5"
"In conto proprio";"11,5";"15,1";"8,6";"7,3";"15,8"
"Disponibilità a lavorare per tipo di relazione contrattuale: decisamente sì (%)";" ";" ";" ";" ";" "
"ORARIO/MODALITA' LAVORATIVA";" ";" ";" ";" ";" "
"Tempo pieno";"91,0";"89,7";"91,4";"92,8";"89,0"
"Part-time";"28,6";"34,7";"27,2";"19,7";"36,4"
"Telelavoro";"11,2";"11,9";"14,8";"8,2";"11,8"
"CONTRATTO";" ";" ";" ";" ";" "
"Tempo indeterminato";"92,2";"93,5";"92,8";"91,9";"89,0"
"A tempo determinato";"28,9";"27,7";"32,1";"27,4";"31,6"
"Collaborazione (compreso lavoro a progetto)";"27,6";"30,2";"25,9";"22,9";"34,6"
"Inserimento (ex formazione e lavoro)";"23,5";"25,4";"24,5";"19,7";"26,3"
"Stage";"24,4";"24,7";"20,7";"24,2";"28,9"
"Apprendistato";"19,2";"19,2";"19,0";"18,1";"21,9"
"Lavoro interinale";"16,1";"17,2";"17,2";"13,6";"18,0"
"Autonomo/in conto proprio";"42,3";"50,3";"37,6";"32,1";"52,6"
"Disponibilità a lavorare nelle seguenti aree geografiche: decisamente sì (%)";" ";" ";" ";" ";" "
"Provincia di residenza";"65,9";"70,4";"67,6";"62,5";"60,1"
"Sede degli studi";"65,3";"68,6";"66,9";"63,1";"60,5"
"Italia settentrionale";"51,9";"50,7";"50,0";"56,3";"46,9"
"Italia centrale";"50,2";"51,5";"49,0";"51,1";"46,5"
"Italia meridionale";"51,5";"52,9";"48,6";"53,0";"47,8"
"Stato europeo";"56,4";"54,8";"50,7";"60,8";"57,0"
"Stato extraeuropeo";"43,8";"44,8";"41,0";"44,8";"42,5"
"Disponibilità ad effettuare trasferte di lavoro (%)";" ";" ";" ";" ";" "
"Sì, anche con trasferimenti di residenza";"56,8";"51,7";"57,6";"60,6";"59,6"
"Sì, anche frequenti (senza cambi di residenza)";"31,4";"34,5";"31,4";"29,7";"27,6"
"Sì, ma solo in numero limitato";"9,3";"10,5";"8,3";"7,9";"11,0"
"Non disponibili a trasferte";"0,8";"1,4";"0,3";"0,5";"0,9"
