"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Sono complessivamente soddisfatti del corso di laurea (%)";" ";" ";" ";" ";" "
"Decisamente sì";"23,4";"24,0";"21,3";"26,6";"17,6"
"Più sì che no";"57,8";"57,3";"54,6";"59,7";"58,8"
"Più no che sì";"16,3";"15,8";"21,6";"11,8";"20,8"
"Decisamente no";"2,2";"2,5";"2,5";"1,3";"2,8"
"Sono soddisfatti dei rapporti con i docenti in generale (%)";" ";" ";" ";" ";" "
"Decisamente sì";"9,8";"10,3";"12,1";"8,5";"8,8"
"Più sì che no";"61,5";"62,2";"57,8";"60,1";"66,8"
"Più no che sì";"23,2";"23,0";"24,1";"25,0";"18,8"
"Decisamente no";"3,1";"2,5";"3,2";"3,5";"3,6"
"Sono soddisfatti dei rapporti con gli studenti (%)";" ";" ";" ";" ";" "
"Decisamente sì";"48,7";"45,4";"56,4";"49,3";"46,4"
"Più sì che no";"41,7";"44,0";"35,1";"42,0";"42,8"
"Più no che sì";"6,0";"6,7";"5,3";"4,6";"8,0"
"Decisamente no";"0,7";"1,5";"-";"0,4";"0,4"
"Valutazione delle aule (%)";" ";" ";" ";" ";" "
"Sempre o quasi sempre adeguate";"7,4";"7,2";"9,6";"7,9";"4,0"
"Spesso adeguate";"38,2";"32,3";"50,0";"40,8";"33,6"
"Raramente adeguate";"44,7";"48,6";"36,2";"41,0";"52,8"
"Mai adeguate";"9,2";"11,6";"3,2";"9,8";"8,8"
"Non utilizzate";"0,2";"0,2";"0,7";"0,2";"-"
"Valutazione delle postazioni informatiche (%)";" ";" ";" ";" ";" "
"Presenti e in numero adeguato";"11,5";"6,9";"20,6";"16,2";"2,8"
"Presenti, ma in numero inadeguato";"56,0";"56,3";"64,5";"62,2";"32,4"
"Non presenti";"21,3";"21,7";"7,8";"12,1";"54,8"
"Non utilizzate";"10,6";"14,8";"6,7";"9,1";"8,4"
"Valutazione delle biblioteche (prestito/consultazione, orari di apertura ...) (%)";" ";" ";" ";" ";" "
"Decisamente positiva";"11,4";"12,1";"13,5";"11,6";"7,2"
"Abbastanza positiva";"55,4";"57,8";"57,1";"53,6";"51,6"
"Abbastanza negativa";"17,0";"15,0";"14,5";"15,2";"28,4"
"Decisamente negativa";"7,0";"7,6";"2,1";"6,6";"12,0"
"Non utilizzate";"8,7";"7,2";"12,1";"12,5";"0,4"
"Ritengono che il carico di studio degli insegnamenti sia stato sostenibile (%)";" ";" ";" ";" ";" "
"Decisamente sì";"11,1";"12,3";"12,4";"10,2";"8,4"
"Più sì che no";"60,5";"60,0";"63,1";"62,6";"54,4"
"Si iscriverebbero di nuovo all'università? (%) ";" ";" ";" ";" ";" "
"Sì, allo stesso corso dell'Ateneo";"58,1";"58,8";"57,8";"64,9";"42,8"
"Sì, ma ad un altro corso dell'Ateneo";"5,5";"9,4";"3,5";"2,9";"4,0"
"Sì, allo stesso corso ma in un altro Ateneo";"26,5";"23,0";"27,7";"25,0";"36,4"
"Sì, ma ad un altro corso e in un altro Ateneo";"6,1";"5,5";"6,4";"4,0";"11,2"
"Non si iscriverebbero più all'università";"3,2";"3,0";"3,2";"2,7";"4,4"
"8. CONOSCENZE LINGUISTICHE E INFORMATICHE"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Lingue straniere: conoscenza "almeno buona" (%)";" ";" ";" ";" ";" "
"Inglese scritto";"75,5";"67,6";"83,0";"80,7";"75,2"
"Inglese parlato";"67,5";"60,3";"71,3";"71,7";"71,6"
"Francese scritto";"10,2";"11,3";"5,7";"9,2";"14,8"
"Francese parlato";"10,4";"11,4";"6,0";"8,9";"16,0"
"Spagnolo scritto";"4,7";"5,2";"3,2";"4,4";"6,0"
"Spagnolo parlato";"5,8";"6,4";"5,0";"5,4";"6,4"
"Tedesco scritto";"1,5";"1,0";"1,4";"1,5";"2,8"
"Tedesco parlato";"1,3";"1,0";"1,1";"1,5";"2,0"
"Strumenti informatici: conoscenza "almeno buona" (%)";" ";" ";" ";" ";" "
"Navigazione in Internet";"94,1";"93,6";"96,5";"92,5";"96,0"
"Word processor (elaborazione di testi)";"83,6";"83,2";"88,3";"79,8";"87,2"
"Fogli elettronici (Excel, ...)";"79,7";"83,2";"84,4";"77,3";"71,2"
"Sistemi operativi";"63,8";"63,0";"73,4";"58,4";"66,0"
"Multimedia (elaborazione di suoni, immagini, video)";"60,9";"61,5";"57,8";"57,8";"69,2"
"Linguaggi di programmazione";"31,3";"21,5";"66,0";"32,6";"13,2"
"Data base (Oracle, SQL server, Access, ...)";"32,4";"31,3";"50,4";"28,9";"22,0"
"Realizzazione siti web";"20,9";"17,1";"44,3";"16,4";"12,8"
"Reti di trasmissione dati";"26,0";"24,7";"46,5";"20,4";"17,6"
"CAD/CAM/CAE - Progettazione assistita";"72,7";"80,3";"36,2";"73,4";"94,4"
"9. PROSPETTIVE DI STUDIO"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Intendono proseguire gli studi (%)";"66,8";"72,6";"61,7";"65,1";"62,4"
"Laurea triennale";"0,3";"0,3";"0,4";"0,4";"-"
"Laurea specialistica/magistrale";"45,7";"59,7";"48,2";"48,6";"3,6"
"Dottorato di ricerca";"4,4";"3,2";"5,7";"3,3";"8,4"
"Diploma accademico (Alta Formazione Artistica e Musicale) ";"0,2";"0,2";"-";"-";"0,8"
"Scuola di specializzazione post-laurea";"1,2";"0,5";"0,4";"0,8";"4,8"
"Master universitario";"7,0";"4,2";"3,5";"7,3";"16,8"
"Altro tipo di master o corso di perfezionamento";"2,1";"0,7";"0,7";"1,5";"8,4"
"Tirocinio, praticantato";"3,0";"1,8";"0,4";"1,3";"12,0"
"Attività sostenuta da borsa o assegno di studio";"0,7";"0,2";"1,1";"0,2";"2,8"
"Altre attività di qualificazione professionale";"2,0";"1,7";"1,1";"1,5";"4,8"
"Non intendono proseguire";"32,8";"27,1";"37,9";"34,5";"37,2"
"10. PROSPETTIVE DI LAVORO"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Sono interessati a lavorare nelle seguenti aree aziendali: decisamente sì (%)";" ";" ";" ";" ";" "
"Acquisti";"21,4";"18,7";"13,8";"33,1";"12,0"
"Amministrazione, contabilità";"25,2";"26,9";"18,4";"34,5";"9,2"
"Assistenza tecnica";"28,1";"33,3";"31,6";"25,0";"18,4"
"Commerciale, vendite";"19,7";"20,7";"13,8";"25,8";"11,2"
"Controllo di gestione";"35,7";"31,9";"30,1";"53,0";"15,2"
"Finanza";"18,2";"17,3";"10,3";"29,7";"5,6"
"Legale";"8,3";"10,6";"6,0";"8,5";"5,2"
"Logistica, distribuzione";"32,7";"29,4";"25,9";"49,3";"14,0"
"Marketing, comunicazione, pubbliche relazioni";"24,8";"20,8";"16,7";"35,6";"21,2"
"Organizzazione, pianificazione";"48,5";"49,7";"33,3";"58,4";"42,0"
"Produzione";"46,1";"38,5";"42,2";"64,5";"30,0"
"Ricerca e sviluppo";"52,4";"46,6";"62,4";"58,8";"42,0"
"Risorse umane, selezione, formazione";"27,3";"24,7";"19,1";"37,0";"22,4"
"Segreteria, affari generali";"16,4";"20,0";"14,2";"15,6";"12,0"
"Sistemi informativi, EDP";"22,7";"18,3";"45,0";"20,0";"13,2"
"Aspetti ritenuti rilevanti nella ricerca del lavoro: decisamente sì (%)";" ";" ";" ";" ";" "
"Acquisizione di professionalità";"83,2";"85,2";"79,8";"81,3";"86,0"
"Possibilità di carriera";"74,2";"75,8";"72,0";"75,7";"70,0"
"Possibilità di guadagno";"61,1";"62,7";"60,6";"60,9";"58,4"
"Stabilità/sicurezza del posto di lavoro";"70,4";"72,9";"69,9";"69,0";"67,6"
"Rispondenza a interessi culturali";"39,7";"40,8";"35,1";"30,6";"61,2"
"Coerenza con gli studi";"45,7";"51,3";"44,3";"37,2";"52,0"
"Indipendenza o autonomia";"46,4";"49,9";"42,6";"41,2";"53,2"
"Tempo libero";"19,6";"17,6";"19,5";"18,1";"27,2"
"Tipo di lavoro cercato (%)";" ";" ";" ";" ";" "
"Nessuna preferenza";"52,6";"49,6";"56,7";"52,4";"55,2"
"Alle dipendenze nel settore pubblico";"10,3";"15,1";"6,7";"6,0";"11,6"
"Alle dipendenze nel settore privato";"21,9";"13,8";"26,6";"32,2";"14,4"
"In conto proprio";"14,3";"20,7";"9,9";"7,7";"18,0"
"Disponibilità a lavorare per tipo di relazione contrattuale: decisamente sì (%)";" ";" ";" ";" ";" "
"ORARIO/MODALITA' LAVORATIVA";" ";" ";" ";" ";" "
"Tempo pieno";"90,5";"89,7";"90,1";"93,8";"86,0"
"Part-time";"27,6";"28,2";"24,8";"25,2";"34,4"
"Telelavoro";"10,9";"9,2";"13,1";"10,2";"13,6"
"CONTRATTO";" ";" ";" ";" ";" "
"Tempo indeterminato";"92,4";"91,1";"92,6";"94,2";"91,6"
"A tempo determinato";"27,6";"24,5";"30,1";"28,3";"30,4"
"Collaborazione (compreso lavoro a progetto)";"28,5";"28,7";"24,8";"26,4";"36,4"
"Inserimento (ex formazione e lavoro)";"24,4";"25,0";"23,8";"24,3";"23,6"
"Stage";"24,1";"23,0";"19,1";"26,4";"27,2"
"Apprendistato";"19,0";"19,3";"18,4";"17,9";"20,8"
"Lavoro interinale";"14,5";"15,1";"12,4";"15,0";"14,0"
"Autonomo/in conto proprio";"44,8";"51,6";"37,6";"37,0";"53,2"
"Disponibilità a lavorare nelle seguenti aree geografiche: decisamente sì (%)";" ";" ";" ";" ";" "
"Provincia di residenza";"69,4";"74,5";"72,3";"66,1";"60,8"
"Sede degli studi";"65,9";"69,6";"70,9";"63,4";"56,8"
"Italia settentrionale";"50,2";"47,2";"53,5";"55,3";"43,2"
"Italia centrale";"48,5";"46,9";"48,6";"53,2";"42,4"
"Italia meridionale";"50,5";"53,1";"49,6";"51,6";"43,2"
"Stato europeo";"55,2";"54,1";"52,8";"57,6";"55,2"
"Stato extraeuropeo";"43,3";"40,5";"42,6";"46,6";"43,6"
"Disponibilità ad effettuare trasferte di lavoro (%)";" ";" ";" ";" ";" "
"Sì, anche con trasferimenti di residenza";"56,0";"54,1";"52,1";"58,2";"60,0"
"Sì, anche frequenti (senza cambi di residenza)";"31,4";"32,1";"33,0";"31,4";"28,0"
"Sì, ma solo in numero limitato";"10,1";"11,1";"11,7";"8,3";"9,6"
"Non disponibili a trasferte";"0,9";"0,8";"1,8";"0,2";"1,2"
