"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Classe sociale (%) ";" ";" ";" ";" ";" "
"Classe elevata";"19,0";"19,6";"12,9";"20,6";"21,8"
"Classe media impiegatizia";"32,6";"30,1";"30,6";"36,0";"33,0"
"Classe media autonoma";"22,6";"22,6";"27,2";"20,2";"22,1"
"Classe del lavoro esecutivo";"23,5";"25,3";"26,1";"21,1";"21,5"
"3. STUDI SECONDARI SUPERIORI"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Diploma (%)";" ";" ";" ";" ";" "
"Liceo classico";"8,3";"6,4";"4,3";"8,3";"17,4"
"Liceo linguistico";"1,9";"2,1";"1,0";"2,0";"2,2"
"Liceo scientifico";"65,6";"63,2";"59,2";"71,6";"66,1"
"Liceo socio-psico-pedagogico o ist. magistrale";"0,7";"0,9";"0,5";"0,5";"0,9"
"Tecnico";"21,2";"25,1";"31,9";"17,0";"8,4"
"Professionale";"0,7";"0,4";"1,8";"0,5";"0,6"
"Istruzione artistica";"1,2";"1,2";"0,5";"0,2";"4,3"
"Titolo estero";"0,4";"0,6";"0,8";"0,2";"-"
"Voto di diploma (medie, in 100-mi) ";"87,9";"86,3";"89,9";"88,7";"86,8"
"Hanno conseguito il diploma (%) ";" ";" ";" ";" ";" "
"Nella stessa provincia della sede degli studi universitari";"61,0";"59,9";"53,2";"65,5";"64,0"
"In una provincia limitrofa";"27,8";"26,8";"34,4";"24,9";"28,0"
"In una provincia non limitrofa, ma nella stessa ripartizione geografica";"9,4";"12,0";"9,1";"8,6";"6,2"
"Al Sud, ma si sono laureati al Centro-Nord";"-";"-";"-";"-";"-"
"Al Centro, ma si sono laureati al Nord o al Sud";"0,0";"-";"0,3";"-";"-"
"Al Nord, ma si sono laureati al Centro-Sud";"0,0";"-";"0,3";"-";"-"
"All'estero";"1,6";"1,3";"2,8";"1,1";"1,9"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Hanno precedenti esperienze universitarie (%) ";"37,3";"47,8";"31,9";"42,2";"12,8"
"Portate a termine";"33,1";"45,7";"28,0";"39,1";"1,3"
"Non portate a termine";"4,3";"2,1";"4,0";"3,1";"11,5"
"Nessuna precedente esperienza universitaria";"62,3";"51,7";"67,5";"57,7";"86,9"
"Motivazioni molto importanti nella scelta del corso di laurea (%) ";" ";" ";" ";" ";" "
"Fattori sia culturali sia professionalizzanti";"51,3";"48,9";"58,8";"56,1";"37,2"
"Fattori prevalentemente culturali";"20,5";"19,9";"13,5";"12,7";"46,2"
"Fattori prevalentemente professionalizzanti";"11,6";"9,2";"12,7";"16,6";"4,8"
"Né gli uni né gli altri";"16,4";"21,8";"14,8";"14,4";"11,5"
"Età all'immatricolazione (%) ";" ";" ";" ";" ";" "
"Regolare o 1 anno di ritardo";"80,7";"71,0";"83,3";"82,6";"94,1"
"2 o più anni di ritardo";"19,3";"29,0";"16,7";"17,4";"5,9"
"Punteggio degli esami (medie, in 30-mi) ";"26,0";"26,0";"25,6";"25,8";"26,9"
"Voto di laurea (medie, in 110-mi) ";"102,9";"102,9";"101,0";"101,7";"108,0"
"Regolarità negli studi (%) ";" ";" ";" ";" ";" "
"In corso";"30,3";"29,8";"27,6";"38,9";"17,1"
"1° anno fuori corso";"29,3";"30,8";"22,8";"30,2";"32,3"
"2° anno fuori corso";"13,4";"13,6";"17,2";"10,8";"13,4"
"3° anno fuori corso";"10,0";"10,9";"10,1";"6,9";"14,6"
"4° anno fuori corso";"4,6";"3,4";"6,1";"4,8";"5,0"
"5° anno fuori corso e oltre";"12,3";"11,4";"16,2";"8,4";"17,7"
"Durata degli studi (medie, in anni) ";"5,0";"4,6";"5,4";"4,2";"7,2"
"Ritardo alla laurea (medie, in anni) ";"1,7";"1,6";"2,2";"1,2";"2,2"
"Indice di ritardo (rapporto fra ritardo e durata legale del corso) ";"0,55";"0,57";"0,76";"0,45";"0,45"
"5. CONDIZIONI DI STUDIO"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Hanno alloggiato a meno di un'ora di viaggio dalla sede degli studi (%)";" ";" ";" ";" ";" "
"Più del 50% della durata degli studi";"76,3";"74,7";"75,2";"78,8";"75,6"
"Meno del 50%";"23,0";"24,5";"24,0";"20,8";"23,4"
"Hanno frequentato regolarmente (%)";" ";" ";" ";" ";" "
"Più del 75% degli insegnamenti previsti";"76,9";"74,4";"74,4";"74,6";"90,1"
"Tra il 50% e il 75%";"16,5";"18,5";"18,5";"17,8";"7,4"
"Tra il 25% e il 50%";"4,3";"4,6";"4,2";"5,3";"1,6"
"Meno del 25%";"1,8";"2,1";"2,4";"1,9";"0,6"
"Hanno usufruito del servizio di borse di studio (%)";"26,9";"25,0";"27,2";"26,0";"32,1"
"Hanno svolto periodi di studio all'estero nel corso degli studi universitari (%)";"9,0";"7,4";"5,5";"9,0";"16,7"
"Con Erasmus o altro programma dell'Unione Europea";"6,2";"5,7";"4,0";"6,4";"9,6"
"Altra esperienza riconosciuta dal corso di studi";"1,9";"0,8";"0,3";"1,6";"6,7"
"Iniziativa personale";"1,0";"0,9";"1,3";"1,1";"0,3"
"Non hanno compiuto studi all'estero";"90,2";"91,3";"94,2";"90,4";"82,7"
"1 o più esami all'estero convalidati (%)";"5,4";"5,1";"2,4";"6,4";"7,7"
"Hanno preparato all'estero una parte significativa della tesi (%)";"6,9";"5,1";"2,6";"4,5";"20,8"
"Hanno svolto tirocini/stage o lavoro riconosciuti dal corso di laurea (%)";"52,2";"57,4";"20,1";"74,3";"34,9"
"Tirocini organizzati dal corso e svolti presso l'università";"22,1";"15,3";"8,4";"40,9";"13,1"
"Tirocini organizzati dal corso e svolti al di fuori dell'università";"21,6";"33,1";"6,3";"22,6";"15,1"
"Attività di lavoro successivamente riconosciute dal corso";"7,0";"7,8";"5,0";"9,0";"3,8"
"Nessuna esperienza di tirocinio o lavoro riconosciuto";"47,2";"41,6";"78,9";"25,4";"64,7"
"Mesi impiegati per la tesi/prova finale (medie)";"4,7";"3,9";"3,7";"3,9";"8,1"
"6. LAVORO DURANTE GLI STUDI"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Hanno esperienze di lavoro (%) ";"56,4";"57,3";"56,2";"52,4";"62,8"
"Lavoratori-studenti";"2,9";"2,1";"5,5";"2,8";"1,6"
"Altre esperienze di lavoro con continuità a tempo pieno";"1,9";"1,1";"3,2";"2,0";"1,9"
"Lavoro a tempo parziale";"16,0";"18,5";"12,9";"14,6";"17,6"
"Lavoro occasionale, saltuario, stagionale";"35,5";"35,6";"34,6";"33,0";"41,7"
"Nessuna esperienza di lavoro";"42,8";"41,9";"43,5";"46,4";"36,5"
"Lavoro coerente con gli studi";"9,6";"9,2";"12,1";"7,4";"11,9"
"7. GIUDIZI SULL'ESPERIENZA UNIVERSITARIA"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Sono complessivamente soddisfatti del corso di laurea (%)";" ";" ";" ";" ";" "
"Decisamente sì";"27,2";"25,8";"24,5";"32,2";"22,8"
"Più sì che no";"56,4";"57,3";"58,0";"53,6";"58,3"
"Più no che sì";"14,4";"15,5";"14,5";"12,4";"16,3"
"Decisamente no";"1,6";"1,4";"2,4";"1,4";"1,6"
"Sono soddisfatti dei rapporti con i docenti in generale (%)";" ";" ";" ";" ";" "
"Decisamente sì";"12,7";"13,6";"11,6";"11,5";"14,7"
"Più sì che no";"58,7";"59,3";"59,1";"56,6";"61,5"
"Più no che sì";"25,0";"24,1";"25,6";"27,6";"20,8"
"Decisamente no";"1,9";"1,7";"1,6";"2,5";"1,6"
"Sono soddisfatti dei rapporti con gli studenti (%)";" ";" ";" ";" ";" "
"Decisamente sì";"47,0";"44,8";"49,3";"48,2";"45,8"
"Più sì che no";"43,6";"45,9";"42,2";"42,5";"42,9"
"Più no che sì";"6,3";"6,2";"4,5";"6,4";"8,3"
"Decisamente no";"1,2";"1,4";"1,1";"1,2";"0,6"
"Valutazione delle aule (%)";" ";" ";" ";" ";" "
"Sempre o quasi sempre adeguate";"10,0";"9,7";"11,3";"8,1";"12,8"
"Spesso adeguate";"43,1";"39,4";"48,0";"44,0";"42,9"
"Raramente adeguate";"39,1";"40,3";"34,8";"41,4";"36,9"
"Mai adeguate";"7,0";"10,0";"4,5";"5,7";"6,4"
"Non utilizzate";"0,3";"0,2";"1,1";"0,2";"-"
"Valutazione delle postazioni informatiche (%)";" ";" ";" ";" ";" "
"Presenti e in numero adeguato";"12,8";"9,5";"25,3";"13,2";"3,2"
"Presenti, ma in numero inadeguato";"43,6";"35,0";"53,6";"55,8";"24,0"
"Non presenti";"26,4";"30,2";"11,1";"15,7";"59,3"
"Non utilizzate";"16,6";"24,5";"9,8";"14,9";"12,2"
"Valutazione delle biblioteche (prestito/consultazione, orari di apertura ...) (%)";" ";" ";" ";" ";" "
"Decisamente positiva";"13,6";"16,5";"16,4";"13,2";"5,1"
"Abbastanza positiva";"51,3";"56,5";"48,5";"53,6";"39,4"
"Abbastanza negativa";"14,1";"11,2";"9,2";"11,2";"31,7"
"Decisamente negativa";"5,4";"4,7";"2,4";"4,3";"12,5"
"Non utilizzate";"14,7";"10,1";"23,0";"16,9";"9,6"
"Valutazione delle attrezzature per le altre attività didattiche (laboratori, attività pratiche, …) (%)";" ";" ";" ";" ";" "
"Sempre o quasi sempre adeguate";"5,9";"3,8";"10,8";"5,6";"5,1"
"Spesso adeguate";"24,3";"21,4";"41,2";"19,2";"20,5"
"Raramente adeguate";"38,7";"36,2";"37,7";"37,4";"47,4"
"Mai adeguate";"12,8";"14,7";"5,3";"13,8";"15,7"
"Non utilizzate";"17,2";"22,6";"4,5";"23,1";"9,6"
"Valutazione degli spazi dedicati allo studio individuale (%)";" ";" ";" ";" ";" "
"Presenti e adeguati";"25,8";"25,0";"28,8";"32,1";"10,6"
"Presenti, ma inadeguati";"57,1";"60,6";"53,8";"54,7";"59,0"
"Non presenti";"8,8";"6,0";"5,0";"6,0";"24,7"
"Non utilizzati";"7,1";"7,0";"11,6";"6,5";"3,2"
"Il carico di studio degli insegnamenti è stato adeguato alla durata del corso di studio? (%)";" ";" ";" ";" ";" "
"Decisamente sì";"16,0";"16,0";"12,9";"17,2";"17,0"
"Più sì che no";"40,3";"41,6";"40,1";"38,3";"42,0"
"Più no che sì";"24,8";"22,8";"27,7";"26,2";"22,4"
"Decisamente no";"6,8";"4,7";"7,1";"7,3";"9,6"
"Si iscriverebbero di nuovo all'università? (%) ";" ";" ";" ";" ";" "
"Sì, allo stesso corso dell'Ateneo";"58,6";"58,7";"59,9";"64,2";"45,2"
"Sì, ma ad un altro corso dell'Ateneo";"6,9";"10,1";"6,3";"3,4";"8,0"
"Sì, allo stesso corso ma in un altro Ateneo";"26,8";"22,8";"28,0";"24,2";"39,1"
"Sì, ma ad un altro corso e in un altro Ateneo";"5,4";"6,5";"4,0";"5,9";"3,8"
"Non si iscriverebbero più all'università";"1,8";"1,7";"1,3";"1,9";"2,6"
"8. CONOSCENZE LINGUISTICHE E INFORMATICHE"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Lingue straniere: conoscenza "almeno buona" (%) ";" ";" ";" ";" ";" "
"Inglese scritto";"79,8";"71,8";"83,6";"84,3";"82,1"
"Inglese parlato";"70,6";"63,1";"73,1";"73,8";"76,3"
"Francese scritto";"9,5";"8,9";"7,4";"9,3";"13,5"
"Francese parlato";"9,0";"9,3";"6,3";"7,9";"13,8"
"Spagnolo scritto";"5,3";"5,1";"2,9";"4,3";"10,9"
"Spagnolo parlato";"5,8";"6,2";"3,7";"4,2";"11,2"
"Tedesco scritto";"1,3";"1,3";"0,5";"0,9";"3,2"
"Tedesco parlato";"1,3";"1,3";"0,5";"0,9";"3,2"
"Strumenti informatici: conoscenza "almeno buona" (%) ";" ";" ";" ";" ";" "
"Navigazione in Internet e comunicazione in rete";"93,6";"93,5";"92,9";"93,3";"95,5"
"Word processor";"85,4";"87,3";"87,3";"80,9";"88,5"
"Fogli elettronici";"79,6";"83,1";"78,1";"77,5";"78,8"
"Strumenti di presentazione";"76,0";"75,6";"68,6";"75,0";"87,8"
"Sistemi operativi";"78,6";"77,8";"81,3";"75,5";"83,0"
"Multimedia";"54,2";"58,7";"50,9";"46,2";"65,7"
"Linguaggi di programmazione";"26,3";"14,2";"63,1";"23,6";"11,5"
"Data base";"23,7";"21,2";"43,0";"18,6";"15,7"
"Realizzazione siti web";"15,1";"11,7";"31,7";"10,2";"12,2"
"Reti di trasmissione dati";"20,2";"15,5";"47,2";"12,6";"12,5"
"CAD/CAM/CAE - progettazione assistita";"63,8";"75,8";"28,5";"57,8";"94,9"
"9. PROSPETTIVE DI STUDIO"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Intendono proseguire gli studi (%)";"62,6";"64,2";"70,2";"60,6";"53,8"
"Laurea triennale";"0,2";"0,2";"-";"-";"0,6"
"Laurea magistrale";"44,6";"45,9";"62,5";"51,8";"5,1"
"Laurea magistrale a ciclo unico";"0,2";"0,5";"-";"0,2";"-"
"Dottorato di ricerca";"3,1";"4,1";"3,2";"1,9";"3,5"
"Diploma accademico (Alta Formazione Artistica e Musicale) ";"0,2";"0,2";"0,3";"-";"0,3"
"Scuola di specializzazione post-laurea";"2,4";"2,1";"0,8";"1,6";"7,1"
"Master universitario";"6,2";"5,4";"0,8";"2,8";"21,5"
"Altro tipo di master o corso di perfezionamento";"2,1";"1,6";"0,5";"0,8";"7,7"
"Tirocinio, praticantato";"1,8";"2,8";"0,3";"0,6";"4,2"
"Attività sostenuta da borsa o assegno di studio";"0,5";"0,3";"0,8";"-";"1,3"
"Altre attività di qualificazione professionale";"1,1";"1,1";"0,8";"0,8";"1,9"
"Non intendono proseguire";"37,1";"35,4";"29,6";"39,2";"45,5"
"10. PROSPETTIVE DI LAVORO"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Aspetti ritenuti rilevanti nella ricerca del lavoro: decisamente sì (%)";" ";" ";" ";" ";" "
"Acquisizione di professionalità";"80,4";"83,1";"78,4";"78,8";"81,1"
"Possibilità di carriera";"74,6";"72,9";"75,7";"76,7";"72,1"
"Possibilità di guadagno";"62,8";"61,7";"63,6";"62,9";"63,5"
"Stabilità/sicurezza del posto di lavoro";"69,2";"73,1";"68,6";"67,8";"65,1"
"Rispondenza a interessi culturali";"39,8";"40,7";"38,3";"30,9";"58,7"
"Coerenza con gli studi";"52,1";"52,7";"54,9";"47,6";"56,7"
"Utilità sociale del lavoro";"30,8";"32,1";"26,1";"29,9";"35,9"
"Prestigio ricevuto dal lavoro";"38,6";"40,0";"34,8";"39,2";"39,1"
"Coinvolgimento e partecipazione all’attività lavorativa e ai processi decisionali";"47,6";"49,2";"40,4";"49,1";"49,7"
"Indipendenza o autonomia";"47,9";"50,0";"47,2";"45,4";"49,7"
"Flessibilità dell’orario di lavoro";"25,7";"25,5";"26,4";"25,4";"26,0"
"Rapporti con i colleghi sul luogo di lavoro";"44,1";"41,9";"44,9";"44,8";"46,2"
"Luogo di lavoro (ubicazione, caratteristiche fisiche dell’ambiente di lavoro)";"33,1";"33,1";"33,5";"32,2";"34,3"
"Tempo libero";"25,8";"23,3";"26,9";"27,1";"26,6"
"Opportunità di contatti con l'estero";"41,3";"37,5";"39,8";"44,8";"43,6"
"Possibilità di utilizzare al meglio le competenze acquisite";"54,7";"51,6";"53,8";"52,6";"66,3"
"Sono interessati a lavorare nei seguenti settori: decisamente sì (%)";" ";" ";" ";" ";" "
"Pubblico";"44,7";"51,7";"46,7";"36,0";"46,2"
"Privato (compreso l'avvio di un'attività autonoma/in conto proprio)";"54,7";"50,0";"56,2";"56,0";"59,6"
"Disponibilità a lavorare per tipo di relazione contrattuale: decisamente sì (%)";" ";" ";" ";" ";" "
"ORARIO/MODALITA' LAVORATIVA";" ";" ";" ";" ";" "
"Tempo pieno";"90,1";"89,7";"89,2";"92,1";"87,8"
"Part-time";"27,4";"28,3";"23,7";"21,7";"41,7"
"Telelavoro";"15,2";"13,8";"19,8";"11,8";"19,9"
"CONTRATTO";" ";" ";" ";" ";" "
"A tutele crescenti ";"40,2";"30,2";"43,8";"42,3";"51,9"
"A tempo determinato";"30,8";"28,3";"30,1";"31,0";"36,2"
"Stage";"21,7";"22,3";"18,5";"20,8";"26,3"
"Apprendistato";"19,5";"18,8";"17,7";"19,2";"23,4"
"Somministrazione di lavoro (ex interinale)";"13,6";"16,1";"9,8";"11,5";"17,6"
"Occasionale accessorio (voucher o buoni lavoro)";"4,0";"3,8";"3,7";"3,1";"6,7"
"Autonomo/in conto proprio";"37,9";"46,4";"33,5";"28,2";"46,2"
"Disponibilità a lavorare nelle seguenti aree geografiche: decisamente sì (%)";" ";" ";" ";" ";" "
"Provincia di residenza";"65,6";"71,4";"62,0";"64,0";"61,5"
"Provincia degli studi";"60,8";"63,8";"56,7";"60,8";"59,9"
"Regione degli studi";"58,2";"61,2";"55,4";"58,1";"55,4"
"Italia settentrionale";"55,7";"55,9";"55,7";"58,1";"50,6"
"Italia centrale";"50,7";"51,6";"47,8";"53,5";"46,5"
"Italia meridionale";"53,8";"58,4";"50,1";"52,4";"51,6"
"Stato europeo";"60,6";"58,4";"61,5";"62,5";"60,3"
"Stato extraeuropeo";"46,8";"46,2";"47,5";"47,1";"46,5"
"Disponibilità ad effettuare trasferte di lavoro (%)";" ";" ";" ";" ";" "
"Sì, anche con trasferimenti di residenza";"64,3";"64,1";"61,5";"67,0";"62,8"
"Sì, anche frequenti (senza cambi di residenza)";"24,1";"24,1";"25,3";"22,8";"25,6"
"Sì, ma solo in numero limitato";"9,3";"9,8";"9,8";"8,7";"9,0"
"Non disponibili a trasferte";"0,6";"0,6";"0,8";"0,5";"0,6"
