"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Hanno precedenti esperienze universitarie (%) ";"37,6";"49,4";"35,3";"38,1";"14,2"
"Portate a termine";"33,0";"45,9";"31,6";"35,5";"1,1"
"Non portate a termine";"4,6";"3,6";"3,7";"2,5";"13,1"
"Nessuna precedente esperienza universitaria";"62,3";"50,4";"64,7";"61,8";"85,8"
"Motivazioni molto importanti nella scelta del corso di laurea (%) ";" ";" ";" ";" ";" "
"Fattori sia culturali sia professionalizzanti";"50,5";"43,5";"63,2";"54,6";"38,3"
"Fattori prevalentemente culturali";"21,8";"25,5";"15,3";"13,8";"41,2"
"Fattori prevalentemente professionalizzanti";"12,2";"9,1";"10,3";"18,7";"6,6"
"Né gli uni né gli altri";"15,3";"21,7";"11,3";"12,6";"13,5"
"Età all'immatricolazione (%) ";" ";" ";" ";" ";" "
"Regolare o 1 anno di ritardo";"78,8";"67,1";"82,2";"80,2";"95,5"
"2 o più anni di ritardo";"21,2";"32,9";"17,8";"19,8";"4,5"
"Punteggio degli esami (medie, in 30-mi) ";"25,9";"25,9";"25,7";"25,5";"26,9"
"Voto di laurea (medie, in 110-mi) ";"102,5";"102,6";"101,5";"100,6";"107,9"
"Regolarità negli studi (%) ";" ";" ";" ";" ";" "
"In corso";"31,3";"23,1";"37,7";"39,4";"21,5"
"1° anno fuori corso";"28,0";"33,4";"21,9";"28,0";"25,3"
"2° anno fuori corso";"14,3";"15,6";"11,5";"14,3";"15,6"
"3° anno fuori corso";"7,6";"5,4";"8,1";"7,0";"12,8"
"4° anno fuori corso";"5,2";"6,2";"5,9";"3,3";"6,2"
"5° anno fuori corso e oltre";"13,6";"16,3";"15,0";"8,1";"18,7"
"Durata degli studi (medie, in anni) ";"5,1";"5,0";"5,1";"4,2";"7,2"
"Ritardo alla laurea (medie, in anni) ";"1,8";"2,0";"2,0";"1,2";"2,2"
"Indice di ritardo (rapporto fra ritardo e durata normale del corso) ";"0,57";"0,68";"0,68";"0,45";"0,45"
"5. CONDIZIONI DI STUDIO"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Hanno alloggiato a meno di un'ora di viaggio dalla sede degli studi (%)";" ";" ";" ";" ";" "
"Più del 50% della durata degli studi";"76,2";"74,1";"77,1";"77,4";"77,0"
"Meno del 50%";"23,4";"25,4";"22,4";"22,6";"22,3"
"Hanno frequentato regolarmente (%)";" ";" ";" ";" ";" "
"Più del 75% degli insegnamenti previsti";"76,8";"74,1";"81,1";"71,7";"88,7"
"Tra il 50% e il 75%";"17,2";"20,0";"14,2";"20,0";"9,1"
"Tra il 25% e il 50%";"4,1";"4,2";"3,7";"5,8";"0,7"
"Meno del 25%";"1,3";"1,4";"0,8";"2,2";"-"
"Hanno usufruito del servizio di borse di studio (%)";"24,4";"21,8";"26,6";"24,4";"27,0"
"Hanno svolto periodi di studio all'estero nel corso degli studi universitari (%)";"9,9";"6,1";"7,6";"11,8";"17,2"
"Con Erasmus o altro programma dell'Unione Europea";"6,4";"3,9";"4,7";"8,2";"10,2"
"Altra esperienza riconosciuta dal corso di studi";"2,6";"1,2";"2,4";"2,8";"5,1"
"Iniziativa personale";"0,9";"1,0";"0,5";"0,8";"1,5"
"Non hanno compiuto studi all'estero";"89,8";"93,9";"92,1";"87,7";"82,8"
"1 o più esami all'estero convalidati (%)";"6,4";"3,9";"5,3";"7,9";"9,9"
"Hanno preparato all'estero una parte significativa della tesi (%)";"7,2";"3,9";"5,0";"6,1";"19,7"
"Hanno svolto tirocini/stage o lavoro riconosciuti dal corso di laurea (%)";"67,6";"72,3";"42,6";"85,5";"50,4"
"Tirocini organizzati dal corso e svolti presso l'università";"26,0";"17,8";"19,2";"39,8";"21,5"
"Tirocini organizzati dal corso e svolti al di fuori dell'università";"31,5";"46,9";"16,1";"31,9";"18,6"
"Attività di lavoro successivamente riconosciute dal corso";"8,0";"5,9";"6,6";"11,6";"6,2"
"Nessuna esperienza di tirocinio o lavoro riconosciuto";"32,2";"27,6";"57,4";"14,0";"49,6"
"Mesi impiegati per la tesi/prova finale (medie)";"4,2";"3,7";"3,6";"3,4";"7,6"
"6. LAVORO DURANTE GLI STUDI"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Hanno esperienze di lavoro (%) ";"57,7";"60,7";"55,3";"52,0";"67,5"
"Lavoratori-studenti";"3,0";"4,7";"3,2";"2,2";"1,1"
"Altre esperienze di lavoro con continuità a tempo pieno";"3,1";"1,7";"4,7";"3,0";"4,0"
"Lavoro a tempo parziale";"14,8";"16,9";"11,6";"13,4";"17,9"
"Lavoro occasionale, saltuario, stagionale";"36,8";"37,4";"35,8";"33,5";"44,5"
"Nessuna esperienza di lavoro";"42,0";"38,7";"44,7";"47,6";"32,1"
"Lavoro coerente con gli studi";"11,5";"11,5";"14,5";"7,7";"16,1"
"7. GIUDIZI SULL'ESPERIENZA UNIVERSITARIA"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Sono complessivamente soddisfatti del corso di laurea (%)";" ";" ";" ";" ";" "
"Decisamente sì";"29,7";"28,1";"29,5";"33,3";"24,8"
"Più sì che no";"56,2";"53,6";"57,6";"55,8";"60,6"
"Più no che sì";"12,5";"16,6";"10,3";"10,1";"12,4"
"Decisamente no";"1,5";"1,7";"2,6";"0,6";"1,5"
"Sono soddisfatti dei rapporti con i docenti in generale (%)";" ";" ";" ";" ";" "
"Decisamente sì";"13,1";"13,9";"17,4";"11,0";"10,2"
"Più sì che no";"60,3";"56,2";"60,8";"60,2";"69,0"
"Più no che sì";"23,6";"26,4";"20,3";"25,0";"18,6"
"Decisamente no";"2,6";"3,0";"1,3";"3,3";"1,5"
"Sono soddisfatti dei rapporti con gli studenti (%)";" ";" ";" ";" ";" "
"Decisamente sì";"49,3";"49,2";"52,4";"50,9";"41,6"
"Più sì che no";"42,5";"41,5";"41,8";"41,5";"47,8"
"Più no che sì";"6,2";"7,3";"5,3";"5,2";"7,3"
"Decisamente no";"1,2";"0,8";"0,5";"1,7";"1,8"
"Valutazione delle aule (%)";" ";" ";" ";" ";" "
"Sempre o quasi sempre adeguate";"10,6";"10,5";"8,7";"11,5";"11,3"
"Spesso adeguate";"46,4";"40,3";"60,8";"48,1";"35,4"
"Raramente adeguate";"37,1";"42,1";"27,4";"33,2";"48,5"
"Mai adeguate";"5,5";"6,8";"2,6";"6,4";"4,7"
"Non utilizzate";"0,4";"0,3";"0,5";"0,5";"-"
"Valutazione delle postazioni informatiche (%)";" ";" ";" ";" ";" "
"Presenti e in numero adeguato";"13,1";"7,4";"21,1";"17,0";"5,5"
"Presenti, ma in numero inadeguato";"43,2";"33,8";"55,5";"50,2";"29,9"
"Non presenti";"24,7";"32,0";"10,5";"14,0";"53,3"
"Non utilizzate";"18,8";"26,6";"12,9";"18,6";"10,9"
"Valutazione delle biblioteche (prestito/consultazione, orari di apertura ...) (%)";" ";" ";" ";" ";" "
"Decisamente positiva";"15,9";"17,4";"18,9";"17,6";"4,7"
"Abbastanza positiva";"53,9";"59,6";"47,6";"53,6";"50,7"
"Abbastanza negativa";"11,7";"10,5";"7,4";"8,2";"28,8"
"Decisamente negativa";"3,8";"3,2";"1,3";"2,5";"11,3"
"Non utilizzate";"14,4";"9,0";"24,7";"17,8";"4,0"
"Valutazione delle attrezzature per le altre attività didattiche (laboratori, attività pratiche, …) (%)";" ";" ";" ";" ";" "
"Sempre o quasi sempre adeguate";"6,5";"5,8";"9,7";"6,1";"4,7"
"Spesso adeguate";"26,3";"20,8";"43,9";"22,8";"21,5"
"Raramente adeguate";"37,1";"38,6";"35,0";"34,0";"43,8"
"Mai adeguate";"12,0";"13,4";"5,5";"11,6";"18,6"
"Non utilizzate";"17,7";"20,8";"5,5";"24,8";"11,3"
"Valutazione degli spazi dedicati allo studio individuale (%)";" ";" ";" ";" ";" "
"Presenti e adeguati";"26,0";"23,4";"34,5";"29,6";"12,0"
"Presenti, ma inadeguati";"58,9";"62,3";"51,3";"59,0";"62,0"
"Non presenti";"8,2";"8,6";"3,4";"3,8";"24,1"
"Non utilizzati";"6,5";"5,4";"10,3";"7,4";"1,5"
"Il carico di studio degli insegnamenti è stato adeguato alla durata del corso di studio? (%)";" ";" ";" ";" ";" "
"Decisamente sì";"18,6";"18,1";"22,9";"17,6";"15,7"
"Più sì che no";"44,4";"42,8";"43,9";"47,5";"41,6"
"Più no che sì";"26,7";"27,1";"23,7";"26,6";"30,7"
"Decisamente no";"5,7";"6,6";"3,9";"4,7";"8,4"
"Si iscriverebbero di nuovo all'università? (%) ";" ";" ";" ";" ";" "
"Sì, allo stesso corso dell'Ateneo";"59,5";"55,7";"66,3";"66,5";"42,0"
"Sì, ma ad un altro corso dell'Ateneo";"7,5";"14,4";"4,2";"3,1";"7,7"
"Sì, allo stesso corso ma in un altro Ateneo";"24,1";"18,1";"21,8";"24,8";"38,7"
"Sì, ma ad un altro corso e in un altro Ateneo";"6,3";"8,6";"4,2";"4,7";"8,0"
"Non si iscriverebbero più all'università";"2,3";"2,9";"3,4";"0,8";"3,3"
"8. CONOSCENZE LINGUISTICHE E INFORMATICHE"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Lingue straniere: conoscenza "almeno buona" (%) ";" ";" ";" ";" ";" "
"Inglese scritto";"78,2";"69,5";"84,2";"81,3";"81,4"
"Inglese parlato";"68,2";"59,9";"72,9";"70,1";"74,8"
"Francese scritto";"7,7";"8,3";"6,1";"7,1";"10,2"
"Francese parlato";"7,4";"8,1";"5,0";"6,4";"11,3"
"Spagnolo scritto";"5,8";"4,2";"2,9";"5,8";"13,1"
"Spagnolo parlato";"6,3";"5,2";"2,9";"5,8";"14,2"
"Tedesco scritto";"1,0";"1,2";"1,3";"0,2";"1,8"
"Tedesco parlato";"1,0";"1,2";"1,3";"0,2";"1,8"
"Strumenti informatici: conoscenza "almeno buona" (%) ";" ";" ";" ";" ";" "
"Navigazione in Internet e comunicazione in rete";"92,8";"91,7";"96,1";"92,5";"91,6"
"Word processor";"84,4";"83,9";"90,3";"79,7";"88,0"
"Fogli elettronici";"80,2";"83,8";"81,1";"77,7";"77,0"
"Strumenti di presentazione";"77,5";"75,3";"77,4";"74,8";"88,7"
"Sistemi operativi";"78,4";"78,0";"84,7";"74,1";"80,7"
"Multimedia";"53,0";"51,9";"55,0";"47,6";"65,0"
"Linguaggi di programmazione";"24,4";"11,2";"62,4";"20,8";"8,8"
"Data base";"21,2";"19,1";"38,9";"17,1";"10,2"
"Realizzazione siti web";"13,8";"11,7";"30,0";"8,2";"8,8"
"Reti di trasmissione dati";"18,3";"11,2";"51,6";"9,1";"9,1"
"CAD/CAM/CAE - progettazione assistita";"62,1";"78,0";"28,4";"53,5";"94,5"
"9. PROSPETTIVE DI STUDIO"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Intendono proseguire gli studi (%)";"61,6";"59,9";"65,0";"63,2";"56,6"
"Laurea triennale";"0,3";"-";"0,3";"0,3";"0,7"
"Laurea magistrale";"46,1";"44,8";"55,0";"57,7";"9,9"
"Laurea magistrale a ciclo unico";"0,3";"0,7";"-";"0,3";"-"
"Dottorato di ricerca";"3,3";"2,5";"4,7";"1,4";"7,3"
"Diploma accademico (Alta Formazione Artistica e Musicale) ";"-";"-";"-";"-";"-"
"Scuola di specializzazione post-laurea";"1,7";"1,7";"0,3";"0,8";"5,8"
"Master universitario";"4,3";"4,7";"1,3";"1,4";"14,2"
"Altro tipo di master o corso di perfezionamento";"2,4";"2,0";"0,8";"0,9";"8,8"
"Tirocinio, praticantato";"1,5";"1,9";"0,5";"0,2";"5,1"
"Attività sostenuta da borsa o assegno di studio";"0,4";"0,2";"0,3";"-";"2,2"
"Altre attività di qualificazione professionale";"1,2";"1,4";"1,8";"0,2";"2,6"
"Non intendono proseguire";"38,3";"39,9";"35,0";"36,6";"43,4"
"10. PROSPETTIVE DI LAVORO"
"";"Collettivo selezionato";"Ingegneria civile, ambientale, del territorio, edile e di chimica (Dip.)";"Ingegneria elettrica e dell'informazione (Dip.)";"Ingegneria meccanica, matematica e management (Dip.)";"Scienze dell'ingegneria civile e dell'architettura (Dip.)"
"Aspetti ritenuti rilevanti nella ricerca del lavoro: decisamente sì (%)";" ";" ";" ";" ";" "
"Acquisizione di professionalità";"82,0";"82,6";"79,5";"81,9";"84,7"
"Possibilità di carriera";"78,0";"78,2";"75,5";"81,1";"74,1"
"Possibilità di guadagno";"65,5";"66,8";"64,2";"66,2";"62,8"
"Stabilità/sicurezza del posto di lavoro";"71,0";"75,3";"64,7";"70,4";"71,9"
"Rispondenza a interessi culturali";"38,3";"37,4";"29,7";"35,2";"59,5"
"Coerenza con gli studi";"53,8";"54,0";"52,4";"51,9";"59,9"
"Utilità sociale del lavoro";"31,7";"35,0";"23,7";"27,8";"44,5"
"Prestigio ricevuto dal lavoro";"37,6";"37,7";"34,7";"38,2";"40,1"
"Coinvolgimento e partecipazione all’attività lavorativa e ai processi decisionali";"48,7";"47,9";"42,9";"50,9";"53,3"
"Indipendenza o autonomia";"51,7";"53,6";"42,1";"52,0";"59,9"
"Flessibilità dell’orario di lavoro";"25,8";"24,9";"24,5";"25,6";"30,3"
"Rapporti con i colleghi sul luogo di lavoro";"46,8";"46,0";"45,3";"49,5";"44,5"
"Luogo di lavoro (ubicazione, caratteristiche fisiche dell’ambiente di lavoro)";"34,7";"35,5";"31,1";"35,5";"36,1"
"Tempo libero";"28,7";"29,4";"24,2";"27,0";"36,9"
"Opportunità di contatti con l'estero";"45,7";"43,1";"43,9";"47,3";"50,0"
"Possibilità di utilizzare al meglio le competenze acquisite";"59,1";"59,2";"58,4";"58,0";"62,4"
"Sono interessati a lavorare nei seguenti settori: decisamente sì (%)";" ";" ";" ";" ";" "
"Pubblico";"42,2";"53,1";"36,8";"36,9";"38,3"
"Privato (compreso l'avvio di un'attività autonoma/in conto proprio)";"55,8";"53,3";"54,5";"56,6";"61,3"
"Disponibilità a lavorare per tipo di relazione contrattuale: decisamente sì (%)";" ";" ";" ";" ";" "
"ORARIO/MODALITA' LAVORATIVA";" ";" ";" ";" ";" "
"Tempo pieno";"90,4";"87,6";"92,1";"91,7";"91,2"
"Part-time";"26,1";"29,1";"18,9";"22,2";"38,7"
"Telelavoro";"19,5";"17,4";"25,3";"15,9";"24,1"
"CONTRATTO";" ";" ";" ";" ";" "
"A tutele crescenti ";"79,4";"75,6";"79,5";"81,4";"82,5"
"A tempo determinato";"31,2";"31,8";"25,8";"34,3";"29,9"
"Stage";"16,8";"19,8";"11,3";"16,2";"19,3"
"Apprendistato";"17,5";"16,8";"15,5";"18,6";"19,3"
"Somministrazione di lavoro (ex interinale)";"10,3";"11,0";"6,6";"10,7";"13,1"
"Occasionale accessorio (voucher o buoni lavoro)";"5,4";"6,4";"2,6";"4,6";"8,8"
"Autonomo/in conto proprio";"33,3";"42,5";"25,3";"23,3";"47,8"
"Disponibilità a lavorare nelle seguenti aree geografiche: decisamente sì (%)";" ";" ";" ";" ";" "
"Provincia di residenza";"68,3";"75,0";"65,8";"64,6";"65,7"
"Provincia degli studi";"67,0";"72,4";"66,6";"63,7";"63,5"
"Regione degli studi";"62,6";"67,7";"60,3";"61,5";"57,7"
"Italia settentrionale";"54,6";"54,1";"54,7";"58,5";"46,4"
"Italia centrale";"48,4";"50,4";"45,3";"52,4";"39,4"
"Italia meridionale";"53,0";"58,5";"49,2";"53,5";"44,9"
"Stato europeo";"57,4";"55,5";"55,5";"59,1";"59,9"
"Stato extraeuropeo";"41,6";"39,6";"42,6";"42,8";"42,0"
"Disponibilità ad effettuare trasferte di lavoro (%)";" ";" ";" ";" ";" "
"Sì, anche con trasferimenti di residenza";"60,7";"60,1";"54,7";"63,1";"64,6"
"Sì, anche frequenti (senza cambi di residenza)";"28,2";"27,9";"31,8";"28,5";"23,4"
"Sì, ma solo in numero limitato";"9,0";"9,6";"11,8";"5,8";"10,9"
"Non disponibili a trasferte";"0,5";"0,8";"0,8";"0,2";"0,4"
