"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"Architettura (Fac.)";"Ingegneria - sede di Bari (Fac.)";"Ingegneria 2 (Taranto) (Fac.)"
"Decisamente no";"0,8";"2,4";"0,6";"1,0"
"Valutazione delle aule (%)";" ";" ";" ";" "
"Sempre o quasi sempre adeguate";"10,5";"4,0";"11,3";"11,1"
"Spesso adeguate";"43,4";"21,6";"46,8";"37,4"
"Raramente adeguate";"37,0";"57,6";"33,7";"43,4"
"Mai adeguate";"7,8";"15,2";"6,8";"8,1"
"Non utilizzate";"0,3";"-";"0,4";"-"
"Valutazione delle postazioni informatiche (%)";" ";" ";" ";" "
"Presenti e in numero adeguato";"10,3";"1,6";"10,0";"24,2"
"Presenti, ma in numero inadeguato";"63,5";"16,8";"70,6";"52,5"
"Non presenti";"17,1";"72,0";"10,4";"15,2"
"Non utilizzate";"8,0";"8,0";"7,9";"8,1"
"Valutazione delle biblioteche (prestito/consultazione, orari di apertura ...) (%)";" ";" ";" ";" "
"Decisamente positiva";"11,7";"1,6";"11,6";"25,3"
"Abbastanza positiva";"56,9";"50,4";"57,9";"55,6"
"Abbastanza negativa";"17,9";"35,2";"15,9";"16,2"
"Decisamente negativa";"4,9";"9,6";"4,6";"2,0"
"Non utilizzate";"7,6";"1,6";"9,1";"1,0"
"Ritengono che il carico di studio degli insegnamenti sia stato sostenibile (%)";" ";" ";" ";" "
"Decisamente sì";"14,0";"12,0";"13,3";"23,2"
"Più sì che no";"59,7";"50,4";"60,8";"60,6"
"Si iscriverebbero di nuovo all'università? (%) ";" ";" ";" ";" "
"Sì, allo stesso corso dell'Ateneo";"63,0";"48,0";"64,0";"71,7"
"Sì, ma ad un altro corso dell'Ateneo";"5,7";"1,6";"6,1";"7,1"
"Sì, allo stesso corso ma in un altro Ateneo";"23,3";"42,4";"22,0";"12,1"
"Sì, ma ad un altro corso e in un altro Ateneo";"4,9";"4,8";"4,5";"9,1"
"Non si iscriverebbero più all'università";"2,4";"1,6";"2,7";"-"
"8. CONOSCENZE LINGUISTICHE E INFORMATICHE"
"";"Collettivo selezionato";"Architettura (Fac.)";"Ingegneria - sede di Bari (Fac.)";"Ingegneria 2 (Taranto) (Fac.)"
"Lingue straniere: conoscenza "almeno buona" (%)";" ";" ";" ";" "
"Inglese scritto";"71,1";"70,4";"71,6";"66,7"
"Inglese parlato";"57,7";"59,2";"58,1";"52,5"
"Francese scritto";"10,9";"16,0";"10,0";"14,1"
"Francese parlato";"10,2";"17,6";"9,1";"12,1"
"Spagnolo scritto";"4,3";"4,8";"4,6";"1,0"
"Spagnolo parlato";"5,0";"4,0";"5,3";"3,0"
"Tedesco scritto";"0,7";"-";"0,9";"-"
"Tedesco parlato";"0,7";"-";"0,8";"-"
"Strumenti informatici: conoscenza "almeno buona" (%)";" ";" ";" ";" "
"Navigazione in Internet";"93,5";"91,2";"93,8";"93,9"
"Word processor (elaborazione di testi)";"88,0";"87,2";"87,8";"90,9"
"Fogli elettronici (Excel, ...)";"80,7";"69,6";"81,3";"88,9"
"Sistemi operativi";"70,4";"71,2";"69,4";"79,8"
"Multimedia (elaborazione di suoni, immagini, video)";"55,8";"64,0";"53,8";"65,7"
"Linguaggi di programmazione";"36,0";"20,0";"36,8";"48,5"
"Data base (Oracle, SQL server, Access, ...)";"30,9";"22,4";"30,3";"47,5"
"Realizzazione siti web";"21,5";"14,4";"21,5";"30,3"
"Reti di trasmissione dati";"24,0";"16,8";"23,8";"35,4"
"CAD/CAM/CAE - Progettazione assistita";"71,0";"97,6";"67,9";"68,7"
"9. PROSPETTIVE DI STUDIO"
"";"Collettivo selezionato";"Architettura (Fac.)";"Ingegneria - sede di Bari (Fac.)";"Ingegneria 2 (Taranto) (Fac.)"
"Intendono proseguire gli studi (%)";"62,2";"65,6";"61,1";"68,7"
"Laurea triennale";"0,5";"0,8";"0,4";"1,0"
"Laurea specialistica/magistrale";"42,7";"15,2";"45,5";"49,5"
"Dottorato di ricerca";"3,6";"3,2";"3,6";"5,1"
"Scuola di specializzazione post-laurea";"0,6";"4,0";"0,2";"-"
"Master universitario";"5,6";"17,6";"4,0";"7,1"
"Altro tipo di master o corso di perfezionamento";"3,2";"12,0";"2,2";"2,0"
"Tirocinio, praticantato";"2,1";"5,6";"1,7";"1,0"
"Attività sostenuta da borsa o assegno di studio";"0,8";"3,2";"0,6";"-"
"Altre attività di qualificazione professionale";"2,8";"4,0";"2,7";"2,0"
"Non intendono proseguire";"37,0";"32,0";"38,1";"31,3"
"10. PROSPETTIVE DI LAVORO"
"";"Collettivo selezionato";"Architettura (Fac.)";"Ingegneria - sede di Bari (Fac.)";"Ingegneria 2 (Taranto) (Fac.)"
"Sono interessati a lavorare nelle seguenti aree aziendali: decisamente sì (%)";" ";" ";" ";" "
"Acquisti";"20,3";"12,8";"20,8";"25,3"
"Amministrazione, contabilità";"23,7";"10,4";"25,0";"27,3"
"Assistenza tecnica";"30,9";"15,2";"31,5";"44,4"
"Commerciale, vendite";"19,0";"16,0";"19,3";"19,2"
"Controllo di gestione";"38,6";"15,2";"40,4";"50,5"
"Finanza";"18,4";"6,4";"19,7";"20,2"
"Legale";"8,5";"6,4";"8,4";"11,1"
"Logistica, distribuzione";"33,6";"16,8";"35,1";"39,4"
"Marketing, comunicazione, pubbliche relazioni";"25,3";"34,4";"24,4";"22,2"
"Organizzazione, pianificazione";"51,5";"48,0";"51,2";"59,6"
"Produzione";"46,0";"28,0";"48,1";"47,5"
"Ricerca e sviluppo";"59,2";"54,4";"59,4";"62,6"
"Risorse umane, selezione, formazione";"27,6";"23,2";"27,3";"36,4"
"Segreteria, affari generali";"14,1";"12,8";"13,6";"20,2"
"Sistemi informativi, EDP";"25,5";"12,8";"25,6";"40,4"
"Aspetti ritenuti rilevanti nella ricerca del lavoro: decisamente sì (%)";" ";" ";" ";" "
"Acquisizione di professionalità";"83,1";"89,6";"81,7";"88,9"
"Possibilità di carriera";"74,2";"75,2";"73,3";"80,8"
"Possibilità di guadagno";"59,1";"66,4";"57,9";"61,6"
"Stabilità/sicurezza del posto di lavoro";"67,9";"73,6";"67,2";"66,7"
"Rispondenza a interessi culturali";"37,3";"68,0";"33,2";"39,4"
"Coerenza con gli studi";"46,3";"63,2";"44,2";"46,5"
"Indipendenza o autonomia";"40,3";"53,6";"37,7";"49,5"
"Tempo libero";"19,3";"27,2";"18,2";"20,2"
"Tipo di lavoro cercato (%)";" ";" ";" ";" "
"Nessuna preferenza";"57,6";"55,2";"56,8";"68,7"
"Alle dipendenze nel settore pubblico";"9,7";"10,4";"9,8";"8,1"
"Alle dipendenze nel settore privato";"22,4";"17,6";"23,8";"14,1"
"In conto proprio";"9,0";"13,6";"8,4";"9,1"
"Disponibilità a lavorare per tipo di relazione contrattuale: decisamente sì (%)";" ";" ";" ";" "
"ORARIO/MODALITA' LAVORATIVA";" ";" ";" ";" "
"Tempo pieno";"90,9";"88,0";"90,8";"94,9"
"Part-time";"30,7";"47,2";"28,0";"37,4"
"Telelavoro";"13,0";"15,2";"12,7";"13,1"
"CONTRATTO";" ";" ";" ";" "
"Tempo indeterminato";"91,8";"88,0";"92,0";"94,9"
"A tempo determinato";"37,2";"42,4";"36,0";"42,4"
"Collaborazione (compreso lavoro a progetto)";"34,0";"45,6";"32,0";"38,4"
"Inserimento (ex formazione e lavoro)";"28,8";"29,6";"28,5";"31,3"
"Stage";"27,3";"30,4";"26,7";"29,3"
"Apprendistato";"19,1";"26,4";"18,3";"18,2"
"Lavoro interinale";"18,2";"20,0";"17,9";"19,2"
"Autonomo/in conto proprio";"43,2";"52,0";"42,0";"44,4"
"Disponibilità a lavorare nelle seguenti aree geografiche: decisamente sì (%)";" ";" ";" ";" "
"Provincia di residenza";"78,0";"73,6";"78,7";"75,8"
"Sede degli studi";"74,7";"72,8";"75,2";"72,7"
"Italia settentrionale";"48,8";"44,0";"48,8";"54,5"
"Italia centrale";"50,9";"46,4";"51,7";"48,5"
"Italia meridionale";"54,4";"47,2";"55,7";"50,5"
"Stato europeo";"48,5";"47,2";"47,9";"55,6"
"Stato extraeuropeo";"36,9";"37,6";"35,6";"48,5"
"Disponibilità ad effettuare trasferte di lavoro (%)";" ";" ";" ";" "
"Sì, anche con trasferimenti di residenza";"47,7";"52,8";"47,2";"46,5"
"Sì, anche frequenti (senza cambi di residenza)";"37,8";"30,4";"37,8";"46,5"
"Sì, ma solo in numero limitato";"12,0";"12,8";"12,5";"6,1"
"Non disponibili a trasferte";"0,6";"0,8";"0,6";"-"
