"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia (attiva fino al 2006) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza (attiva fino al 2006) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)";"Scienze matematiche, fisiche e naturali (attiva fino al 2006) (Fac.)";"Scienze politiche (Fac.)"
"Indice di ritardo (rapporto fra ritardo e durata legale del corso) ";"0,56";"0,57";"0,58";"0,56";"0,81";"0,67";"0,62";"0,31";"0,61";"0,04";"0,33";"0,58";"0,82"
"5. CONDIZIONI DI STUDIO"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia (attiva fino al 2006) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza (attiva fino al 2006) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)";"Scienze matematiche, fisiche e naturali (attiva fino al 2006) (Fac.)";"Scienze politiche (Fac.)"
"Hanno alloggiato a meno di un'ora di viaggio dalla sede degli studi (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Più del 50% della durata degli studi";"67,9";"67,1";"73,1";"73,1";"64,0";"64,3";"72,9";"70,2";"79,3";"82,8";"62,2";"71,9";"61,3"
"Meno del 50%";"29,8";"31,5";"25,6";"26,4";"34,5";"32,7";"26,9";"27,4";"18,3";"17,2";"31,7";"27,5";"37,6"
"Hanno frequentato regolarmente (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Più del 75% degli insegnamenti previsti";"51,5";"73,8";"32,3";"92,9";"24,1";"49,2";"45,0";"93,4";"95,1";"96,6";"52,9";"80,7";"22,3"
"Tra il 50% e il 75%";"24,7";"20,1";"38,9";"4,9";"26,4";"26,1";"38,7";"3,2";"4,9";"1,7";"24,4";"12,6";"36,9"
"Tra il 25% e il 50%";"13,1";"4,7";"18,6";"1,1";"25,8";"14,2";"11,4";"0,8";"-";"1,7";"10,9";"3,8";"19,9"
"Meno del 25%";"9,6";"1,3";"9,9";"1,1";"23,3";"9,4";"4,8";"1,1";"-";"-";"7,8";"2,5";"20,6"
"Hanno usufruito del servizio di borse di studio (%)";"25,5";"22,8";"25,8";"23,6";"24,5";"24,8";"29,8";"21,0";"20,7";"32,8";"26,1";"26,2";"26,1"
"Hanno svolto periodi di studio all'estero nel corso degli studi universitari (%)";"6,2";"8,1";"5,4";"1,6";"3,0";"5,4";"43,8";"3,2";"4,9";"-";"2,3";"1,2";"4,9"
"Con Erasmus o altro programma dell'Unione Europea";"3,2";"6,0";"4,2";"1,6";"1,7";"4,4";"19,4";"-";"3,7";"-";"0,8";"0,4";"2,8"
"Altra esperienza riconosciuta dal corso di studi";"0,9";"0,7";"0,2";"-";"0,4";"0,2";"5,6";"2,7";"-";"-";"0,9";"0,2";"0,3"
"Iniziativa personale";"2,0";"1,3";"1,0";"-";"0,7";"0,9";"18,6";"0,5";"1,2";"-";"0,6";"0,4";"1,7"
"Non hanno compiuto studi all'estero";"92,3";"91,3";"93,7";"96,2";"95,4";"93,7";"55,9";"93,6";"93,9";"100,0";"95,7";"96,8";"93,7"
"1 o più esami all'estero convalidati (%)";"2,7";"6,7";"4,0";"-";"1,6";"2,8";"16,9";"-";"1,2";"-";"0,6";"0,2";"1,0"
"Hanno preparato all'estero una parte significativa della tesi (%)";"3,6";"3,4";"2,9";"1,6";"1,8";"3,3";"20,8";"2,4";"6,1";"-";"2,0";"1,6";"4,2"
"Hanno svolto tirocini/stage o lavoro riconosciuti dal corso di laurea (%)";"37,1";"94,0";"21,3";"62,1";"1,0";"9,2";"23,5";"67,6";"63,4";"93,1";"78,8";"38,2";"5,9"
"Presso l'università";"9,6";"2,0";"1,0";"5,5";"0,7";"3,9";"1,7";"38,3";"54,9";"84,5";"5,9";"25,8";"-"
"Al di fuori dell'università";"27,2";"90,6";"20,1";"53,8";"0,3";"5,2";"21,5";"28,7";"8,5";"8,6";"72,1";"12,4";"5,6"
"Nessuna esperienza di tirocinio o lavoro riconosciuto";"61,4";"5,4";"77,0";"36,8";"96,7";"89,3";"75,5";"31,1";"31,7";"5,2";"20,1";"60,9";"92,7"
"Mesi impiegati per la tesi/prova finale (medie)";"6,4";"9,2";"5,3";"5,9";"5,5";"7,7";"6,6";"7,4";"10,2";"3,1";"6,1";"7,8";"5,8"
"6. LAVORO DURANTE GLI STUDI"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia (attiva fino al 2006) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza (attiva fino al 2006) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)";"Scienze matematiche, fisiche e naturali (attiva fino al 2006) (Fac.)";"Scienze politiche (Fac.)"
"Hanno esperienze di lavoro (%) ";"70,6";"79,2";"74,9";"63,2";"66,0";"73,6";"82,3";"48,9";"69,5";"58,6";"75,6";"63,9";"80,1"
"Lavoratori-studenti";"4,6";"4,0";"6,3";"1,6";"5,0";"3,5";"3,1";"1,1";"2,4";"-";"5,3";"3,6";"9,8"
"Altre esperienze di lavoro con continuità a tempo pieno";"2,9";"5,4";"3,7";"2,7";"2,3";"3,7";"3,6";"1,9";"3,7";"1,7";"3,0";"2,2";"2,8"
"Lavoro a tempo parziale";"21,4";"26,8";"20,5";"22,0";"19,3";"25,3";"22,3";"15,4";"18,3";"20,7";"26,9";"16,2";"22,6"
"Lavoro occasionale, saltuario, stagionale";"41,6";"43,0";"44,4";"36,8";"39,4";"41,2";"53,3";"30,6";"45,1";"36,2";"40,4";"41,9";"44,9"
"Nessuna esperienza di lavoro";"28,7";"20,1";"24,3";"36,3";"33,1";"25,7";"17,4";"50,0";"29,3";"41,4";"23,6";"35,3";"19,9"
"Lavoro coerente con gli studi";"16,6";"33,6";"17,4";"9,3";"8,0";"18,5";"31,2";"14,4";"13,4";"3,4";"20,4";"14,6";"12,9"
"7. GIUDIZI SULL'ESPERIENZA UNIVERSITARIA"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia (attiva fino al 2006) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza (attiva fino al 2006) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)";"Scienze matematiche, fisiche e naturali (attiva fino al 2006) (Fac.)";"Scienze politiche (Fac.)"
"Sono complessivamente soddisfatti del corso di laurea (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Decisamente sì";"33,1";"25,5";"31,6";"35,7";"30,1";"39,4";"27,6";"33,0";"32,9";"55,2";"34,2";"34,5";"36,9"
"Più sì che no";"49,5";"56,4";"53,1";"47,3";"48,7";"47,7";"54,0";"44,9";"40,2";"44,8";"47,7";"49,2";"50,9"
"Più no che sì";"13,9";"14,1";"11,8";"15,9";"17,4";"10,0";"15,0";"19,1";"18,3";"-";"13,0";"13,9";"11,1"
"Decisamente no";"2,1";"3,4";"2,5";"0,5";"2,8";"0,9";"2,9";"2,4";"4,9";"-";"1,6";"1,8";"0,7"
"Sono soddisfatti dei rapporti con i docenti in generale (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Decisamente sì";"19,2";"21,5";"12,5";"18,1";"16,8";"23,1";"20,6";"29,3";"30,5";"22,4";"19,9";"19,8";"20,6"
"Più sì che no";"56,0";"63,1";"53,6";"54,9";"47,2";"60,3";"58,6";"47,1";"42,7";"67,2";"60,7";"62,4";"57,5"
"Più no che sì";"20,2";"13,4";"28,9";"24,7";"27,6";"14,2";"18,4";"21,3";"19,5";"10,3";"13,4";"15,7";"19,2"
"Decisamente no";"2,7";"1,3";"3,9";"1,1";"6,7";"1,1";"1,2";"1,3";"1,2";"-";"1,3";"1,6";"2,4"
"Sono soddisfatti dei rapporti con gli studenti (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Decisamente sì";"59,5";"70,5";"62,0";"74,7";"52,5";"57,3";"57,4";"56,1";"52,4";"63,8";"57,3";"66,6";"59,9"
"Più sì che no";"33,5";"26,2";"32,0";"20,9";"39,1";"34,4";"36,3";"36,7";"37,8";"29,3";"32,8";"28,7";"36,6"
"Più no che sì";"4,2";"2,7";"4,0";"3,3";"5,3";"5,2";"4,6";"5,6";"2,4";"6,9";"3,8";"3,6";"2,1"
"Decisamente no";"0,8";"-";"0,7";"-";"1,2";"1,5";"0,7";"0,5";"1,2";"-";"1,0";"0,5";"1,0"
"Valutazione delle aule (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Sempre o quasi sempre adeguate";"15,0";"13,4";"16,7";"20,3";"10,9";"14,4";"19,1";"16,0";"24,4";"1,7";"6,6";"27,1";"12,5"
"Spesso adeguate";"41,2";"43,0";"49,7";"45,1";"35,8";"46,0";"51,1";"38,8";"46,3";"50,0";"28,3";"45,0";"46,7"
"Raramente adeguate";"35,3";"36,2";"29,1";"28,0";"41,8";"33,6";"26,2";"36,2";"23,2";"44,8";"49,0";"24,0";"32,8"
"Mai adeguate";"5,8";"6,0";"2,4";"6,0";"8,5";"3,1";"2,4";"7,7";"2,4";"3,4";"11,2";"2,8";"4,2"
"Non utilizzate";"1,2";"-";"1,3";"-";"2,3";"2,0";"0,7";"0,3";"-";"-";"0,9";"0,5";"3,1"
"Valutazione delle postazioni informatiche (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Presenti e in numero adeguato";"18,0";"31,5";"35,2";"48,9";"8,4";"9,6";"22,0";"16,5";"41,5";"12,1";"6,1";"22,0";"6,3"
"Presenti, ma in numero inadeguato";"53,9";"61,7";"47,4";"45,6";"51,4";"58,6";"58,6";"51,1";"37,8";"51,7";"52,5";"67,7";"47,0"
"Non presenti";"9,7";"2,0";"5,6";"1,1";"11,4";"5,7";"5,3";"21,0";"11,0";"15,5";"15,4";"4,4";"15,3"
"Non utilizzate";"16,7";"3,4";"10,8";"3,3";"28,1";"24,8";"13,6";"9,3";"6,1";"20,7";"21,6";"4,9";"31,0"
"Valutazione delle biblioteche (prestito/consultazione, orari di apertura ...) (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Decisamente positiva";"18,7";"26,8";"19,0";"29,1";"17,0";"21,4";"27,8";"17,0";"36,6";"13,8";"16,0";"15,1";"14,6"
"Abbastanza positiva";"57,7";"60,4";"59,1";"56,0";"55,7";"59,0";"58,4";"53,5";"46,3";"55,2";"58,4";"61,0";"52,3"
"Abbastanza negativa";"12,3";"5,4";"10,6";"10,4";"14,5";"12,2";"8,0";"12,0";"6,1";"13,8";"12,2";"15,0";"16,7"
"Decisamente negativa";"4,5";"2,0";"3,3";"1,6";"5,7";"4,8";"3,6";"7,2";"3,7";"5,2";"3,8";"4,2";"8,4"
"Non utilizzate";"5,2";"3,4";"6,8";"1,6";"6,3";"1,7";"1,7";"8,8";"3,7";"12,1";"5,5";"3,7";"7,0"
"Ritengono che il carico di studio degli insegnamenti sia stato sostenibile (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Decisamente sì";"34,3";"24,8";"27,7";"28,6";"26,0";"41,6";"31,5";"35,1";"34,1";"34,5";"50,0";"28,6";"39,4"
"Più sì che no";"51,4";"58,4";"54,8";"56,6";"53,8";"49,7";"56,2";"51,1";"36,6";"62,1";"41,4";"55,5";"50,9"
"Si iscriverebbero di nuovo all'università? (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Sì, allo stesso corso dell'Ateneo";"57,6";"65,1";"62,0";"57,1";"60,4";"59,5";"51,3";"52,9";"52,4";"79,3";"49,1";"63,7";"55,1"
"Sì, ma ad un altro corso dell'Ateneo";"11,8";"8,7";"7,8";"6,6";"8,1";"12,0";"11,1";"9,0";"4,9";"5,2";"20,8";"11,5";"16,0"
"Sì, allo stesso corso ma in un altro Ateneo";"19,0";"12,1";"20,2";"28,0";"20,7";"16,3";"18,6";"32,2";"26,8";"10,3";"15,1";"16,6";"16,4"
"Sì, ma ad un altro corso e in un altro Ateneo";"8,3";"8,7";"6,7";"5,5";"8,2";"10,0";"17,4";"3,7";"6,1";"3,4";"9,2";"5,9";"10,8"
"Non si iscriverebbero più all'università";"1,9";"4,7";"2,3";"2,2";"1,8";"1,1";"1,2";"0,8";"7,3";"-";"2,0";"1,8";"1,7"
"8. CONOSCENZE LINGUISTICHE E INFORMATICHE"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia (attiva fino al 2006) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza (attiva fino al 2006) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)";"Scienze matematiche, fisiche e naturali (attiva fino al 2006) (Fac.)";"Scienze politiche (Fac.)"
"Lingue straniere: conoscenza "almeno buona" (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Inglese scritto";"61,5";"63,8";"64,1";"67,6";"52,1";"58,2";"89,8";"51,1";"41,5";"79,3";"53,1";"72,3";"63,8"
"Inglese parlato";"54,7";"60,4";"55,4";"61,5";"49,5";"50,8";"86,7";"43,9";"29,3";"69,0";"48,9";"56,5";"59,6"
"Francese scritto";"22,6";"14,1";"28,9";"9,3";"19,9";"21,4";"48,7";"19,9";"15,9";"12,1";"19,4";"12,0";"39,4"
"Francese parlato";"22,2";"15,4";"28,1";"10,4";"20,0";"18,7";"49,9";"18,1";"14,6";"10,3";"19,8";"10,1";"41,1"
"Spagnolo scritto";"7,6";"9,4";"6,4";"2,7";"2,8";"7,0";"35,4";"1,9";"4,9";"-";"6,6";"1,3";"24,4"
"Spagnolo parlato";"7,8";"9,4";"7,0";"3,3";"3,0";"6,8";"35,4";"2,9";"6,1";"-";"6,6";"1,3";"23,7"
"Tedesco scritto";"3,6";"1,3";"3,1";"2,2";"0,9";"3,3";"27,6";"1,6";"2,4";"1,7";"1,3";"1,0";"3,8"
"Tedesco parlato";"3,4";"1,3";"3,1";"2,2";"0,8";"3,1";"25,7";"1,6";"1,2";"1,7";"1,3";"0,8";"2,8"
"Strumenti informatici: conoscenza "almeno buona" (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Navigazione in Internet";"81,2";"85,9";"88,0";"81,3";"77,0";"73,2";"86,4";"76,6";"68,3";"82,8";"78,6";"84,6";"84,3"
"Word processor (elaborazione di testi)";"70,1";"82,6";"78,6";"66,5";"62,0";"63,6";"71,2";"61,7";"51,2";"75,9";"67,3";"78,4";"75,3"
"Fogli elettronici (Excel, ...)";"45,8";"61,1";"61,2";"39,0";"37,4";"29,4";"31,0";"38,6";"34,1";"55,2";"39,6";"63,9";"48,1"
"Sistemi operativi";"50,8";"64,4";"61,8";"50,0";"45,1";"39,2";"46,2";"48,1";"30,5";"55,2";"43,6";"62,4";"54,0"
"Multimedia (elaborazione di suoni, immagini, video)";"30,6";"35,6";"33,1";"32,4";"26,1";"23,7";"20,6";"35,4";"25,6";"37,9";"24,7";"46,2";"31,7"
"Linguaggi di programmazione";"23,1";"16,1";"21,6";"23,6";"18,6";"14,8";"18,2";"22,1";"12,2";"15,5";"18,9";"47,7";"19,9"
"Data base (Oracle, SQL server, Access, ...)";"25,3";"23,5";"30,3";"22,0";"22,4";"16,1";"16,0";"21,3";"13,4";"24,1";"19,6";"45,4";"24,0"
"Realizzazione siti web";"13,8";"12,8";"14,0";"10,4";"9,8";"8,3";"6,1";"13,6";"13,4";"13,8";"7,4";"35,5";"11,8"
"Reti di trasmissione dati";"16,0";"16,8";"14,7";"15,4";"14,5";"11,5";"7,7";"17,8";"11,0";"19,0";"14,8";"27,5";"15,0"
"CAD/CAM/CAE - Progettazione assistita";"8,4";"25,5";"6,2";"8,2";"7,4";"7,2";"4,8";"9,3";"8,5";"10,3";"6,4";"14,4";"7,3"
"9. PROSPETTIVE DI STUDIO"
