"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia - sede di Bari (attiva dal 2007) (Fac.)";"Economia 2 (Taranto) (attiva dal 2007) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza - sede di Bari (attiva dal 2007) (Fac.)(1) ";"Giurisprudenza 2 (Taranto) (attiva dal 2007) (Fac.)(1) ";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)(1) ";"Scienze matematiche, fisiche e naturali - sede di Bari (attiva dal 2007) (Fac.)";"Scienze matematiche, fisiche e naturali 2 (Taranto) (attiva dal 2007) (Fac.)";"Scienze politiche (Fac.)(1) "
"23-24 anni";"27,3";"27,0";"29,4";"21,1";"17,9";"16,7";"24,6";"32,4";"35,9";"21,6";"17,4";"36,3";"30,4";"33,2";"22,2";"25,7"
"25-26 anni";"21,7";"21,3";"20,6";"25,3";"31,8";"28,8";"43,0";"23,5";"19,4";"17,5";"25,2";"8,8";"18,4";"26,0";"7,4";"17,5"
"27 anni e oltre";"36,4";"36,2";"34,1";"33,0";"48,2";"53,8";"30,7";"29,6";"25,7";"45,9";"55,7";"3,9";"28,7";"28,6";"37,0";"49,9"
"Età alla laurea (medie, in anni)";"27,6";"26,7";"27,9";"27,6";"27,9";"29,0";"28,3";"26,9";"25,9";"29,4";"28,9";"23,6";"26,8";"26,3";"26,0";"29,8"
"Cittadini stranieri (%) ";"2,5";"1,4";"2,5";"1,0";"9,7";"1,4";"0,9";"1,3";"4,7";"4,5";"2,6";"1,0";"1,0";"2,6";"-";"2,3"
"Residenza (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Stessa provincia della sede degli studi";"75,1";"70,9";"77,1";"88,1";"62,1";"72,4";"97,4";"78,7";"76,0";"73,3";"48,7";"79,4";"77,2";"73,1";"88,9";"71,0"
"Altra provincia della stessa regione";"17,4";"20,6";"10,3";"4,6";"30,8";"17,1";"1,8";"15,8";"15,5";"21,4";"33,9";"14,7";"18,7";"22,1";"11,1";"16,1"
"Altra regione";"7,0";"8,5";"12,4";"7,2";"5,1";"10,3";"0,9";"5,2";"7,6";"4,5";"17,4";"5,9";"4,0";"4,3";"-";"12,9"
"Estero";"0,4";"-";"0,3";"-";"2,1";"0,2";"-";"0,3";"0,9";"0,8";"-";"-";"0,2";"0,5";"-";"-"
"2. ORIGINE SOCIALE"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia - sede di Bari (attiva dal 2007) (Fac.)";"Economia 2 (Taranto) (attiva dal 2007) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza - sede di Bari (attiva dal 2007) (Fac.)(1) ";"Giurisprudenza 2 (Taranto) (attiva dal 2007) (Fac.)(1) ";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)(1) ";"Scienze matematiche, fisiche e naturali - sede di Bari (attiva dal 2007) (Fac.)";"Scienze matematiche, fisiche e naturali 2 (Taranto) (attiva dal 2007) (Fac.)";"Scienze politiche (Fac.)(1) "
"Titolo di studio dei genitori (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Entrambi con laurea";"6,2";"6,0";"5,2";"2,4";"12,1";"11,3";"4,8";"7,5";"5,4";"8,0";"8,6";"14,4";"2,4";"6,3";"-";"4,4"
"Uno solo con laurea";"12,4";"20,1";"11,2";"7,1";"13,2";"18,1";"14,5";"15,0";"12,7";"10,9";"19,4";"13,4";"9,4";"12,7";"12,0";"10,2"
"Scuola media superiore";"41,4";"34,3";"40,6";"42,9";"36,8";"38,6";"38,7";"47,3";"46,0";"35,7";"41,9";"43,3";"39,4";"45,5";"60,0";"44,7"
"Titoli inferiori o nessun titolo";"37,9";"39,6";"41,8";"46,0";"36,8";"30,2";"40,3";"29,3";"34,9";"42,9";"28,0";"26,8";"44,7";"32,4";"28,0";"38,8"
"Classe sociale (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Borghesia";"15,0";"17,2";"15,3";"7,1";"20,3";"23,0";"11,3";"14,3";"12,1";"16,2";"24,7";"20,6";"11,6";"13,5";"24,0";"12,6"
"Classe media impiegatizia";"29,9";"26,1";"27,4";"27,8";"26,4";"33,3";"43,5";"39,0";"32,0";"25,5";"33,3";"38,1";"27,8";"29,3";"44,0";"29,1"
"Piccola borghesia";"22,3";"32,8";"22,9";"11,9";"26,9";"17,4";"11,3";"18,3";"20,9";"26,3";"18,3";"15,5";"24,4";"23,0";"8,0";"26,2"
"Classe operaia";"28,6";"22,4";"31,6";"50,8";"22,5";"22,1";"30,6";"25,8";"31,8";"28,1";"20,4";"20,6";"30,0";"28,6";"20,0";"29,6"
"3. STUDI SECONDARI SUPERIORI"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia - sede di Bari (attiva dal 2007) (Fac.)";"Economia 2 (Taranto) (attiva dal 2007) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza - sede di Bari (attiva dal 2007) (Fac.)(1) ";"Giurisprudenza 2 (Taranto) (attiva dal 2007) (Fac.)(1) ";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)(1) ";"Scienze matematiche, fisiche e naturali - sede di Bari (attiva dal 2007) (Fac.)";"Scienze matematiche, fisiche e naturali 2 (Taranto) (attiva dal 2007) (Fac.)";"Scienze politiche (Fac.)(1) "
"Diploma (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Liceo classico";"17,4";"11,3";"6,0";"4,1";"20,5";"32,3";"36,0";"41,5";"10,8";"14,7";"14,8";"23,5";"15,1";"11,2";"18,5";"14,0"
"Liceo linguistico";"5,6";"1,4";"2,0";"1,0";"3,1";"2,2";"6,1";"6,0";"33,7";"2,5";"1,7";"3,9";"5,9";"1,5";"3,7";"6,2"
"Liceo scientifico";"30,6";"40,4";"29,1";"18,0";"43,1";"29,2";"20,2";"25,2";"23,1";"32,0";"51,3";"61,8";"21,9";"57,7";"37,0";"20,2"
"Liceo socio-psico-pedagogico o ist. magistrale";"11,6";"2,1";"1,0";"0,5";"5,6";"4,9";"9,6";"12,7";"7,3";"8,6";"2,6";"2,0";"31,5";"4,3";"3,7";"13,6"
"Tecnico";"27,9";"37,6";"58,8";"73,2";"12,8";"27,8";"24,6";"9,4";"21,0";"24,8";"23,5";"5,9";"17,6";"21,2";"33,3";"39,3"
"Professionale";"5,1";"6,4";"1,9";"2,1";"7,2";"2,9";"3,5";"1,6";"1,9";"13,8";"3,5";"2,9";"6,5";"2,2";"3,7";"5,5"
"Istruzione artistica";"0,8";"-";"-";"0,5";"0,5";"0,2";"-";"2,8";"0,6";"1,3";"1,7";"-";"1,0";"0,6";"-";"0,5"
"Titolo estero";"1,0";"0,7";"0,9";"0,5";"6,7";"0,3";"-";"0,5";"1,3";"1,7";"0,9";"-";"0,3";"1,5";"-";"0,7"
"Voto di diploma (medie, in 100-mi) ";"82,7";"82,1";"84,8";"85,2";"83,1";"81,2";"82,3";"84,6";"86,3";"80,5";"78,2";"95,8";"81,1";"85,0";"84,0";"78,1"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia - sede di Bari (attiva dal 2007) (Fac.)";"Economia 2 (Taranto) (attiva dal 2007) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza - sede di Bari (attiva dal 2007) (Fac.)(1) ";"Giurisprudenza 2 (Taranto) (attiva dal 2007) (Fac.)(1) ";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)(1) ";"Scienze matematiche, fisiche e naturali - sede di Bari (attiva dal 2007) (Fac.)";"Scienze matematiche, fisiche e naturali 2 (Taranto) (attiva dal 2007) (Fac.)";"Scienze politiche (Fac.)(1) "
"Hanno precedenti esperienze universitarie (%) ";"21,1";"18,7";"19,6";"11,1";"8,8";"22,7";"24,2";"19,8";"11,4";"21,4";"16,1";"34,0";"28,3";"24,1";"24,0";"15,0"
"Portate a termine";"13,7";"13,4";"16,9";"8,7";"1,1";"18,3";"22,6";"10,3";"6,7";"6,6";"3,2";"29,9";"18,9";"16,7";"8,0";"1,9"
"Non portate a termine";"7,5";"5,2";"2,7";"2,4";"7,7";"4,4";"1,6";"9,5";"4,7";"14,8";"12,9";"4,1";"9,4";"7,4";"16,0";"13,1"
"Nessuna precedente esperienza universitaria";"77,5";"80,6";"79,0";"88,9";"89,6";"74,8";"74,2";"78,5";"87,9";"75,6";"83,9";"66,0";"71,0";"75,1";"76,0";"82,0"
"Motivazioni molto importanti nella scelta del corso di laurea (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Fattori sia culturali sia professionalizzanti";"53,5";"57,5";"62,2";"69,0";"67,0";"62,0";"72,6";"30,3";"48,8";"66,3";"61,3";"50,5";"44,4";"49,9";"48,0";"46,6"
"Fattori prevalentemente culturali";"28,0";"23,9";"15,7";"7,9";"18,1";"16,3";"16,1";"60,3";"38,2";"19,3";"28,0";"33,0";"31,3";"31,5";"48,0";"37,4"
"Fattori prevalentemente professionalizzanti";"8,1";"9,7";"13,5";"15,9";"8,8";"9,7";"6,5";"1,5";"3,9";"8,0";"1,1";"3,1";"6,6";"9,2";"-";"6,8"
"Né gli uni né gli altri";"8,8";"7,5";"7,9";"6,3";"4,9";"7,9";"1,6";"7,3";"8,5";"4,3";"8,6";"13,4";"14,2";"8,8";"4,0";"8,3"
"Età all'immatricolazione (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Regolare o 1 anno di ritardo";"77,7";"87,9";"78,5";"75,3";"88,7";"89,4";"75,4";"86,1";"90,1";"59,9";"79,1";"95,1";"70,9";"88,1";"70,4";"64,4"
"2 o più anni di ritardo";"22,3";"12,1";"21,5";"24,7";"11,3";"10,6";"24,6";"13,9";"9,9";"40,1";"20,9";"4,9";"29,1";"11,9";"29,6";"35,6"
"Punteggio degli esami (medie, in 30-mi) ";"26,6";"25,9";"26,1";"26,1";"24,1";"25,7";"25,6";"28,0";"27,2";"26,8";"25,5";"27,2";"27,6";"26,1";"27,1";"26,1"
"Voto di laurea (medie, in 110-mi) ";"105,6";"105,2";"104,9";"104,7";"98,6";"102,1";"101,6";"109,5";"106,2";"106,9";"101,3";"107,7";"108,0";"104,7";"109,3";"102,7"
"Regolarità negli studi (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"In corso";"37,9";"29,1";"40,6";"45,9";"15,9";"22,5";"39,5";"23,2";"21,4";"49,1";"26,1";"72,5";"54,6";"29,3";"55,6";"29,9"
"1° anno fuori corso";"17,5";"12,1";"14,1";"11,3";"13,8";"3,0";"5,3";"23,2";"24,4";"23,6";"11,3";"19,6";"21,3";"18,9";"18,5";"17,7"
"2° anno fuori corso";"13,2";"13,5";"13,7";"15,5";"20,5";"9,1";"22,8";"16,5";"20,1";"10,5";"18,3";"3,9";"9,6";"16,2";"3,7";"17,0"
"3° anno fuori corso";"11,0";"15,6";"14,3";"13,9";"13,8";"16,8";"23,7";"13,3";"11,0";"5,7";"10,4";"2,0";"6,0";"12,8";"7,4";"12,6"
"4° anno fuori corso";"5,5";"12,1";"5,2";"7,2";"8,7";"10,2";"7,9";"4,7";"6,1";"3,2";"7,8";"2,0";"2,4";"7,4";"7,4";"5,7"
"5° anno fuori corso e oltre";"14,9";"17,7";"12,2";"6,2";"27,2";"38,5";"0,9";"19,1";"16,9";"7,8";"26,1";"-";"6,1";"15,5";"7,4";"17,0"
"Durata degli studi (medie, in anni) ";"5,7";"6,4";"5,2";"4,7";"8,2";"8,5";"5,8";"6,1";"5,9";"5,2";"7,7";"3,2";"4,3";"5,8";"4,4";"6,0"
"Ritardo alla laurea (medie, in anni) ";"2,0";"2,5";"1,9";"1,3";"3,1";"4,1";"1,4";"2,5";"2,3";"1,2";"2,8";"0,3";"0,9";"2,2";"0,9";"2,3"
"Indice di ritardo (rapporto fra ritardo e durata legale del corso) ";"0,51";"0,65";"0,50";"0,36";"0,64";"1,03";"0,35";"0,68";"0,62";"0,26";"0,61";"0,09";"0,26";"0,58";"0,24";"0,63"
"5. CONDIZIONI DI STUDIO"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia - sede di Bari (attiva dal 2007) (Fac.)";"Economia 2 (Taranto) (attiva dal 2007) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza - sede di Bari (attiva dal 2007) (Fac.)(1) ";"Giurisprudenza 2 (Taranto) (attiva dal 2007) (Fac.)(1) ";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)(1) ";"Scienze matematiche, fisiche e naturali - sede di Bari (attiva dal 2007) (Fac.)";"Scienze matematiche, fisiche e naturali 2 (Taranto) (attiva dal 2007) (Fac.)";"Scienze politiche (Fac.)(1) "
"Hanno alloggiato a meno di un'ora di viaggio dalla sede degli studi (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Più del 50% della durata degli studi";"68,7";"70,9";"71,3";"73,0";"73,1";"64,9";"66,1";"67,5";"67,7";"67,8";"80,6";"80,4";"64,7";"73,2";"72,0";"60,7"
"Meno del 50%";"29,0";"27,6";"27,6";"26,2";"25,3";"32,5";"24,2";"30,8";"30,7";"29,8";"18,3";"18,6";"30,8";"25,5";"28,0";"37,9"
"Hanno frequentato regolarmente (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Più del 75% degli insegnamenti previsti";"58,2";"76,9";"35,6";"46,8";"94,0";"25,4";"27,4";"58,0";"46,5";"91,0";"89,2";"99,0";"58,5";"81,7";"92,0";"25,2"
"Tra il 50% e il 75%";"22,6";"14,9";"33,9";"32,5";"4,4";"28,3";"30,6";"27,5";"35,4";"5,3";"5,4";"-";"22,9";"14,4";"-";"31,1"
"Tra il 25% e il 50%";"10,5";"3,0";"17,6";"14,3";"0,5";"23,0";"22,6";"10,0";"13,2";"1,4";"1,1";"1,0";"8,3";"2,3";"8,0";"25,2"
"Meno del 25%";"7,3";"3,0";"12,2";"5,6";"0,5";"21,6";"16,1";"4,0";"4,4";"0,6";"3,2";"-";"7,6";"0,6";"-";"17,0"
"Hanno usufruito del servizio di borse di studio (%)";"24,4";"19,4";"24,0";"26,2";"17,6";"18,3";"27,4";"25,5";"31,0";"21,6";"16,1";"29,9";"28,6";"24,1";"32,0";"21,4"
"Hanno svolto periodi di studio all'estero nel corso degli studi universitari (%)";"7,0";"3,0";"8,9";"2,4";"4,4";"4,4";"4,8";"3,3";"34,4";"6,8";"4,3";"2,1";"2,0";"4,4";"-";"6,8"
"Con Erasmus o altro programma dell'Unione Europea";"3,4";"3,0";"7,1";"1,6";"0,5";"2,0";"3,2";"2,3";"12,4";"3,3";"2,2";"-";"0,9";"1,6";"-";"1,9"
"Altra esperienza riconosciuta dal corso di studi";"0,9";"-";"0,5";"-";"1,1";"0,2";"-";"0,3";"5,9";"1,2";"2,2";"-";"0,4";"0,5";"-";"0,5"
"Iniziativa personale";"2,7";"-";"1,2";"0,8";"2,7";"2,2";"1,6";"0,8";"15,8";"2,3";"-";"2,1";"0,7";"2,3";"-";"4,4"
"Non hanno compiuto studi all'estero";"92,4";"96,3";"90,6";"97,6";"95,6";"94,9";"91,9";"96,3";"65,6";"92,6";"95,7";"97,9";"97,2";"95,3";"100,0";"91,7"
"1 o più esami all'estero convalidati (%)";"2,9";"2,2";"7,1";"1,6";"-";"1,3";"3,2";"1,8";"12,1";"2,9";"2,2";"-";"0,4";"0,5";"-";"1,0"
"Hanno preparato all'estero una parte significativa della tesi (%)";"3,0";"0,7";"3,6";"-";"1,1";"2,6";"-";"2,8";"10,9";"2,5";"1,1";"3,1";"2,6";"1,3";"-";"2,9"
"Hanno svolto tirocini/stage o lavoro riconosciuti dal corso di laurea (%)";"51,7";"91,0";"42,0";"39,7";"76,4";"3,8";"3,2";"12,8";"45,7";"70,0";"59,1";"94,8";"83,1";"57,9";"76,0";"19,4"
"Presso l'università";"13,1";"1,5";"1,2";"0,8";"5,5";"0,4";"-";"4,5";"0,3";"36,1";"51,6";"73,2";"6,4";"39,0";"52,0";"0,5"
"Al di fuori dell'università";"38,1";"89,6";"39,7";"38,1";"67,6";"3,3";"3,2";"8,3";"45,0";"33,5";"7,5";"21,6";"76,1";"18,6";"20,0";"18,9"
"Nessuna esperienza di tirocinio o lavoro riconosciuto";"47,5";"7,5";"57,3";"58,7";"23,1";"95,4";"95,2";"86,5";"53,2";"29,4";"40,9";"5,2";"16,0";"41,8";"24,0";"78,2"
"Mesi impiegati per la tesi/prova finale (medie)";"5,8";"8,4";"4,3";"4,7";"4,9";"6,0";"5,6";"6,6";"5,3";"7,1";"9,6";"3,6";"5,6";"6,4";"6,1";"5,6"
"6. LAVORO DURANTE GLI STUDI"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia - sede di Bari (attiva dal 2007) (Fac.)";"Economia 2 (Taranto) (attiva dal 2007) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza - sede di Bari (attiva dal 2007) (Fac.)(1) ";"Giurisprudenza 2 (Taranto) (attiva dal 2007) (Fac.)(1) ";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)(1) ";"Scienze matematiche, fisiche e naturali - sede di Bari (attiva dal 2007) (Fac.)";"Scienze matematiche, fisiche e naturali 2 (Taranto) (attiva dal 2007) (Fac.)";"Scienze politiche (Fac.)(1) "
"Hanno esperienze di lavoro (%) ";"72,8";"79,9";"78,7";"71,4";"67,6";"71,7";"56,5";"72,5";"83,2";"56,9";"75,3";"40,2";"78,3";"66,5";"60,0";"85,4"
"Lavoratori-studenti";"7,1";"2,2";"12,0";"13,5";"2,7";"7,5";"4,8";"2,8";"5,2";"6,2";"2,2";"-";"7,8";"3,1";"4,0";"20,4"
"Altre esperienze di lavoro con continuità a tempo pieno";"3,5";"9,0";"3,5";"4,0";"2,7";"2,6";"3,2";"2,8";"5,2";"4,1";"6,5";"-";"3,8";"2,5";"-";"2,4"
"Lavoro a tempo parziale";"22,1";"26,9";"22,9";"15,9";"18,7";"24,3";"22,6";"24,3";"21,7";"12,5";"17,2";"9,3";"29,6";"17,8";"12,0";"25,2"
"Lavoro occasionale, saltuario, stagionale";"40,0";"41,8";"40,3";"38,1";"43,4";"37,3";"25,8";"42,8";"51,2";"34,1";"49,5";"30,9";"37,1";"43,0";"44,0";"37,4"
"Nessuna esperienza di lavoro";"26,4";"19,4";"20,4";"27,8";"31,3";"27,6";"40,3";"26,8";"16,3";"42,3";"23,7";"59,8";"20,8";"32,4";"40,0";"14,6"
"Lavoro coerente con gli studi";"18,7";"32,8";"24,6";"23,0";"12,6";"9,7";"11,3";"16,5";"23,8";"15,2";"18,3";"1,0";"23,9";"13,8";"8,0";"13,6"
"7. GIUDIZI SULL'ESPERIENZA UNIVERSITARIA"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia - sede di Bari (attiva dal 2007) (Fac.)";"Economia 2 (Taranto) (attiva dal 2007) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza - sede di Bari (attiva dal 2007) (Fac.)(1) ";"Giurisprudenza 2 (Taranto) (attiva dal 2007) (Fac.)(1) ";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)(1) ";"Scienze matematiche, fisiche e naturali - sede di Bari (attiva dal 2007) (Fac.)";"Scienze matematiche, fisiche e naturali 2 (Taranto) (attiva dal 2007) (Fac.)";"Scienze politiche (Fac.)(1) "
"Sono complessivamente soddisfatti del corso di laurea (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Decisamente sì";"35,2";"39,6";"35,5";"37,3";"44,0";"35,3";"45,2";"33,5";"22,0";"32,9";"34,4";"49,5";"37,0";"34,4";"44,0";"39,8"
"Più sì che no";"48,3";"49,3";"49,9";"47,6";"42,9";"47,9";"45,2";"47,8";"51,2";"47,0";"46,2";"44,3";"46,6";"52,6";"40,0";"45,1"
"Più no che sì";"13,6";"9,7";"12,0";"12,7";"11,0";"13,0";"4,8";"16,8";"24,5";"15,6";"16,1";"6,2";"12,8";"11,0";"16,0";"12,1"
"Decisamente no";"1,8";"0,7";"1,7";"1,6";"1,6";"2,2";"1,6";"1,5";"1,6";"4,1";"3,2";"-";"1,1";"1,4";"-";"1,9"
"Sono soddisfatti dei rapporti con i docenti in generale (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Decisamente sì";"20,1";"27,6";"15,1";"19,8";"17,6";"16,3";"32,3";"22,8";"17,1";"25,3";"18,3";"22,7";"22,8";"19,7";"48,0";"16,0"
"Più sì che no";"56,3";"60,4";"50,9";"54,8";"51,1";"48,6";"50,0";"62,0";"59,4";"49,5";"55,9";"66,0";"61,0";"59,3";"48,0";"64,1"
"Più no che sì";"19,7";"11,2";"27,9";"22,2";"29,1";"27,4";"12,9";"14,5";"20,9";"21,4";"19,4";"10,3";"12,7";"18,5";"4,0";"15,0"
"Decisamente no";"2,5";"0,7";"5,2";"0,8";"1,1";"5,5";"-";"0,8";"1,6";"3,1";"5,4";"1,0";"1,1";"0,9";"-";"4,4"
"Sono soddisfatti dei rapporti con gli studenti (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Decisamente sì";"59,7";"70,9";"62,2";"65,1";"66,5";"53,0";"48,4";"63,3";"59,2";"54,4";"65,6";"68,0";"56,9";"60,6";"60,0";"60,7"
"Più sì che no";"33,4";"23,1";"32,7";"29,4";"29,1";"37,3";"43,5";"32,3";"35,4";"35,1";"29,0";"28,9";"34,1";"33,2";"40,0";"33,5"
"Più no che sì";"4,6";"4,5";"3,0";"4,0";"2,2";"6,6";"3,2";"4,0";"3,9";"8,4";"4,3";"-";"5,4";"3,8";"-";"3,4"
"Decisamente no";"0,8";"0,7";"0,9";"-";"0,5";"0,9";"-";"0,5";"0,8";"1,2";"1,1";"1,0";"0,8";"0,8";"-";"1,0"
"Valutazione delle aule (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Sempre o quasi sempre adeguate";"16,5";"18,7";"17,5";"19,0";"17,6";"11,5";"12,9";"12,3";"14,7";"18,5";"33,3";"34,0";"6,7";"30,7";"4,0";"16,0"
"Spesso adeguate";"41,4";"42,5";"49,8";"46,8";"46,2";"38,2";"35,5";"46,5";"48,8";"39,0";"52,7";"44,3";"28,6";"38,3";"40,0";"53,4"
"Raramente adeguate";"34,2";"32,8";"27,1";"27,8";"34,6";"37,3";"41,9";"33,5";"31,8";"34,5";"10,8";"21,6";"51,2";"26,0";"44,0";"23,3"
"Mai adeguate";"5,6";"4,5";"2,9";"3,2";"1,1";"8,2";"4,8";"5,8";"4,1";"6,8";"3,2";"-";"10,0";"3,8";"12,0";"4,4"
"Non utilizzate";"1,2";"0,7";"2,1";"2,4";"-";"3,1";"1,6";"1,5";"-";"0,2";"-";"-";"1,2";"0,3";"-";"2,4"
"Valutazione delle postazioni informatiche (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Presenti e in numero adeguato";"19,4";"29,9";"25,3";"28,6";"65,4";"5,3";"11,3";"9,8";"23,3";"16,4";"52,7";"28,9";"7,4";"29,9";"-";"1,9"
"Presenti, ma in numero inadeguato";"49,6";"59,7";"49,0";"50,8";"29,7";"42,4";"40,3";"64,5";"57,4";"52,8";"33,3";"62,9";"44,8";"59,0";"60,0";"23,8"
"Non presenti";"12,0";"4,5";"8,0";"4,0";"1,1";"16,1";"11,3";"8,8";"2,6";"19,7";"3,2";"4,1";"20,5";"5,5";"36,0";"29,6"
