"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Economia e finanza (Dip.)";"Economia, management e diritto dell'impresa (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi umanistici (DISUM) (Dip.)"
"Titoli inferiori o nessun titolo";"30,3";"27,3";"18,4";"25,0";"14,8";"30,7";"31,2";"25,6";"16,0";"20,6";"33,0";"35,9";"22,9";"28,1";"20,4";"28,6";"36,9";"37,8";"24,1";"38,7";"43,6";"29,4"
"Classe sociale (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Classe elevata";"16,0";"14,2";"18,4";"16,0";"26,2";"18,6";"15,3";"17,1";"20,0";"30,0";"10,4";"11,4";"16,7";"17,7";"20,4";"20,8";"11,9";"12,6";"18,5";"16,1";"8,9";"14,7"
"Classe media impiegatizia";"28,5";"28,7";"33,8";"32,7";"32,8";"29,3";"26,2";"31,2";"48,0";"27,7";"25,2";"31,3";"41,7";"29,3";"35,5";"26,0";"21,4";"25,8";"29,6";"27,0";"24,6";"33,6"
"Classe media autonoma";"23,9";"23,9";"25,0";"16,7";"14,8";"21,0";"28,7";"22,2";"22,7";"19,3";"29,1";"18,1";"16,7";"20,2";"22,6";"36,4";"32,7";"27,9";"20,4";"28,5";"27,6";"19,7"
"Classe del lavoro esecutivo";"29,1";"30,8";"21,3";"32,1";"23,0";"29,3";"28,3";"27,4";"9,3";"19,8";"33,5";"34,6";"25,0";"30,0";"19,4";"15,6";"30,4";"31,0";"31,5";"26,3";"36,5";"29,8"
"3. STUDI SECONDARI SUPERIORI"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Economia e finanza (Dip.)";"Economia, management e diritto dell'impresa (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi umanistici (DISUM) (Dip.)"
"Diploma (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Liceo classico";"19,5";"26,6";"23,8";"20,2";"26,2";"7,5";"10,3";"20,6";"9,1";"37,5";"5,0";"14,5";"8,3";"17,4";"20,2";"15,1";"20,8";"18,2";"16,9";"4,7";"17,4";"39,7"
"Liceo linguistico";"7,2";"25,5";"4,1";"4,3";"3,1";"2,6";"5,5";"3,6";"-";"4,5";"0,4";"3,0";"-";"3,1";"3,8";"1,2";"2,8";"8,0";"1,7";"4,0";"6,2";"4,3"
"Liceo scientifico";"40,3";"23,3";"61,9";"62,6";"56,9";"43,0";"40,4";"60,5";"85,7";"35,2";"42,3";"26,2";"91,7";"59,5";"58,7";"60,5";"45,5";"27,2";"59,3";"40,9";"25,6";"30,5"
"Liceo socio-psico-pedagogico o ist. magistrale";"8,9";"8,0";"4,8";"3,7";"-";"3,0";"2,4";"6,0";"-";"5,5";"1,2";"2,8";"-";"4,3";"5,8";"-";"5,6";"29,0";"6,8";"2,0";"27,9";"10,6"
"Tecnico";"20,4";"12,4";"2,7";"7,4";"13,8";"41,6";"38,6";"7,7";"5,2";"15,1";"50,2";"48,6";"-";"11,0";"8,7";"22,1";"17,4";"13,5";"10,2";"44,3";"18,0";"8,2"
"Professionale";"2,3";"2,1";"2,0";"0,6";"-";"1,6";"1,6";"0,8";"-";"1,7";"0,8";"4,1";"-";"3,2";"2,9";"1,2";"7,9";"2,3";"-";"2,7";"3,7";"1,8"
"Istruzione artistica";"0,8";"0,8";"-";"1,2";"-";"-";"0,5";"-";"-";"0,3";"-";"0,7";"-";"0,8";"-";"-";"-";"1,4";"5,1";"-";"0,9";"5,0"
"Titolo estero";"0,5";"1,3";"0,7";"-";"-";"0,7";"0,6";"0,8";"-";"0,3";"-";"-";"-";"0,7";"-";"-";"-";"0,3";"-";"1,3";"0,5";"-"
"Voto di diploma (medie, in 100-mi) ";"83,7";"85,2";"86,3";"88,7";"88,2";"84,3";"82,6";"86,2";"92,6";"81,9";"83,3";"81,5";"96,5";"85,8";"82,0";"81,5";"80,7";"82,2";"81,9";"83,9";"78,7";"83,4"
"Hanno conseguito il diploma (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Nella stessa provincia della sede degli studi universitari";"62,2";"56,0";"58,5";"58,9";"69,2";"67,5";"65,2";"56,0";"76,6";"61,0";"63,1";"72,5";"66,7";"62,9";"39,4";"57,0";"59,6";"65,3";"64,4";"69,1";"55,3";"63,5"
"In una provincia limitrofa";"28,3";"33,4";"31,3";"31,3";"16,9";"29,2";"29,2";"31,0";"19,5";"31,5";"27,0";"11,3";"18,8";"27,7";"23,1";"26,7";"32,0";"27,8";"23,7";"22,8";"32,2";"30,5"
"In una provincia non limitrofa, ma nella stessa ripartizione geografica";"8,1";"8,5";"9,5";"9,8";"12,3";"2,3";"4,9";"11,7";"3,9";"6,0";"9,5";"12,4";"14,6";"8,1";"33,7";"15,1";"7,9";"5,5";"11,9";"4,7";"11,6";"5,3"
"Al Sud, ma si sono laureati al Centro-Nord";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Al Centro, ma si sono laureati al Nord o al Sud";"0,3";"0,2";"-";"-";"1,5";"-";"0,1";"0,4";"-";"0,5";"-";"1,3";"-";"0,1";"2,9";"-";"-";"0,1";"-";"-";"0,2";"-"
"Al Nord, ma si sono laureati al Centro-Sud";"0,3";"0,3";"-";"-";"-";"-";"-";"-";"-";"0,2";"-";"2,6";"-";"0,2";"1,0";"-";"0,6";"0,3";"-";"-";"-";"0,7"
"All'estero";"0,8";"1,7";"0,7";"-";"-";"1,0";"0,6";"0,8";"-";"0,8";"0,4";"-";"-";"1,1";"-";"1,2";"-";"1,0";"-";"3,4";"0,7";"-"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Economia e finanza (Dip.)";"Economia, management e diritto dell'impresa (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi umanistici (DISUM) (Dip.)"
"Hanno precedenti esperienze universitarie (%) ";"34,7";"34,9";"22,1";"67,3";"37,7";"20,0";"49,2";"6,8";"44,0";"6,1";"26,5";"24,3";"52,1";"38,4";"39,8";"24,7";"44,6";"45,6";"37,0";"24,8";"35,0";"43,3"
"Portate a termine";"23,4";"28,2";"13,2";"66,0";"34,4";"16,2";"43,3";"3,4";"34,7";"1,7";"17,8";"14,2";"43,8";"9,0";"11,8";"7,8";"39,9";"34,7";"27,8";"17,5";"23,2";"29,4"
"Non portate a termine";"11,3";"6,6";"8,8";"1,3";"3,3";"3,8";"5,9";"3,4";"9,3";"4,4";"8,7";"10,1";"8,3";"29,4";"28,0";"16,9";"4,8";"10,9";"9,3";"7,3";"11,8";"13,9"
"Nessuna precedente esperienza universitaria";"65,0";"65,0";"77,9";"32,7";"62,3";"80,0";"50,7";"92,7";"56,0";"93,1";"73,0";"75,2";"47,9";"61,5";"59,1";"75,3";"55,4";"54,3";"63,0";"74,5";"64,3";"55,9"
"Motivazioni molto importanti nella scelta del corso di laurea (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Fattori sia culturali sia professionalizzanti";"48,4";"39,5";"39,0";"46,8";"47,5";"51,0";"57,0";"52,1";"41,3";"51,7";"60,9";"48,1";"39,6";"57,0";"46,2";"46,8";"51,8";"42,1";"35,2";"57,7";"44,6";"28,6"
"Fattori prevalentemente culturali";"29,2";"40,1";"49,3";"41,0";"21,3";"20,0";"17,8";"29,1";"40,0";"31,9";"16,1";"15,0";"54,2";"21,6";"36,6";"23,4";"26,2";"34,1";"51,9";"10,2";"29,8";"60,1"
"Fattori prevalentemente professionalizzanti";"6,6";"3,6";"0,7";"1,9";"8,2";"14,5";"7,4";"6,4";"4,0";"4,6";"11,3";"10,1";"4,2";"6,9";"3,2";"7,8";"7,1";"7,3";"1,9";"10,9";"7,9";"1,3"
"Né gli uni né gli altri";"15,7";"16,8";"11,0";"10,3";"23,0";"14,5";"17,9";"12,4";"14,7";"11,8";"11,7";"26,6";"2,1";"14,4";"14,0";"22,1";"14,9";"16,2";"11,1";"21,2";"17,7";"10,1"
"Età all'immatricolazione (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Regolare o 1 anno di ritardo";"79,2";"81,4";"90,5";"63,8";"76,9";"89,8";"76,4";"94,8";"92,2";"93,4";"87,6";"61,6";"83,3";"79,3";"84,6";"86,0";"79,2";"70,5";"72,9";"83,9";"74,4";"75,2"
"2 o più anni di ritardo";"20,8";"18,6";"9,5";"36,2";"23,1";"10,2";"23,6";"5,2";"7,8";"6,6";"12,4";"38,4";"16,7";"20,7";"15,4";"14,0";"20,8";"29,5";"27,1";"16,1";"25,6";"24,8"
"Punteggio degli esami (medie, in 30-mi) ";"26,5";"27,1";"25,8";"27,2";"25,8";"25,3";"26,0";"24,8";"27,2";"26,5";"25,1";"25,8";"27,3";"27,0";"25,7";"25,8";"26,0";"27,2";"26,0";"25,1";"26,5";"27,9"
"Voto di laurea (medie, in 110-mi) ";"104,3";"105,8";"102,4";"106,7";"104,1";"98,6";"101,6";"102,3";"106,8";"104,5";"102,1";"102,0";"106,9";"108,1";"101,9";"103,4";"104,1";"105,0";"102,8";"98,6";"102,9";"108,1"
"Regolarità negli studi (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"In corso";"45,1";"33,7";"34,7";"56,4";"26,2";"43,9";"52,1";"35,9";"39,0";"32,2";"39,0";"55,7";"41,7";"55,5";"21,2";"48,8";"52,8";"56,4";"30,5";"42,3";"38,4";"35,5"
"1° anno fuori corso";"23,8";"32,9";"27,9";"25,2";"32,3";"22,3";"23,5";"14,1";"22,1";"21,7";"24,5";"12,8";"27,1";"22,5";"24,0";"23,3";"22,5";"21,6";"27,1";"19,5";"26,0";"29,4"
"2° anno fuori corso";"11,2";"13,8";"10,2";"5,5";"9,2";"14,4";"9,6";"8,9";"19,5";"14,3";"11,6";"7,4";"18,8";"8,4";"16,3";"9,3";"12,4";"7,9";"13,6";"12,1";"16,9";"15,2"
"3° anno fuori corso";"6,2";"6,8";"6,8";"4,3";"7,7";"6,2";"5,8";"9,7";"6,5";"8,0";"10,4";"7,8";"6,3";"3,7";"8,7";"7,0";"6,2";"4,4";"8,5";"4,7";"6,2";"6,4"
"4° anno fuori corso";"4,3";"3,7";"6,8";"2,5";"4,6";"4,9";"3,5";"8,1";"3,9";"7,6";"3,7";"5,0";"-";"3,1";"6,7";"3,5";"3,4";"3,4";"5,1";"4,7";"4,1";"4,3"
"5° anno fuori corso e oltre";"9,5";"9,1";"13,6";"6,1";"20,0";"8,2";"5,5";"23,4";"9,1";"16,3";"10,8";"11,3";"6,3";"6,8";"23,1";"8,1";"2,8";"6,3";"15,3";"16,8";"8,4";"9,2"
"Durata degli studi (medie, in anni) ";"4,8";"4,4";"5,2";"3,4";"5,5";"4,4";"3,7";"7,8";"4,3";"7,5";"4,8";"4,9";"4,3";"5,1";"7,5";"4,7";"3,7";"3,9";"4,9";"6,0";"4,4";"4,4"
"Ritardo alla laurea (medie, in anni) ";"1,3";"1,3";"1,9";"0,8";"2,3";"1,3";"0,9";"2,5";"1,3";"2,3";"1,6";"1,3";"1,4";"1,0";"2,8";"1,5";"0,8";"0,9";"1,9";"2,7";"1,3";"1,4"
"Indice di ritardo (rapporto fra ritardo e durata normale del corso) ";"0,40";"0,46";"0,58";"0,30";"0,78";"0,43";"0,31";"0,52";"0,46";"0,52";"0,55";"0,36";"0,46";"0,24";"0,66";"0,47";"0,28";"0,30";"0,69";"0,80";"0,43";"0,50"
"5. CONDIZIONI DI STUDIO"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Economia e finanza (Dip.)";"Economia, management e diritto dell'impresa (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi umanistici (DISUM) (Dip.)"
"Hanno alloggiato a meno di un'ora di viaggio dalla sede degli studi (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Più del 50% della durata degli studi";"73,5";"71,2";"69,9";"75,6";"80,3";"74,1";"74,7";"71,8";"89,3";"71,8";"74,8";"79,8";"79,2";"78,7";"82,8";"76,6";"73,8";"69,4";"66,7";"75,9";"64,3";"66,0"
"Meno del 50%";"25,8";"27,6";"29,4";"21,8";"19,7";"25,9";"24,9";"27,8";"10,7";"27,9";"25,2";"18,6";"20,8";"20,6";"17,2";"23,4";"25,6";"29,3";"31,5";"23,4";"35,2";"33,6"
"Hanno frequentato regolarmente (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Più del 75% degli insegnamenti previsti";"66,2";"61,1";"97,1";"98,1";"86,9";"51,0";"64,5";"94,4";"80,0";"30,2";"75,2";"60,5";"87,5";"90,0";"80,6";"75,3";"72,6";"58,4";"94,4";"46,0";"34,7";"78,2"
"Tra il 50% e il 75%";"19,5";"25,5";"2,2";"1,9";"11,5";"32,1";"22,5";"5,6";"16,0";"29,6";"15,7";"21,2";"10,4";"7,4";"15,1";"18,2";"19,0";"22,7";"3,7";"27,7";"33,3";"11,3"
"Tra il 25% e il 50%";"8,6";"8,7";"0,7";"-";"1,6";"14,1";"8,9";"-";"2,7";"23,1";"7,0";"10,6";"-";"1,6";"1,1";"-";"4,2";"10,1";"1,9";"16,8";"18,5";"5,5"
"Meno del 25%";"5,5";"4,6";"-";"-";"-";"2,8";"4,1";"-";"1,3";"16,8";"1,7";"7,2";"2,1";"0,7";"3,2";"6,5";"4,2";"8,7";"-";"9,5";"13,5";"4,6"
"Hanno usufruito del servizio di borse di studio (%)";"32,0";"35,1";"24,3";"30,1";"16,4";"33,4";"34,9";"30,3";"20,0";"21,6";"35,2";"26,6";"37,5";"32,2";"21,5";"24,7";"31,0";"36,8";"24,1";"27,7";"39,9";"31,1"
"Hanno svolto periodi di studio all'estero nel corso degli studi universitari (%)";"7,8";"18,1";"-";"3,2";"6,6";"6,6";"5,7";"10,3";"10,7";"7,8";"1,3";"4,9";"8,3";"10,3";"7,5";"10,4";"6,5";"3,0";"1,9";"8,8";"3,4";"6,3"
"Con Erasmus o altro programma dell'Unione Europea";"5,5";"13,2";"-";"1,3";"1,6";"5,5";"3,0";"8,1";"1,3";"4,6";"0,4";"3,1";"6,3";"8,9";"5,4";"9,1";"3,6";"2,1";"-";"5,8";"2,5";"4,6"
"Altra esperienza riconosciuta dal corso di studi";"0,9";"1,6";"-";"1,3";"4,9";"0,3";"0,7";"2,1";"5,3";"1,0";"0,9";"0,5";"2,1";"0,6";"1,1";"1,3";"1,8";"0,2";"1,9";"0,7";"0,7";"0,8"
"Iniziativa personale";"1,3";"3,3";"-";"0,6";"-";"0,7";"2,0";"-";"4,0";"2,3";"-";"1,3";"-";"0,9";"1,1";"-";"1,2";"0,7";"-";"2,2";"0,2";"0,8"
"Non hanno compiuto studi all'estero";"92,0";"81,7";"100,0";"96,2";"93,4";"93,4";"94,3";"89,3";"89,3";"92,2";"98,7";"95,1";"91,7";"89,6";"92,5";"89,6";"92,9";"96,6";"98,1";"90,5";"96,6";"93,3"
"1 o più esami all'estero convalidati (%)";"4,9";"12,6";"-";"-";"-";"5,2";"2,2";"1,7";"-";"4,6";"-";"2,8";"6,3";"8,2";"4,3";"9,1";"3,0";"2,0";"-";"6,6";"2,0";"3,8"
"Hanno preparato all'estero una parte significativa della tesi (%)";"2,5";"4,0";"1,5";"3,2";"6,6";"1,4";"1,7";"9,0";"10,7";"1,7";"0,9";"2,8";"8,3";"0,9";"1,1";"5,2";"3,0";"1,7";"1,9";"2,2";"1,0";"4,6"
"Hanno svolto tirocini/stage o lavoro riconosciuti dal corso di laurea (%)";"57,7";"58,7";"23,5";"85,3";"75,4";"7,9";"58,8";"92,7";"49,3";"5,2";"66,1";"58,1";"10,4";"73,6";"68,8";"88,3";"80,4";"74,9";"88,9";"9,5";"70,9";"27,7"
"Tirocini organizzati dal corso e svolti presso l'università";"10,6";"5,3";"14,0";"58,3";"60,7";"-";"0,3";"3,8";"25,3";"0,4";"53,0";"1,8";"2,1";"20,9";"46,2";"-";"17,9";"5,8";"25,9";"-";"0,7";"6,3"
"Tirocini organizzati dal corso e svolti al di fuori dell'università";"39,2";"40,2";"4,4";"25,0";"13,1";"3,8";"42,9";"82,5";"20,0";"3,8";"9,6";"37,2";"6,3";"50,3";"20,4";"75,3";"57,1";"58,1";"53,7";"5,8";"66,3";"18,1"
"Attività di lavoro successivamente riconosciute dal corso";"6,7";"11,7";"2,9";"1,3";"1,6";"4,1";"14,1";"3,0";"4,0";"0,8";"2,6";"18,1";"2,1";"0,8";"1,1";"11,7";"3,6";"9,3";"9,3";"3,6";"3,4";"2,9"
"Nessuna esperienza di tirocinio o lavoro riconosciuto";"42,0";"40,7";"76,5";"14,7";"24,6";"91,7";"41,2";"7,3";"50,7";"94,3";"33,9";"41,6";"89,6";"26,2";"30,1";"11,7";"19,6";"24,8";"11,1";"90,5";"29,1";"71,4"
