"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Filosofia, letteratura storia e scienze sociali (FLESS) (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze dell'antichita' e del tardoantico (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi aziendali e giusprivatistici (Dip.)";"Studi umanistici (DISUM) (Dip.)"
"Liceo linguistico";"7,6";"25,3";"4,6";"3,3";"-";"1,6";"3,6";"1,5";"5,6";"1,3";"2,2";"-";"3,4";"4,9";"4,7";"4,7";"6,7";"1,9";"6,9";"5,5";"10,7";"3,6";"3,8"
"Liceo scientifico";"37,3";"26,4";"57,7";"70,1";"60,7";"56,0";"25,2";"81,8";"32,6";"31,6";"32,2";"81,8";"54,8";"49,2";"46,5";"43,0";"23,0";"46,3";"26,5";"43,3";"20,5";"39,1";"25,3"
"Liceo socio-psico-pedagogico o ist. magistrale";"9,6";"6,7";"5,4";"3,8";"-";"3,6";"16,2";"1,5";"5,9";"0,9";"5,4";"1,8";"5,0";"2,5";"2,3";"6,3";"29,4";"-";"5,9";"2,6";"22,0";"1,9";"10,1"
"Tecnico";"20,5";"11,9";"3,8";"4,7";"18,0";"8,8";"6,3";"4,5";"16,1";"60,4";"39,3";"7,3";"12,9";"14,8";"25,6";"25,8";"16,0";"22,2";"5,9";"35,5";"24,4";"41,4";"11,4"
"Professionale";"3,1";"2,3";"1,5";"1,4";"1,6";"2,0";"1,8";"-";"0,6";"1,3";"3,7";"1,8";"4,1";"2,5";"3,5";"9,4";"5,8";"1,9";"2,0";"1,0";"4,8";"2,4";"2,5"
"Istruzione artistica";"0,9";"1,1";"1,5";"0,5";"-";"0,4";"2,7";"-";"0,6";"-";"2,0";"-";"0,4";"2,5";"1,2";"-";"1,4";"1,9";"7,8";"0,3";"0,4";"0,1";"1,3"
"Titolo estero";"0,6";"0,9";"0,8";"-";"-";"2,0";"-";"-";"0,2";"-";"-";"-";"0,3";"0,8";"-";"-";"0,1";"-";"-";"2,6";"1,7";"0,6";"-"
"Voto di diploma (medie, in 100-mi) ";"83,8";"86,1";"86,3";"90,6";"89,7";"86,8";"84,8";"94,9";"81,5";"82,6";"82,7";"95,5";"86,3";"80,2";"81,9";"83,1";"80,6";"83,9";"83,7";"83,5";"78,2";"84,4";"82,8"
"Hanno conseguito il diploma (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Nella stessa provincia della sede degli studi universitari";"63,0";"57,4";"51,5";"59,2";"78,7";"58,4";"64,0";"65,2";"67,1";"65,3";"74,1";"67,3";"62,6";"37,7";"60,5";"53,9";"64,9";"64,8";"67,6";"71,3";"54,9";"68,8";"58,2"
"In una provincia limitrofa";"27,7";"32,8";"37,7";"33,2";"19,7";"28,4";"27,9";"27,3";"26,8";"26,2";"8,0";"29,1";"25,2";"30,3";"30,2";"38,3";"27,6";"31,5";"29,4";"22,5";"35,9";"26,8";"34,2"
"In una provincia non limitrofa, ma nella stessa ripartizione geografica";"7,8";"8,4";"10,0";"7,6";"1,6";"10,8";"8,1";"7,6";"5,3";"7,6";"12,7";"3,6";"11,2";"27,0";"8,1";"7,0";"7,0";"3,7";"2,0";"2,9";"7,2";"3,3";"5,1"
"Al Sud, ma si sono laureati al Centro-Nord";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Al Centro, ma si sono laureati al Nord o al Sud";"0,3";"-";"-";"-";"-";"-";"-";"-";"0,2";"-";"3,4";"-";"0,3";"1,6";"-";"-";"0,1";"-";"-";"-";"-";"0,1";"-"
"Al Nord, ma si sono laureati al Centro-Sud";"0,5";"0,4";"-";"-";"-";"0,4";"-";"-";"0,5";"0,9";"1,7";"-";"0,4";"1,6";"1,2";"0,8";"0,3";"-";"1,0";"0,3";"0,2";"0,4";"2,5"
"All'estero";"0,6";"1,0";"0,8";"-";"-";"2,0";"-";"-";"0,2";"-";"-";"-";"0,3";"1,6";"-";"-";"0,2";"-";"-";"2,9";"1,7";"0,6";"-"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Filosofia, letteratura storia e scienze sociali (FLESS) (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze dell'antichita' e del tardoantico (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi aziendali e giusprivatistici (Dip.)";"Studi umanistici (DISUM) (Dip.)"
"Hanno precedenti esperienze universitarie (%) ";"32,8";"36,7";"19,6";"62,8";"55,4";"8,9";"40,7";"26,2";"4,9";"26,8";"27,0";"46,2";"31,8";"24,8";"26,8";"52,9";"41,8";"40,8";"41,2";"24,0";"32,1";"43,3";"33,3"
"Portate a termine";"23,3";"30,3";"12,5";"60,2";"51,8";"4,2";"34,6";"24,6";"1,3";"15,0";"15,2";"44,2";"7,7";"9,2";"23,2";"49,6";"31,0";"26,5";"24,7";"16,6";"23,1";"39,3";"27,3"
"Non portate a termine";"9,5";"6,4";"7,1";"2,6";"3,6";"4,7";"6,2";"1,5";"3,7";"11,7";"11,8";"1,9";"24,1";"15,6";"3,7";"3,4";"10,8";"14,3";"16,5";"7,4";"9,1";"4,1";"6,1"
"Nessuna precedente esperienza universitaria";"66,7";"62,9";"80,4";"37,2";"42,9";"90,3";"58,0";"73,8";"94,5";"72,8";"71,6";"53,8";"68,0";"75,2";"73,2";"47,1";"57,8";"59,2";"58,8";"75,3";"67,4";"55,7";"66,7"
"Motivazioni molto importanti nella scelta del corso di laurea (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Fattori sia culturali sia professionalizzanti";"45,7";"34,0";"40,2";"36,1";"50,0";"57,6";"16,0";"43,1";"60,3";"57,7";"39,9";"40,4";"55,2";"45,9";"51,2";"63,9";"39,2";"38,8";"20,0";"52,7";"38,3";"53,6";"22,7"
"Fattori prevalentemente culturali";"32,4";"45,3";"53,6";"49,2";"19,6";"27,1";"70,4";"43,1";"26,0";"16,0";"23,0";"40,4";"27,1";"43,1";"29,3";"19,3";"37,3";"44,9";"68,2";"12,7";"29,5";"19,1";"57,6"
"Fattori prevalentemente professionalizzanti";"6,9";"3,4";"1,8";"3,1";"12,5";"6,8";"2,5";"7,7";"4,8";"14,6";"10,5";"5,8";"7,2";"4,6";"3,7";"5,0";"5,5";"-";"1,2";"14,1";"10,4";"11,4";"3,0"
"Né gli uni né gli altri";"14,6";"16,9";"4,5";"11,5";"17,9";"8,1";"11,1";"6,2";"8,1";"11,3";"25,0";"11,5";"10,3";"5,5";"15,9";"11,8";"17,8";"16,3";"10,6";"20,1";"21,5";"15,8";"13,6"
"Età all'immatricolazione (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Regolare o 1 anno di ritardo";"78,9";"81,8";"91,5";"65,9";"67,2";"94,0";"65,8";"92,4";"93,6";"79,1";"62,2";"83,6";"81,2";"86,1";"73,3";"70,3";"68,3";"77,8";"87,3";"88,3";"72,8";"81,4";"84,8"
"2 o più anni di ritardo";"21,1";"18,2";"8,5";"34,1";"32,8";"6,0";"34,2";"7,6";"6,4";"20,9";"37,8";"16,4";"18,8";"13,9";"26,7";"29,7";"31,7";"22,2";"12,7";"11,7";"27,2";"18,6";"15,2"
"Punteggio degli esami (medie, in 30-mi) ";"26,5";"27,4";"25,4";"27,1";"26,0";"24,6";"28,6";"27,3";"26,5";"25,5";"25,8";"26,8";"27,0";"25,4";"26,3";"26,2";"27,0";"25,8";"27,2";"25,4";"26,2";"26,0";"28,1"
"Voto di laurea (medie, in 110-mi) ";"104,3";"107,0";"101,0";"106,0";"104,7";"101,7";"110,4";"107,7";"104,0";"102,7";"102,7";"104,7";"107,6";"100,8";"105,6";"105,1";"104,1";"101,9";"105,5";"99,4";"101,7";"101,6";"108,6"
"Regolarità negli studi (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"In corso";"41,7";"34,4";"33,8";"41,2";"31,1";"34,0";"45,0";"42,4";"35,2";"28,4";"52,4";"23,6";"52,1";"19,7";"50,0";"38,3";"49,3";"25,9";"26,5";"42,0";"39,2";"46,3";"29,1"
"1° anno fuori corso";"24,8";"34,0";"23,8";"34,6";"34,4";"12,0";"30,6";"24,2";"18,6";"25,3";"13,9";"25,5";"19,8";"21,3";"22,1";"28,1";"24,1";"25,9";"25,5";"30,0";"30,9";"24,7";"32,9"
"2° anno fuori corso";"11,6";"12,1";"8,5";"14,7";"18,0";"12,8";"10,8";"15,2";"11,5";"13,8";"9,8";"20,0";"10,4";"8,2";"12,8";"18,8";"8,1";"24,1";"16,7";"11,4";"11,1";"13,2";"17,7"
"3° anno fuori corso";"6,8";"7,0";"8,5";"3,8";"4,9";"10,4";"5,4";"9,1";"9,9";"8,9";"6,3";"10,9";"5,0";"12,3";"3,5";"9,4";"5,6";"9,3";"12,7";"4,2";"5,9";"6,1";"8,9"
"4° anno fuori corso";"4,4";"3,8";"6,9";"3,3";"3,3";"7,6";"2,7";"3,0";"6,5";"7,1";"5,6";"3,6";"3,3";"9,8";"2,3";"2,3";"4,0";"5,6";"4,9";"2,3";"4,1";"4,0";"1,3"
"5° anno fuori corso e oltre";"10,7";"8,7";"18,5";"2,4";"8,2";"23,2";"5,4";"6,1";"18,3";"16,4";"12,0";"16,4";"9,3";"28,7";"9,3";"3,1";"8,9";"9,3";"13,7";"10,1";"8,7";"5,8";"10,1"
"Durata degli studi (medie, in anni) ";"5,1";"4,5";"5,2";"3,5";"4,1";"7,6";"3,9";"4,4";"7,7";"5,3";"5,3";"5,0";"5,6";"8,0";"4,9";"3,8";"4,2";"4,6";"4,9";"4,8";"4,6";"3,9";"4,9"
"Ritardo alla laurea (medie, in anni) ";"1,5";"1,4";"2,0";"0,7";"1,2";"2,5";"1,0";"1,3";"2,6";"2,0";"1,5";"2,0";"1,3";"3,1";"1,7";"0,9";"1,1";"1,5";"1,8";"1,6";"1,4";"1,0";"1,9"
"Indice di ritardo (rapporto fra ritardo e durata legale del corso) ";"0,44";"0,47";"0,64";"0,30";"0,44";"0,55";"0,34";"0,45";"0,60";"0,69";"0,40";"0,71";"0,32";"0,69";"0,44";"0,35";"0,37";"0,52";"0,61";"0,49";"0,47";"0,35";"0,65"
"5. CONDIZIONI DI STUDIO"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Filosofia, letteratura storia e scienze sociali (FLESS) (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze dell'antichita' e del tardoantico (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi aziendali e giusprivatistici (Dip.)";"Studi umanistici (DISUM) (Dip.)"
"Hanno alloggiato a meno di un'ora di viaggio dalla sede degli studi (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Più del 50% della durata degli studi";"74,1";"75,7";"72,3";"78,0";"76,8";"71,6";"64,2";"84,6";"72,0";"72,8";"80,7";"76,9";"77,5";"84,4";"75,6";"78,2";"69,8";"77,6";"78,8";"74,2";"65,3";"76,4";"60,6"
"Meno del 50%";"24,7";"23,6";"26,8";"20,4";"23,2";"28,0";"35,8";"15,4";"25,8";"24,9";"16,9";"21,2";"21,6";"14,7";"24,4";"21,0";"29,0";"22,4";"21,2";"24,7";"32,6";"23,3";"36,4"
"Hanno frequentato regolarmente (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Più del 75% degli insegnamenti previsti";"63,7";"60,0";"97,3";"97,4";"85,7";"95,3";"61,7";"84,6";"33,5";"75,1";"60,1";"86,5";"89,2";"86,2";"80,5";"70,6";"52,8";"87,8";"72,9";"44,5";"39,9";"56,4";"63,6"
"Tra il 50% e il 75%";"21,0";"28,5";"0,9";"2,6";"8,9";"3,0";"16,0";"12,3";"29,1";"17,4";"19,3";"7,7";"7,0";"9,2";"14,6";"21,8";"28,2";"6,1";"15,3";"33,2";"28,2";"25,2";"30,3"
"Tra il 25% e il 50%";"9,4";"7,5";"1,8";"-";"3,6";"0,8";"8,6";"1,5";"21,6";"3,3";"12,8";"-";"3,0";"1,8";"2,4";"4,2";"10,7";"6,1";"11,8";"14,1";"19,2";"13,0";"1,5"
"Meno del 25%";"5,4";"3,5";"-";"-";"1,8";"-";"13,6";"1,5";"14,3";"3,3";"5,7";"3,8";"0,4";"1,8";"1,2";"3,4";"8,0";"-";"-";"7,8";"12,2";"5,2";"1,5"
"Hanno usufruito del servizio di borse di studio (%)";"30,1";"33,4";"27,7";"27,2";"21,4";"25,8";"43,2";"26,2";"23,8";"33,3";"29,1";"9,6";"28,3";"14,7";"18,3";"30,3";"35,3";"18,4";"28,2";"34,3";"36,8";"28,3";"24,2"
"Hanno svolto periodi di studio all'estero nel corso degli studi universitari (%)";"8,5";"19,9";"2,7";"5,8";"5,4";"8,9";"4,9";"1,5";"8,4";"2,3";"2,4";"1,9";"12,7";"3,7";"13,4";"2,5";"3,2";"6,1";"9,4";"10,6";"6,7";"5,9";"6,1"
"Con Erasmus o altro programma dell'Unione Europea";"5,9";"13,8";"-";"2,6";"3,6";"7,6";"3,7";"1,5";"4,6";"0,9";"1,0";"-";"11,4";"2,8";"12,2";"1,7";"1,5";"6,1";"4,7";"7,1";"4,7";"3,4";"3,0"
"Altra esperienza riconosciuta dal corso di studi";"0,8";"1,6";"0,9";"2,6";"1,8";"0,4";"-";"-";"0,5";"0,5";"0,3";"1,9";"0,5";"0,9";"-";"-";"0,3";"-";"3,5";"1,8";"0,3";"0,5";"3,0"
"Iniziativa personale";"1,8";"4,5";"1,8";"0,5";"-";"0,8";"1,2";"-";"3,1";"0,9";"0,3";"-";"0,8";"-";"1,2";"0,8";"1,3";"-";"1,2";"1,4";"1,8";"2,0";"-"
"Non hanno compiuto studi all'estero";"90,6";"79,1";"96,4";"93,2";"94,6";"91,1";"95,1";"98,5";"91,0";"96,2";"96,6";"96,2";"86,7";"95,4";"85,4";"97,5";"95,7";"91,8";"90,6";"88,0";"92,5";"93,3";"90,9"
"1 o più esami all'estero convalidati (%)";"4,9";"11,8";"-";"0,5";"1,8";"0,4";"3,7";"-";"4,4";"0,9";"0,7";"-";"10,8";"1,8";"11,0";"0,8";"1,0";"4,1";"3,5";"7,1";"4,1";"3,1";"1,5"
