"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Economia, management e diritto dell'impresa (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi umanistici (DISUM) (Dip.)"
"Tecnico";"20,9";"11,0";"5,6";"6,0";"22,0";"39,6";"8,0";"7,1";"13,7";"52,9";"48,7";"4,9";"11,9";"12,4";"32,9";"20,5";"13,8";"32,8";"38,8";"23,9";"10,1"
"Professionale";"2,1";"1,4";"1,4";"1,9";"1,7";"1,5";"1,8";"-";"0,5";"1,1";"3,0";"-";"2,5";"3,1";"-";"4,5";"4,1";"-";"2,0";"2,9";"2,0"
"Istruzione artistica";"0,7";"1,1";"-";"-";"-";"0,4";"-";"-";"0,2";"0,4";"0,5";"-";"0,2";"-";"-";"0,6";"0,9";"3,3";"0,2";"0,4";"5,9"
"Titolo estero";"0,7";"1,3";"-";"0,9";"-";"0,8";"1,8";"-";"0,2";"0,7";"-";"-";"0,8";"1,6";"1,2";"0,6";"0,2";"-";"1,1";"0,6";"0,3"
"Voto di diploma (medie, in 100-mi) ";"83,5";"85,0";"85,5";"90,2";"89,8";"82,6";"84,8";"94,1";"82,3";"81,5";"82,3";"93,4";"86,5";"81,9";"78,8";"82,7";"81,9";"79,4";"83,2";"78,7";"82,0"
"Hanno conseguito il diploma (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Nella stessa provincia della sede degli studi universitari";"61,9";"57,2";"48,6";"60,0";"66,1";"69,2";"55,6";"78,6";"59,8";"66,5";"75,3";"65,6";"59,1";"41,1";"60,0";"60,3";"65,0";"55,7";"63,9";"56,0";"65,8"
"In una provincia limitrofa";"28,6";"32,7";"41,0";"32,1";"25,4";"26,3";"31,1";"12,5";"31,9";"24,5";"10,4";"27,9";"29,5";"30,2";"22,4";"33,3";"26,4";"29,5";"30,5";"33,2";"29,0"
"In una provincia non limitrofa, ma nella stessa ripartizione geografica";"7,9";"8,1";"9,7";"7,0";"6,8";"3,5";"12,0";"8,9";"7,3";"7,2";"10,9";"4,9";"10,0";"25,6";"14,1";"5,8";"6,7";"13,1";"3,6";"9,3";"4,2"
"Al Sud, ma si sono laureati al Centro-Nord";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Al Centro, ma si sono laureati al Nord o al Sud";"0,2";"0,1";"-";"-";"-";"-";"-";"-";"-";"-";"2,3";"-";"0,1";"-";"-";"-";"-";"-";"0,2";"-";"-"
"Al Nord, ma si sono laureati al Centro-Sud";"0,3";"0,4";"-";"-";"-";"0,3";"-";"-";"-";"0,4";"0,9";"-";"0,2";"1,6";"-";"-";"0,3";"-";"0,5";"0,2";"0,3"
"All'estero";"1,2";"1,5";"0,7";"0,9";"1,7";"0,7";"1,3";"-";"0,9";"1,4";"0,2";"1,6";"1,1";"1,6";"3,5";"0,6";"1,6";"1,6";"1,4";"1,2";"0,7"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Economia, management e diritto dell'impresa (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi umanistici (DISUM) (Dip.)"
"Hanno precedenti esperienze universitarie (%) ";"33,6";"39,0";"17,6";"67,6";"39,0";"49,4";"8,3";"27,8";"6,6";"26,3";"26,2";"50,0";"33,5";"24,6";"20,5";"42,6";"40,0";"55,9";"23,2";"34,4";"42,0"
"Portate a termine";"22,7";"30,7";"12,5";"63,2";"35,6";"44,0";"5,1";"20,4";"3,0";"12,6";"14,4";"45,0";"5,7";"11,9";"12,8";"39,2";"28,9";"37,3";"17,4";"23,4";"28,6"
"Non portate a termine";"10,9";"8,2";"5,1";"4,4";"3,4";"5,4";"3,2";"7,4";"3,6";"13,7";"11,7";"5,0";"27,8";"12,7";"7,7";"3,4";"11,1";"18,6";"5,9";"11,0";"13,4"
"Nessuna precedente esperienza universitaria";"65,8";"60,6";"82,4";"31,9";"61,0";"50,2";"91,2";"72,2";"93,1";"71,4";"73,0";"50,0";"66,0";"74,6";"78,2";"56,8";"59,5";"44,1";"76,5";"64,4";"57,6"
"Motivazioni molto importanti nella scelta del corso di laurea (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Fattori sia culturali sia professionalizzanti";"48,2";"36,6";"44,1";"43,6";"50,8";"55,9";"57,4";"40,7";"50,3";"58,0";"51,0";"48,3";"54,7";"56,8";"41,0";"59,5";"45,1";"40,7";"57,7";"41,5";"26,7"
"Fattori prevalentemente culturali";"30,0";"43,4";"43,4";"41,7";"23,7";"17,3";"24,1";"53,7";"32,1";"13,7";"16,1";"40,0";"25,5";"28,0";"26,9";"22,3";"35,2";"39,0";"13,0";"29,7";"59,2"
"Fattori prevalentemente professionalizzanti";"6,6";"3,2";"0,7";"1,0";"10,2";"10,4";"6,0";"-";"5,6";"13,7";"6,0";"3,3";"8,0";"4,2";"14,1";"6,8";"3,9";"3,4";"13,7";"9,1";"1,1"
"Né gli uni né gli altri";"15,0";"16,6";"11,8";"13,7";"15,3";"16,4";"12,0";"5,6";"11,5";"14,5";"26,7";"8,3";"11,4";"10,2";"17,9";"11,5";"15,8";"16,9";"15,6";"19,4";"12,6"
"Età all'immatricolazione (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Regolare o 1 anno di ritardo";"79,3";"79,6";"91,7";"68,8";"71,2";"77,4";"90,7";"85,7";"93,7";"80,2";"65,1";"77,0";"81,3";"89,9";"83,5";"79,5";"70,7";"65,6";"88,9";"74,7";"75,9"
"2 o più anni di ritardo";"20,7";"20,4";"8,3";"31,2";"28,8";"22,6";"9,3";"14,3";"6,3";"19,8";"34,9";"23,0";"18,7";"10,1";"16,5";"20,5";"29,3";"34,4";"11,1";"25,3";"24,1"
"Punteggio degli esami (medie, in 30-mi) ";"26,5";"27,3";"25,5";"27,1";"25,4";"26,0";"24,3";"27,3";"26,5";"25,3";"25,7";"27,0";"27,1";"25,4";"25,2";"26,0";"27,1";"26,0";"25,4";"26,4";"27,8"
"Voto di laurea (medie, in 110-mi) ";"104,2";"106,4";"101,4";"105,9";"102,5";"101,6";"100,5";"107,5";"104,3";"102,7";"101,7";"105,3";"108,3";"100,7";"101,4";"104,6";"104,3";"102,7";"98,9";"102,5";"108,3"
"Regolarità negli studi (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"In corso";"42,7";"33,8";"29,9";"51,6";"30,5";"49,7";"28,0";"28,6";"33,0";"31,7";"51,7";"29,5";"51,1";"21,7";"43,5";"53,2";"54,3";"26,2";"39,5";"42,7";"35,2"
"1° anno fuori corso";"24,1";"31,8";"27,1";"28,8";"18,6";"23,3";"13,8";"21,4";"20,3";"30,2";"15,0";"29,5";"23,6";"15,5";"16,5";"20,5";"22,6";"34,4";"25,5";"27,0";"25,4"
"2° anno fuori corso";"12,5";"15,7";"17,4";"7,4";"11,9";"11,0";"11,6";"26,8";"16,5";"15,5";"9,7";"8,2";"9,5";"10,9";"12,9";"14,1";"9,3";"13,1";"15,6";"9,8";"17,9"
"3° anno fuori corso";"6,7";"7,0";"9,0";"5,1";"13,6";"5,8";"14,7";"7,1";"9,2";"7,6";"6,5";"9,8";"5,3";"12,4";"14,1";"3,2";"3,4";"11,5";"6,8";"7,5";"4,6"
"4° anno fuori corso";"4,1";"3,9";"1,4";"2,3";"11,9";"3,4";"9,8";"10,7";"5,6";"3,6";"5,3";"1,6";"3,2";"9,3";"1,2";"5,1";"2,2";"1,6";"4,1";"3,9";"5,5"
"5° anno fuori corso e oltre";"10,0";"7,8";"15,3";"4,7";"13,6";"6,9";"22,2";"5,4";"15,4";"11,5";"11,8";"21,3";"7,2";"30,2";"11,8";"3,8";"8,2";"13,1";"8,6";"9,1";"11,4"
"Durata degli studi (medie, in anni) ";"5,0";"4,4";"5,4";"3,3";"5,3";"3,8";"7,9";"4,8";"7,4";"4,9";"5,0";"6,1";"5,3";"7,9";"5,9";"3,7";"4,2";"4,8";"4,8";"4,6";"4,7"
"Ritardo alla laurea (medie, in anni) ";"1,5";"1,3";"2,1";"0,7";"2,3";"1,0";"2,6";"1,6";"2,2";"1,6";"1,4";"3,0";"1,0";"3,2";"2,6";"0,8";"1,0";"1,7";"1,6";"1,5";"1,7"
"Indice di ritardo (rapporto fra ritardo e durata legale del corso) ";"0,43";"0,46";"0,63";"0,27";"0,81";"0,35";"0,55";"0,54";"0,50";"0,56";"0,39";"0,91";"0,25";"0,70";"0,75";"0,29";"0,33";"0,63";"0,50";"0,47";"0,56"
"5. CONDIZIONI DI STUDIO"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Economia, management e diritto dell'impresa (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi umanistici (DISUM) (Dip.)"
"Hanno alloggiato a meno di un'ora di viaggio dalla sede degli studi (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Più del 50% della durata degli studi";"73,2";"73,3";"61,8";"78,9";"83,1";"76,4";"75,0";"75,9";"73,1";"74,8";"75,2";"75,0";"75,6";"78,0";"65,4";"77,7";"66,8";"78,0";"78,0";"67,9";"68,3"
"Meno del 50%";"25,6";"25,4";"36,8";"20,6";"16,9";"22,9";"24,5";"24,1";"25,9";"24,8";"23,4";"23,3";"22,8";"20,3";"32,1";"21,6";"31,8";"20,3";"20,8";"30,7";"30,2"
"Hanno frequentato regolarmente (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Più del 75% degli insegnamenti previsti";"64,9";"57,9";"95,6";"95,6";"83,1";"61,4";"93,1";"85,2";"33,7";"75,2";"58,0";"93,3";"87,7";"83,9";"69,2";"82,4";"57,2";"86,4";"52,3";"38,6";"71,4"
"Tra il 50% e il 75%";"20,8";"28,2";"2,2";"2,9";"13,6";"24,5";"6,0";"14,8";"30,0";"15,3";"23,4";"3,3";"9,8";"12,7";"17,9";"14,2";"23,6";"13,6";"26,4";"34,9";"19,1"
"Tra il 25% e il 50%";"8,6";"9,4";"1,5";"1,0";"-";"8,1";"0,9";"-";"21,2";"6,9";"10,1";"-";"1,5";"1,7";"5,1";"3,4";"11,1";"-";"13,9";"17,3";"5,3"
"Meno del 25%";"5,1";"4,0";"0,7";"-";"3,4";"5,9";"-";"-";"14,4";"2,3";"7,1";"3,3";"0,2";"0,8";"5,1";"-";"7,9";"-";"6,8";"8,9";"3,8"
"Hanno usufruito del servizio di borse di studio (%)";"31,1";"36,1";"29,4";"24,0";"25,4";"27,6";"20,4";"16,7";"21,9";"35,9";"31,1";"30,0";"33,7";"11,9";"21,8";"34,5";"35,2";"23,7";"33,7";"37,2";"32,4"
"Hanno svolto periodi di studio all'estero nel corso degli studi universitari (%)";"8,3";"21,8";"2,9";"6,4";"5,1";"5,6";"7,4";"1,9";"9,4";"3,1";"3,0";"6,7";"10,7";"7,6";"3,8";"2,7";"2,8";"-";"8,3";"6,8";"7,6"
"Con Erasmus o altro programma dell'Unione Europea";"6,0";"15,0";"1,5";"3,9";"3,4";"3,6";"5,6";"-";"5,9";"1,9";"1,6";"5,0";"9,9";"5,9";"3,8";"2,7";"1,7";"-";"5,9";"4,9";"5,0"
"Altra esperienza riconosciuta dal corso di studi";"0,6";"1,2";"0,7";"2,5";"1,7";"-";"0,5";"-";"0,2";"0,8";"0,5";"1,7";"0,3";"-";"-";"-";"-";"-";"1,5";"0,9";"1,5"
"Iniziativa personale";"1,7";"5,6";"0,7";"-";"-";"2,0";"1,4";"1,9";"3,3";"0,4";"0,8";"-";"0,5";"0,8";"-";"-";"1,0";"-";"1,0";"0,9";"1,1"
"Non hanno compiuto studi all'estero";"91,3";"77,6";"97,1";"93,6";"94,9";"94,1";"92,6";"98,1";"90,1";"96,6";"95,9";"93,3";"89,0";"91,5";"96,2";"97,3";"96,8";"100,0";"91,4";"92,5";"91,6"
"1 o più esami all'estero convalidati (%)";"5,2";"13,1";"0,7";"2,5";"5,1";"3,0";"1,9";"-";"5,2";"1,5";"1,1";"3,3";"9,7";"2,5";"3,8";"1,4";"1,8";"-";"5,6";"4,7";"3,8"
"Hanno preparato all'estero una parte significativa della tesi (%)";"2,3";"5,6";"-";"5,4";"1,7";"2,3";"5,1";"3,7";"1,4";"1,5";"0,3";"3,3";"1,1";"2,5";"-";"2,0";"0,9";"1,7";"2,2";"2,8";"1,9"
"Hanno svolto tirocini/stage o lavoro riconosciuti dal corso di laurea (%)";"54,2";"58,6";"14,7";"80,9";"74,6";"53,6";"88,4";"40,7";"3,0";"66,8";"55,0";"8,3";"66,6";"69,5";"76,9";"83,1";"73,7";"89,8";"6,6";"66,7";"22,1"
"Tirocini organizzati dal corso e svolti presso l'università";"10,6";"3,7";"11,0";"59,3";"57,6";"0,3";"6,0";"29,6";"1,0";"52,3";"0,5";"5,0";"20,8";"40,7";"5,1";"17,6";"4,3";"16,9";"-";"0,7";"6,5"
"Tirocini organizzati dal corso e svolti al di fuori dell'università";"36,7";"43,9";"3,7";"20,1";"13,6";"40,1";"75,0";"7,4";"0,7";"11,8";"38,4";"1,7";"42,7";"22,9";"67,9";"60,8";"58,1";"66,1";"3,7";"61,6";"11,5"
"Attività di lavoro successivamente riconosciute dal corso";"6,0";"9,8";"-";"-";"3,4";"12,8";"2,3";"1,9";"1,2";"2,7";"13,9";"1,7";"1,8";"5,1";"3,8";"3,4";"9,7";"5,1";"2,9";"3,7";"4,2"
"Nessuna esperienza di tirocinio o lavoro riconosciuto";"45,1";"40,9";"85,3";"19,1";"25,4";"46,1";"11,6";"59,3";"95,8";"32,8";"43,6";"91,7";"32,5";"29,7";"23,1";"16,9";"26,0";"10,2";"92,2";"33,0";"76,7"
"Mesi impiegati per la tesi/prova finale (medie)";"4,8";"5,4";"3,3";"5,0";"5,2";"3,3";"5,0";"3,5";"5,6";"4,7";"4,4";"5,1";"5,8";"7,3";"4,4";"3,9";"5,1";"5,8";"2,6";"3,6";"6,1"
"6. LAVORO DURANTE GLI STUDI"
