"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia - sede di Bari (attiva dal 2007) (Fac.)";"Economia 2 (Taranto) (attiva dal 2007) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza - sede di Bari (attiva dal 2007) (Fac.)(1) ";"Giurisprudenza 2 (Taranto) (attiva dal 2007) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)(1) ";"Scienze matematiche, fisiche e naturali - sede di Bari (attiva dal 2007) (Fac.)";"Scienze matematiche, fisiche e naturali 2 (Taranto) (attiva dal 2007) (Fac.)";"Scienze politiche (Fac.)(1) "
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia - sede di Bari (attiva dal 2007) (Fac.)";"Economia 2 (Taranto) (attiva dal 2007) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza - sede di Bari (attiva dal 2007) (Fac.)(1) ";"Giurisprudenza 2 (Taranto) (attiva dal 2007) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)(1) ";"Scienze matematiche, fisiche e naturali - sede di Bari (attiva dal 2007) (Fac.)";"Scienze matematiche, fisiche e naturali 2 (Taranto) (attiva dal 2007) (Fac.)";"Scienze politiche (Fac.)(1) "
"Diploma (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Liceo classico";"17,8";"8,1";"7,2";"3,0";"18,8";"34,3";"33,9";"41,5";"13,1";"16,3";"15,2";"15,5";"15,2";"11,0";"-";"13,2"
"Liceo linguistico";"6,0";"0,7";"2,6";"0,6";"1,9";"4,5";"0,8";"6,2";"37,1";"3,3";"1,3";"1,2";"6,1";"2,0";"-";"7,9"
"Liceo scientifico";"32,2";"35,1";"29,9";"23,0";"55,3";"30,2";"24,0";"28,5";"23,4";"33,9";"50,6";"72,7";"21,6";"54,7";"40,0";"24,7"
"Liceo socio-psico-pedagogico o ist. magistrale";"11,0";"2,0";"1,3";"2,4";"3,8";"4,7";"6,6";"11,5";"4,2";"9,3";"7,6";"3,7";"32,0";"3,2";"5,0";"8,2"
"Tecnico";"26,6";"47,3";"55,7";"64,8";"10,1";"23,3";"28,9";"8,4";"17,7";"21,2";"17,7";"3,7";"18,4";"25,4";"50,0";"38,9"
"Professionale";"4,8";"6,1";"2,2";"4,8";"5,3";"2,1";"5,0";"0,9";"2,1";"13,5";"5,1";"3,1";"5,6";"2,8";"5,0";"4,7"
"Istruzione artistica";"0,6";"0,7";"-";"0,6";"1,0";"0,7";"0,8";"2,2";"-";"0,5";"1,3";"-";"0,8";"0,1";"-";"0,5"
"Titolo estero";"0,9";"-";"1,0";"0,6";"3,8";"0,3";"-";"0,5";"2,1";"1,8";"1,3";"-";"0,2";"0,7";"-";"1,6"
"Voto di diploma (medie, in 100-mi) ";"83,7";"82,9";"85,3";"85,6";"84,6";"81,0";"81,9";"85,2";"86,1";"81,9";"80,5";"95,3";"82,2";"86,2";"84,7";"79,9"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia - sede di Bari (attiva dal 2007) (Fac.)";"Economia 2 (Taranto) (attiva dal 2007) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza - sede di Bari (attiva dal 2007) (Fac.)(1) ";"Giurisprudenza 2 (Taranto) (attiva dal 2007) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)(1) ";"Scienze matematiche, fisiche e naturali - sede di Bari (attiva dal 2007) (Fac.)";"Scienze matematiche, fisiche e naturali 2 (Taranto) (attiva dal 2007) (Fac.)";"Scienze politiche (Fac.)(1) "
"Hanno precedenti esperienze universitarie (%) ";"24,3";"20,1";"26,7";"17,9";"8,8";"18,4";"13,7";"29,3";"13,8";"20,8";"8,8";"31,8";"33,9";"26,3";"11,1";"24,1"
"Portate a termine";"16,7";"15,1";"23,1";"13,0";"1,6";"15,9";"12,3";"17,4";"8,2";"6,1";"2,9";"30,5";"21,5";"21,4";"8,3";"13,8"
"Non portate a termine";"7,6";"5,0";"3,6";"4,9";"7,3";"2,4";"1,4";"11,9";"5,6";"14,6";"5,9";"1,3";"12,3";"4,9";"2,8";"10,3"
"Nessuna precedente esperienza universitaria";"74,8";"78,4";"72,6";"81,3";"89,1";"79,9";"82,2";"70,2";"84,7";"78,1";"91,2";"67,5";"65,4";"73,0";"88,9";"75,9"
"Motivazioni molto importanti nella scelta del corso di laurea (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Fattori sia culturali sia professionalizzanti";"54,2";"59,0";"63,6";"66,7";"67,4";"66,8";"61,6";"33,8";"51,8";"63,4";"51,5";"42,4";"43,1";"49,6";"63,9";"45,1"
"Fattori prevalentemente culturali";"27,7";"20,9";"12,2";"11,4";"19,2";"17,0";"20,5";"55,8";"30,0";"19,8";"33,8";"42,4";"38,0";"34,2";"19,4";"31,3"
"Fattori prevalentemente professionalizzanti";"8,2";"9,4";"12,6";"13,8";"8,3";"7,5";"11,0";"1,8";"5,9";"9,1";"7,4";"4,0";"6,8";"8,1";"11,1";"7,7"
"Né gli uni né gli altri";"8,7";"10,8";"10,8";"7,3";"4,1";"6,6";"5,5";"8,1";"11,8";"5,7";"5,9";"8,6";"10,7";"7,2";"5,6";"13,8"
"Età all'immatricolazione (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Regolare o 1 anno di ritardo";"79,6";"87,2";"82,9";"73,9";"90,9";"84,5";"75,2";"84,6";"92,2";"68,1";"92,4";"100,0";"72,3";"86,4";"90,0";"66,6"
"2 o più anni di ritardo";"20,4";"12,8";"17,1";"26,1";"9,1";"15,5";"24,8";"15,4";"7,8";"31,9";"7,6";"-";"27,7";"13,6";"10,0";"33,4"
"Punteggio degli esami (medie, in 30-mi) ";"26,7";"25,8";"26,2";"25,8";"24,2";"25,8";"25,6";"28,2";"27,2";"26,7";"25,5";"27,3";"27,6";"26,3";"26,0";"26,0"
"Voto di laurea (medie, in 110-mi) ";"105,9";"105,4";"105,3";"103,5";"99,6";"103,5";"103,3";"109,9";"106,0";"106,6";"101,4";"107,5";"108,2";"104,9";"104,5";"102,1"
"Regolarità negli studi (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"In corso";"39,0";"28,4";"39,4";"43,0";"20,7";"34,5";"46,3";"26,1";"21,3";"51,8";"19,0";"62,1";"49,9";"29,3";"40,0";"32,1"
"1° anno fuori corso";"20,3";"15,5";"18,4";"22,4";"15,4";"8,1";"7,4";"22,9";"32,4";"20,5";"15,2";"28,6";"24,3";"22,1";"22,5";"17,3"
"2° anno fuori corso";"11,4";"13,5";"13,9";"7,9";"8,7";"7,0";"13,2";"15,7";"11,8";"10,4";"10,1";"4,3";"10,6";"13,6";"5,0";"13,2"
"3° anno fuori corso";"8,1";"12,8";"9,5";"6,7";"15,4";"6,2";"6,6";"9,3";"11,2";"6,2";"10,1";"3,7";"4,7";"12,0";"7,5";"10,7"
"4° anno fuori corso";"6,9";"6,1";"8,1";"9,1";"11,5";"9,8";"19,8";"7,6";"9,5";"3,0";"7,6";"1,2";"3,8";"6,9";"12,5";"12,1"
"5° anno fuori corso e oltre";"14,4";"23,6";"10,7";"10,9";"28,4";"34,4";"6,6";"18,4";"13,9";"8,2";"38,0";"-";"6,7";"16,2";"12,5";"14,8"
"Durata degli studi (medie, in anni) ";"5,5";"6,7";"4,8";"4,8";"8,0";"8,2";"6,2";"5,7";"5,6";"5,2";"8,8";"3,2";"4,3";"5,5";"5,0";"5,8"
"Ritardo alla laurea (medie, in anni) ";"1,8";"2,9";"1,6";"1,5";"2,9";"3,5";"1,4";"2,4";"2,1";"1,2";"3,7";"0,3";"1,0";"2,0";"1,6";"2,3"
"Indice di ritardo (rapporto fra ritardo e durata legale del corso) ";"0,50";"0,75";"0,47";"0,42";"0,64";"0,88";"0,36";"0,67";"0,60";"0,26";"0,77";"0,12";"0,30";"0,59";"0,47";"0,63"
"5. CONDIZIONI DI STUDIO"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia - sede di Bari (attiva dal 2007) (Fac.)";"Economia 2 (Taranto) (attiva dal 2007) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza - sede di Bari (attiva dal 2007) (Fac.)(1) ";"Giurisprudenza 2 (Taranto) (attiva dal 2007) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)(1) ";"Scienze matematiche, fisiche e naturali - sede di Bari (attiva dal 2007) (Fac.)";"Scienze matematiche, fisiche e naturali 2 (Taranto) (attiva dal 2007) (Fac.)";"Scienze politiche (Fac.)(1) "
"Hanno alloggiato a meno di un'ora di viaggio dalla sede degli studi (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Più del 50% della durata degli studi";"70,1";"65,5";"73,6";"74,8";"70,5";"68,4";"71,2";"72,0";"68,8";"67,9";"72,1";"78,8";"66,5";"73,2";"75,0";"62,1"
"Meno del 50%";"27,7";"33,8";"25,0";"22,8";"29,0";"29,9";"26,0";"27,0";"27,9";"29,1";"26,5";"17,2";"30,4";"25,4";"25,0";"34,4"
"Hanno frequentato regolarmente (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Più del 75% degli insegnamenti previsti";"61,5";"77,0";"41,5";"56,1";"91,2";"28,1";"38,4";"62,1";"50,6";"87,4";"85,3";"94,0";"59,8";"84,5";"94,4";"26,2"
"Tra il 50% e il 75%";"21,4";"17,3";"33,2";"26,0";"7,8";"30,1";"27,4";"24,2";"34,4";"7,9";"5,9";"2,0";"23,2";"9,5";"2,8";"31,8"
"Tra il 25% e il 50%";"9,9";"2,9";"15,6";"9,8";"0,5";"23,9";"23,3";"8,8";"11,5";"1,4";"4,4";"0,7";"9,0";"3,4";"2,8";"25,1"
"Meno del 25%";"5,9";"2,9";"9,0";"7,3";"-";"16,6";"8,2";"4,5";"3,2";"1,1";"2,9";"-";"6,3";"1,7";"-";"14,4"
"Hanno usufruito del servizio di borse di studio (%)";"25,5";"27,3";"26,0";"34,1";"22,3";"16,6";"24,7";"26,8";"27,6";"22,5";"30,9";"27,8";"29,1";"27,4";"16,7";"20,0"
"Hanno svolto periodi di studio all'estero nel corso degli studi universitari (%)";"8,0";"6,5";"14,0";"0,8";"3,1";"5,5";"4,1";"3,8";"37,6";"7,4";"5,9";"1,3";"2,1";"2,0";"2,8";"11,8"
"Con Erasmus o altro programma dell'Unione Europea";"3,9";"3,6";"9,8";"-";"-";"2,7";"2,7";"2,3";"13,8";"4,2";"4,4";"-";"0,6";"0,6";"-";"2,1"
"Altra esperienza riconosciuta dal corso di studi";"1,1";"0,7";"1,0";"-";"-";"-";"-";"0,3";"5,3";"1,4";"1,5";"1,3";"0,2";"0,8";"2,8";"4,6"
"Iniziativa personale";"2,9";"1,4";"3,1";"0,8";"3,1";"2,9";"1,4";"1,3";"18,2";"1,6";"-";"-";"1,3";"0,6";"-";"5,1"
"Non hanno compiuto studi all'estero";"91,7";"92,8";"85,9";"99,2";"95,9";"94,2";"94,5";"96,0";"62,1";"92,0";"94,1";"98,0";"97,7";"97,9";"97,2";"88,2"
"1 o più esami all'estero convalidati (%)";"3,6";"5,0";"9,2";"-";"-";"1,8";"-";"2,0";"12,4";"4,7";"4,4";"-";"0,4";"0,6";"-";"1,0"
"Hanno preparato all'estero una parte significativa della tesi (%)";"3,0";"2,9";"5,1";"1,6";"1,6";"1,3";"1,4";"2,3";"11,2";"0,9";"2,9";"2,0";"1,6";"2,5";"2,8";"3,6"
"Hanno svolto tirocini/stage o lavoro riconosciuti dal corso di laurea (%)";"54,2";"81,3";"42,8";"60,2";"81,9";"3,8";"2,7";"15,7";"36,8";"70,9";"73,5";"92,1";"86,3";"64,3";"55,6";"26,2"
"Presso l'università";"14,6";"2,9";"2,5";"-";"8,8";"0,2";"-";"4,0";"0,6";"34,3";"63,2";"68,9";"5,4";"41,2";"44,4";"1,0"
"Al di fuori dell'università";"39,2";"77,7";"39,7";"59,3";"73,1";"3,5";"2,7";"11,4";"35,9";"36,2";"10,3";"23,2";"80,4";"22,8";"11,1";"25,1"
"Nessuna esperienza di tirocinio o lavoro riconosciuto";"44,9";"17,3";"56,1";"39,0";"16,6";"95,4";"94,5";"84,1";"61,2";"27,8";"26,5";"6,0";"13,5";"34,9";"44,4";"72,3"
"Mesi impiegati per la tesi/prova finale (medie)";"5,6";"7,1";"4,1";"5,1";"5,3";"5,8";"5,0";"6,6";"4,9";"6,6";"9,0";"3,6";"6,0";"6,4";"5,9";"5,5"
"6. LAVORO DURANTE GLI STUDI"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia - sede di Bari (attiva dal 2007) (Fac.)";"Economia 2 (Taranto) (attiva dal 2007) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza - sede di Bari (attiva dal 2007) (Fac.)(1) ";"Giurisprudenza 2 (Taranto) (attiva dal 2007) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)(1) ";"Scienze matematiche, fisiche e naturali - sede di Bari (attiva dal 2007) (Fac.)";"Scienze matematiche, fisiche e naturali 2 (Taranto) (attiva dal 2007) (Fac.)";"Scienze politiche (Fac.)(1) "
"Hanno esperienze di lavoro (%) ";"71,2";"80,6";"78,6";"79,7";"64,8";"75,4";"63,0";"71,5";"82,6";"53,8";"63,2";"35,8";"76,2";"67,4";"63,9";"82,1"
"Lavoratori-studenti";"6,2";"5,8";"7,6";"16,3";"1,6";"6,2";"11,0";"3,0";"5,9";"5,2";"1,5";"0,7";"7,4";"3,5";"11,1";"15,9"
"Altre esperienze di lavoro con continuità a tempo pieno";"4,1";"8,6";"4,4";"4,9";"2,6";"4,9";"1,4";"3,8";"7,9";"2,7";"5,9";"-";"4,0";"3,1";"5,6";"4,1"
"Lavoro a tempo parziale";"22,4";"21,6";"25,2";"27,6";"18,7";"25,7";"12,3";"23,5";"24,7";"11,2";"17,6";"6,0";"28,1";"22,1";"13,9";"27,7"
"Lavoro occasionale, saltuario, stagionale";"38,5";"44,6";"41,4";"30,9";"42,0";"38,7";"38,4";"41,2";"44,1";"34,7";"38,2";"29,1";"36,7";"38,7";"33,3";"34,4"
"Nessuna esperienza di lavoro";"28,0";"19,4";"20,7";"19,5";"33,7";"24,1";"37,0";"28,0";"16,8";"45,6";"35,3";"60,3";"23,0";"31,9";"36,1";"15,9"
"Lavoro coerente con gli studi";"19,0";"34,5";"26,9";"26,8";"10,4";"12,4";"8,2";"14,9";"24,1";"17,0";"16,2";"3,3";"21,5";"15,8";"11,1";"14,4"
"7. GIUDIZI SULL'ESPERIENZA UNIVERSITARIA"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia - sede di Bari (attiva dal 2007) (Fac.)";"Economia 2 (Taranto) (attiva dal 2007) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza - sede di Bari (attiva dal 2007) (Fac.)(1) ";"Giurisprudenza 2 (Taranto) (attiva dal 2007) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)(1) ";"Scienze matematiche, fisiche e naturali - sede di Bari (attiva dal 2007) (Fac.)";"Scienze matematiche, fisiche e naturali 2 (Taranto) (attiva dal 2007) (Fac.)";"Scienze politiche (Fac.)(1) "
"Sono complessivamente soddisfatti del corso di laurea (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Decisamente sì";"35,0";"40,3";"35,1";"51,2";"39,4";"38,9";"42,5";"34,8";"24,4";"29,9";"25,0";"49,7";"37,0";"30,9";"30,6";"36,9"
"Più sì che no";"49,8";"48,2";"52,0";"42,3";"48,7";"51,8";"47,9";"49,7";"54,4";"47,5";"44,1";"41,1";"47,1";"54,1";"44,4";"49,7"
"Più no che sì";"12,2";"9,4";"10,6";"5,7";"8,3";"7,3";"2,7";"13,1";"17,4";"17,9";"25,0";"7,9";"12,9";"11,9";"16,7";"11,8"
"Decisamente no";"2,0";"1,4";"1,6";"0,8";"3,1";"1,5";"1,4";"1,8";"3,5";"3,5";"5,9";"-";"1,4";"2,1";"5,6";"1,0"
"Sono soddisfatti dei rapporti con i docenti in generale (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Decisamente sì";"19,7";"30,2";"14,2";"20,3";"20,7";"15,0";"28,8";"25,3";"19,1";"22,6";"25,0";"20,5";"20,6";"19,6";"19,4";"15,9"
"Più sì che no";"58,4";"57,6";"53,3";"65,0";"51,8";"56,2";"52,1";"58,3";"60,6";"52,4";"47,1";"68,2";"64,4";"62,3";"63,9";"62,6"
"Più no che sì";"18,5";"7,2";"28,4";"13,0";"22,8";"24,8";"15,1";"15,2";"17,9";"20,3";"25,0";"9,3";"12,1";"15,3";"11,1";"17,4"
"Decisamente no";"2,0";"3,6";"3,3";"1,6";"3,1";"2,4";"-";"0,8";"1,2";"3,0";"2,9";"-";"1,1";"1,5";"-";"2,6"
"Sono soddisfatti dei rapporti con gli studenti (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Decisamente sì";"58,8";"70,5";"64,1";"66,7";"71,0";"55,5";"61,6";"58,1";"58,2";"55,0";"64,7";"52,3";"54,5";"60,6";"44,4";"51,3"
"Più sì che no";"34,1";"22,3";"30,8";"28,5";"24,4";"37,4";"28,8";"35,4";"33,8";"35,5";"29,4";"39,1";"38,1";"33,4";"30,6";"40,0"
"Più no che sì";"5,0";"5,0";"3,4";"4,1";"3,1";"5,1";"5,5";"5,1";"6,2";"6,6";"4,4";"6,0";"4,9";"4,4";"19,4";"6,7"
"Decisamente no";"0,6";"0,7";"0,7";"-";"0,5";"0,9";"-";"0,5";"0,9";"0,8";"1,5";"0,7";"0,3";"0,6";"-";"0,5"
"Valutazione delle aule (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Sempre o quasi sempre adeguate";"15,2";"17,3";"18,3";"15,4";"11,9";"12,8";"15,1";"12,1";"12,1";"15,3";"19,1";"36,4";"7,2";"24,5";"8,3";"10,3"
"Spesso adeguate";"43,6";"44,6";"51,7";"58,5";"46,6";"46,5";"26,0";"44,4";"52,1";"37,7";"51,5";"47,0";"27,7";"47,0";"36,1";"53,8"
"Raramente adeguate";"33,2";"28,1";"25,9";"21,1";"38,3";"32,1";"42,5";"35,1";"31,2";"37,4";"20,6";"13,9";"49,5";"24,5";"41,7";"28,2"
"Mai adeguate";"6,0";"9,4";"1,7";"3,3";"2,6";"5,5";"13,7";"7,8";"2,6";"7,9";"8,8";"-";"13,1";"3,1";"11,1";"3,1"
"Non utilizzate";"0,8";"0,7";"1,6";"-";"-";"2,4";"-";"-";"1,5";"0,2";"-";"-";"0,4";"0,2";"-";"2,6"
"Valutazione delle postazioni informatiche (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Presenti e in numero adeguato";"21,4";"28,1";"32,4";"35,0";"60,6";"10,6";"20,5";"12,9";"23,2";"14,8";"55,9";"23,8";"7,5";"29,9";"11,1";"4,1"
"Presenti, ma in numero inadeguato";"49,4";"54,7";"46,9";"56,9";"32,6";"47,3";"45,2";"59,6";"53,5";"56,6";"33,8";"66,9";"41,5";"57,9";"41,7";"25,6"
"Non presenti";"11,9";"1,4";"4,4";"1,6";"1,6";"15,5";"12,3";"6,6";"3,8";"19,7";"-";"4,0";"25,5";"4,3";"41,7";"27,2"
