"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Filosofia, letteratura storia e scienze sociali (FLESS) (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze dell'antichita' e del tardoantico (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi aziendali e giusprivatistici (Dip.)"
"Cittadini stranieri (%) ";"1,1";"1,6";"0,6";"0,6";"-";"1,5";"0,8";"-";"0,8";"1,6";"1,0";"-";"1,6";"-";"1,6";"-";"0,4";"-";"-";"1,2";"2,0";"2,0"
"Residenza (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Stessa provincia della sede degli studi";"63,9";"59,0";"57,2";"66,7";"64,5";"59,5";"60,8";"78,8";"64,7";"65,0";"73,6";"64,9";"63,1";"43,3";"42,6";"56,5";"64,8";"73,6";"72,6";"66,5";"55,9";"71,4"
"Altra provincia della stessa regione";"29,3";"34,8";"35,8";"29,2";"32,3";"35,6";"33,1";"20,0";"25,9";"30,5";"12,2";"29,7";"31,7";"40,8";"44,3";"36,5";"30,4";"24,5";"23,6";"25,0";"32,9";"22,1"
"Altra regione";"6,6";"5,8";"6,9";"4,1";"3,2";"4,4";"5,4";"1,2";"9,4";"4,1";"14,2";"5,4";"5,1";"15,8";"11,5";"7,0";"4,8";"1,9";"3,8";"8,2";"10,5";"6,2"
"Estero";"0,2";"0,4";"-";"-";"-";"0,5";"0,8";"-";"-";"0,4";"-";"-";"0,1";"-";"1,6";"-";"-";"-";"-";"0,3";"0,7";"0,3"
"2. ORIGINE SOCIALE"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Filosofia, letteratura storia e scienze sociali (FLESS) (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze dell'antichita' e del tardoantico (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi aziendali e giusprivatistici (Dip.)"
"Titolo di studio dei genitori (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Entrambi con laurea";"6,7";"5,5";"6,7";"10,0";"10,3";"12,4";"9,0";"23,2";"11,2";"4,1";"4,6";"7,2";"8,8";"14,7";"7,5";"3,6";"2,7";"13,0";"5,8";"6,7";"3,0";"4,5"
"Uno solo con laurea";"14,1";"14,1";"17,9";"20,6";"13,8";"16,5";"17,9";"22,0";"17,5";"13,2";"16,0";"23,2";"14,7";"17,4";"28,3";"4,5";"9,7";"10,9";"12,6";"15,4";"9,1";"13,0"
"Scuola media superiore";"45,5";"50,1";"36,6";"45,6";"43,1";"38,1";"56,4";"37,8";"42,1";"47,7";"42,6";"46,4";"43,4";"41,3";"30,2";"48,2";"46,5";"50,0";"57,3";"42,0";"42,6";"51,3"
"Titoli inferiori o nessun titolo";"32,0";"28,6";"36,6";"21,9";"29,3";"30,9";"16,7";"15,9";"27,4";"32,7";"34,2";"23,2";"31,4";"25,7";"34,0";"43,6";"39,6";"26,1";"21,4";"35,6";"44,3";"28,8"
"Classe sociale (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Borghesia";"15,6";"14,7";"14,9";"15,6";"19,0";"20,6";"19,2";"26,8";"23,8";"10,9";"13,3";"14,5";"16,5";"17,4";"17,0";"10,0";"10,4";"13,0";"14,6";"17,3";"11,4";"18,6"
"Classe media impiegatizia";"25,7";"29,6";"30,6";"30,0";"27,6";"25,3";"26,9";"36,6";"28,7";"30,9";"26,6";"34,8";"24,6";"31,2";"18,9";"15,5";"21,9";"26,1";"26,2";"20,5";"24,2";"23,7"
"Piccola borghesia";"22,3";"19,8";"20,9";"20,0";"13,8";"21,1";"24,4";"11,0";"20,3";"18,2";"14,4";"23,2";"21,8";"17,4";"35,8";"36,4";"24,1";"19,6";"19,4";"24,7";"26,2";"27,9"
"Classe operaia";"33,2";"32,1";"30,6";"31,3";"34,5";"27,3";"26,9";"24,4";"24,8";"36,4";"41,1";"26,1";"34,3";"29,4";"28,3";"34,5";"40,4";"37,0";"36,9";"35,6";"35,6";"26,7"
"3. STUDI SECONDARI SUPERIORI"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Filosofia, letteratura storia e scienze sociali (FLESS) (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze dell'antichita' e del tardoantico (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi aziendali e giusprivatistici (Dip.)"
"Diploma (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Liceo classico";"18,0";"24,1";"19,5";"19,9";"14,5";"22,4";"30,8";"12,9";"34,2";"4,5";"18,4";"6,8";"16,7";"20,8";"11,5";"9,6";"15,3";"15,1";"42,0";"11,3";"13,2";"7,3"
"Liceo linguistico";"7,4";"25,9";"3,8";"1,8";"-";"4,4";"9,2";"1,2";"4,6";"2,5";"1,7";"1,4";"3,8";"2,5";"1,6";"5,2";"6,6";"5,7";"8,3";"2,4";"7,7";"3,8"
"Liceo scientifico";"37,3";"26,2";"56,6";"68,4";"64,5";"58,0";"34,6";"81,2";"32,3";"32,1";"29,4";"89,2";"53,7";"50,0";"45,9";"41,7";"23,5";"50,9";"22,3";"35,4";"25,9";"39,1"
"Liceo socio-psico-pedagogico o ist. magistrale";"10,4";"8,3";"7,5";"2,3";"-";"4,4";"16,2";"-";"6,3";"1,2";"3,0";"1,4";"6,1";"4,2";"-";"2,6";"31,4";"3,8";"1,3";"2,4";"19,0";"2,0"
"Tecnico";"21,6";"11,7";"8,2";"5,8";"14,5";"7,3";"6,2";"4,7";"20,1";"56,0";"42,8";"1,4";"12,8";"17,5";"37,7";"27,0";"16,1";"13,2";"8,9";"46,3";"26,7";"43,9"
"Professionale";"3,0";"1,5";"4,4";"-";"3,2";"1,5";"1,5";"-";"1,7";"2,1";"2,0";"-";"4,2";"4,2";"1,6";"13,9";"4,3";"3,8";"5,1";"0,9";"5,5";"2,0"
"Istruzione artistica";"1,1";"1,3";"-";"0,6";"3,2";"-";"-";"-";"0,2";"0,4";"1,2";"-";"0,7";"0,8";"-";"-";"1,8";"7,5";"12,1";"0,6";"0,5";"0,3"
"Titolo estero";"0,9";"0,9";"-";"0,6";"-";"2,0";"1,5";"-";"0,7";"1,2";"0,5";"-";"1,6";"-";"1,6";"-";"0,3";"-";"-";"0,6";"1,5";"1,7"
"Voto di diploma (medie, in 100-mi) ";"83,8";"85,5";"86,7";"91,8";"87,0";"84,1";"84,1";"96,1";"82,1";"82,5";"82,7";"95,3";"85,3";"83,9";"82,2";"80,5";"80,8";"81,3";"83,1";"84,6";"78,6";"85,1"
"Hanno conseguito il diploma (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Nella stessa provincia della sede degli studi universitari";"63,1";"58,8";"56,0";"66,1";"59,7";"57,1";"60,0";"78,8";"63,5";"63,4";"73,6";"66,2";"61,5";"45,0";"44,3";"54,8";"65,0";"71,7";"74,5";"66,5";"55,1";"68,7"
"In una provincia limitrofa";"28,1";"32,2";"40,3";"24,0";"25,8";"26,8";"26,9";"17,6";"30,4";"26,7";"11,9";"28,4";"28,3";"30,8";"37,7";"38,3";"27,5";"24,5";"22,9";"28,4";"33,4";"26,7"
"In una provincia non limitrofa, ma nella stessa ripartizione geografica";"7,1";"7,6";"3,8";"9,4";"11,3";"12,7";"11,5";"2,4";"4,6";"7,4";"9,5";"5,4";"7,7";"22,5";"16,4";"6,1";"6,7";"3,8";"2,5";"4,0";"9,7";"2,5"
"Al Sud, ma si sono laureati al Centro-Nord";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Al Centro, ma si sono laureati al Nord o al Sud";"0,2";"0,3";"-";"-";"1,6";"-";"-";"-";"-";"-";"2,2";"-";"0,2";"-";"-";"0,9";"-";"-";"-";"0,3";"-";"0,3"
"Al Nord, ma si sono laureati al Centro-Sud";"0,6";"0,2";"-";"-";"1,6";"1,0";"-";"1,2";"0,8";"1,2";"2,2";"-";"0,7";"1,7";"-";"-";"0,4";"-";"-";"0,3";"0,2";"0,1"
"All'estero";"0,9";"0,9";"-";"0,6";"-";"2,4";"1,5";"-";"0,7";"1,2";"0,5";"-";"1,6";"-";"1,6";"-";"0,3";"-";"-";"0,6";"1,5";"1,7"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Filosofia, letteratura storia e scienze sociali (FLESS) (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze dell'antichita' e del tardoantico (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi aziendali e giusprivatistici (Dip.)"
"Hanno precedenti esperienze universitarie (%) ";"33,5";"36,5";"14,9";"68,8";"41,4";"8,8";"55,1";"36,6";"7,3";"29,1";"26,6";"33,3";"32,4";"19,3";"47,2";"43,6";"42,8";"43,5";"31,1";"16,3";"30,2";"49,3"
"Portate a termine";"22,8";"29,5";"9,0";"66,3";"39,7";"2,6";"42,3";"32,9";"2,2";"13,2";"12,2";"27,5";"7,0";"11,0";"41,5";"35,5";"31,6";"37,0";"15,5";"10,6";"23,8";"45,4"
"Non portate a termine";"10,8";"7,0";"6,0";"2,5";"1,7";"6,2";"12,8";"3,7";"5,2";"15,9";"14,4";"5,8";"25,4";"8,3";"5,7";"8,2";"11,2";"6,5";"15,5";"5,8";"6,4";"3,9"
"Nessuna precedente esperienza universitaria";"66,0";"62,8";"85,1";"30,0";"58,6";"91,2";"42,3";"63,4";"92,2";"70,9";"73,0";"66,7";"67,4";"79,8";"52,8";"54,5";"56,8";"56,5";"68,0";"83,7";"69,5";"49,5"
"Motivazioni molto importanti nella scelta del corso di laurea (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Fattori sia culturali sia professionalizzanti";"46,2";"33,5";"38,8";"36,9";"41,4";"57,7";"26,9";"35,4";"56,8";"59,1";"39,2";"46,4";"54,0";"43,1";"47,2";"59,1";"42,5";"32,6";"28,2";"48,7";"44,3";"51,5"
"Fattori prevalentemente culturali";"31,0";"43,0";"50,7";"51,9";"22,4";"28,4";"67,9";"52,4";"25,1";"14,1";"20,9";"42,0";"25,2";"39,4";"32,1";"16,4";"33,4";"39,1";"62,1";"20,2";"31,9";"20,5"
"Fattori prevalentemente professionalizzanti";"7,5";"3,9";"1,5";"1,9";"10,3";"6,7";"1,3";"-";"7,3";"10,0";"8,7";"5,8";"9,0";"1,8";"3,8";"6,4";"7,2";"4,3";"1,0";"15,7";"9,1";"11,2"
"Né gli uni né gli altri";"14,9";"19,2";"9,0";"9,4";"25,9";"6,2";"3,8";"12,2";"10,6";"16,4";"30,0";"5,8";"11,3";"15,6";"17,0";"16,4";"16,6";"23,9";"6,8";"15,4";"14,1";"16,9"
"Età all'immatricolazione (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Regolare o 1 anno di ritardo";"77,2";"79,6";"92,5";"71,3";"75,8";"94,1";"73,8";"94,1";"93,7";"84,4";"65,7";"79,7";"79,2";"88,3";"73,8";"64,3";"63,9";"62,3";"80,9";"87,5";"65,8";"80,0"
"2 o più anni di ritardo";"22,8";"20,4";"7,5";"28,7";"24,2";"5,9";"26,2";"5,9";"6,3";"15,6";"34,3";"20,3";"20,8";"11,7";"26,2";"35,7";"36,1";"37,7";"19,1";"12,5";"34,2";"20,0"
"Punteggio degli esami (medie, in 30-mi) ";"26,5";"27,4";"25,3";"27,4";"25,7";"24,2";"28,4";"27,3";"26,1";"25,3";"25,7";"26,8";"26,7";"25,8";"26,1";"26,3";"27,1";"26,3";"27,4";"25,5";"26,3";"26,0"
"Voto di laurea (medie, in 110-mi) ";"104,4";"107,0";"100,8";"107,1";"103,5";"100,2";"109,9";"107,1";"102,9";"101,8";"102,4";"105,5";"107,0";"102,3";"105,2";"105,4";"104,6";"104,4";"106,7";"99,7";"101,9";"102,3"
"Regolarità negli studi (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"In corso";"41,6";"31,8";"31,4";"53,2";"33,9";"29,3";"53,1";"42,4";"26,7";"26,7";"48,8";"39,2";"54,1";"30,8";"49,2";"48,7";"51,9";"18,9";"22,9";"36,6";"32,4";"43,6"
"1° anno fuori corso";"24,1";"31,3";"23,9";"31,6";"24,2";"21,0";"21,5";"18,8";"19,5";"23,0";"19,9";"20,3";"20,1";"20,0";"26,2";"22,6";"23,8";"26,4";"24,2";"22,9";"29,2";"26,7"
"2° anno fuori corso";"11,7";"14,1";"13,2";"8,2";"17,7";"11,7";"8,5";"21,2";"14,5";"13,6";"9,2";"23,0";"9,0";"10,0";"6,6";"15,7";"8,1";"18,9";"17,8";"14,3";"12,5";"13,0"
"3° anno fuori corso";"7,1";"9,0";"8,2";"3,5";"8,1";"6,3";"6,2";"5,9";"11,2";"9,1";"5,5";"6,8";"4,9";"9,2";"3,3";"5,2";"5,3";"13,2";"10,2";"7,3";"8,7";"7,3"
"4° anno fuori corso";"4,6";"4,4";"7,5";"2,3";"4,8";"9,8";"1,5";"3,5";"6,6";"7,4";"7,0";"2,7";"3,3";"8,3";"-";"3,5";"3,6";"11,3";"7,6";"3,4";"5,2";"3,8"
"5° anno fuori corso e oltre";"10,9";"9,4";"15,7";"1,2";"11,3";"22,0";"9,2";"8,2";"21,5";"20,2";"9,7";"8,1";"8,6";"21,7";"14,8";"4,3";"7,3";"11,3";"17,2";"15,5";"12,0";"5,6"
"Durata degli studi (medie, in anni) ";"5,1";"4,5";"5,6";"3,1";"4,5";"7,7";"4,0";"4,4";"8,0";"5,7";"5,2";"4,7";"5,2";"7,3";"4,9";"3,8";"4,3";"5,0";"5,3";"5,4";"5,2";"3,9"
"Ritardo alla laurea (medie, in anni) ";"1,6";"1,4";"2,2";"0,5";"1,5";"2,7";"1,2";"1,4";"2,9";"2,4";"1,3";"1,6";"1,2";"2,7";"1,9";"0,9";"1,0";"1,9";"2,2";"2,1";"2,1";"1,0"
"Indice di ritardo (rapporto fra ritardo e durata legale del corso) ";"0,46";"0,50";"0,69";"0,20";"0,52";"0,61";"0,40";"0,47";"0,68";"0,81";"0,35";"0,50";"0,30";"0,65";"0,55";"0,32";"0,34";"0,69";"0,74";"0,63";"0,65";"0,37"
"5. CONDIZIONI DI STUDIO"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Filosofia, letteratura storia e scienze sociali (FLESS) (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze dell'antichita' e del tardoantico (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi aziendali e giusprivatistici (Dip.)"
"Hanno alloggiato a meno di un'ora di viaggio dalla sede degli studi (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Più del 50% della durata degli studi";"74,1";"68,3";"66,4";"81,3";"84,5";"77,3";"69,2";"91,5";"73,7";"75,9";"84,0";"75,4";"75,8";"82,6";"73,6";"74,5";"69,4";"67,4";"72,8";"76,6";"68,8";"77,7"
"Meno del 50%";"24,9";"30,5";"32,1";"16,9";"13,8";"21,1";"29,5";"8,5";"25,5";"23,2";"14,4";"24,6";"23,1";"17,4";"26,4";"23,6";"29,3";"32,6";"23,3";"23,4";"30,2";"22,2"
"Hanno frequentato regolarmente (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Più del 75% degli insegnamenti previsti";"66,1";"57,9";"92,5";"95,6";"86,2";"95,4";"66,7";"85,4";"33,7";"79,5";"65,8";"84,1";"91,0";"84,4";"69,8";"70,9";"59,3";"91,3";"68,0";"45,2";"35,9";"55,2"
"Tra il 50% e il 75%";"19,3";"26,9";"6,7";"2,5";"5,2";"3,6";"19,2";"11,0";"27,6";"13,6";"19,8";"13,0";"6,0";"11,9";"18,9";"17,3";"24,3";"6,5";"19,4";"28,5";"32,2";"25,9"
"Tra il 25% e il 50%";"8,6";"9,6";"0,7";"1,3";"3,4";"-";"10,3";"2,4";"19,9";"3,6";"8,4";"-";"1,5";"2,8";"11,3";"7,3";"9,8";"-";"7,8";"18,3";"18,5";"11,0"
"Meno del 25%";"5,4";"5,2";"-";"-";"3,4";"-";"3,8";"1,2";"18,1";"2,7";"4,2";"2,9";"0,9";"-";"-";"2,7";"6,0";"2,2";"1,9";"7,7";"12,4";"7,9"
"Hanno usufruito del servizio di borse di studio (%)";"28,4";"29,9";"33,6";"34,4";"24,1";"21,1";"28,2";"23,2";"24,2";"26,8";"22,4";"26,1";"25,6";"21,1";"28,3";"27,3";"34,2";"13,0";"28,2";"29,8";"33,2";"28,7"
"Hanno svolto periodi di studio all'estero nel corso degli studi universitari (%)";"8,8";"22,3";"5,2";"3,1";"1,7";"7,7";"9,0";"12,2";"7,8";"2,3";"4,6";"11,6";"11,3";"7,3";"5,7";"7,3";"3,4";"6,5";"3,9";"8,0";"8,1";"5,9"
"Con Erasmus o altro programma dell'Unione Europea";"5,4";"13,0";"2,2";"1,9";"1,7";"4,6";"6,4";"3,7";"3,7";"0,9";"2,7";"7,2";"9,5";"5,5";"3,8";"5,5";"1,9";"4,3";"1,0";"3,5";"4,7";"3,3"
"Altra esperienza riconosciuta dal corso di studi";"0,9";"2,3";"0,7";"-";"-";"-";"1,3";"4,9";"0,9";"-";"0,8";"2,9";"1,1";"0,9";"1,9";"0,9";"0,1";"2,2";"1,9";"0,6";"0,7";"0,6"
"Iniziativa personale";"2,4";"6,9";"2,2";"1,3";"-";"2,6";"1,3";"3,7";"3,2";"1,4";"1,1";"1,4";"0,8";"0,9";"-";"0,9";"1,3";"-";"1,0";"3,8";"2,7";"2,0"
"Non hanno compiuto studi all'estero";"91,0";"77,2";"94,8";"96,9";"98,3";"92,3";"91,0";"87,8";"92,2";"97,7";"95,1";"88,4";"88,7";"91,7";"94,3";"90,9";"96,6";"93,5";"95,1";"90,7";"91,9";"93,8"
"1 o più esami all'estero convalidati (%)";"4,6";"12,1";"1,5";"-";"-";"0,5";"6,4";"1,2";"3,0";"0,5";"2,7";"1,4";"9,0";"2,8";"5,7";"5,5";"1,5";"4,3";"1,0";"2,6";"4,0";"2,9"
"Hanno preparato all'estero una parte significativa della tesi (%)";"2,8";"5,3";"1,5";"2,5";"1,7";"4,1";"9,0";"6,1";"2,4";"1,4";"1,9";"2,9";"1,5";"-";"3,8";"1,8";"1,9";"10,9";"1,0";"3,2";"3,0";"2,8"
"Hanno svolto tirocini/stage o lavoro riconosciuti dal corso di laurea (%)";"57,2";"58,8";"32,1";"87,5";"82,8";"89,7";"23,1";"46,3";"1,9";"79,5";"44,1";"2,9";"75,5";"76,1";"58,5";"70,9";"80,5";"80,4";"29,1";"9,3";"53,7";"47,6"
"Tirocini organizzati dal corso e svolti presso l'università";"13,1";"3,3";"22,4";"67,5";"67,2";"7,2";"3,8";"20,7";"0,4";"61,8";"0,4";"-";"22,0";"42,2";"1,9";"6,4";"11,4";"50,0";"12,6";"0,6";"-";"0,2"
"Tirocini organizzati dal corso e svolti al di fuori dell'università";"37,6";"45,4";"8,2";"18,8";"13,8";"74,2";"16,7";"20,7";"0,4";"14,5";"31,2";"1,4";"51,6";"26,6";"52,8";"57,3";"59,2";"19,6";"10,7";"5,1";"50,0";"34,4"
