"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia (attiva fino al 2006) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza (attiva fino al 2006) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)";"Scienze matematiche, fisiche e naturali (attiva fino al 2006) (Fac.)";"Scienze politiche (Fac.)"
"Non portate a termine";"8,3";"8,5";"3,9";"4,6";"3,0";"16,3";"6,3";"14,3";"13,0";"2,2";"12,3";"8,8";"8,2"
"Nessuna precedente esperienza universitaria";"85,4";"83,7";"90,8";"93,4";"92,6";"80,2";"92,7";"79,8";"85,7";"80,4";"77,6";"82,5";"87,0"
"Motivazioni molto importanti nella scelta del corso di laurea (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Fattori sia culturali sia professionalizzanti";"56,3";"60,5";"67,7";"67,2";"67,5";"28,3";"49,5";"62,9";"55,8";"59,8";"48,8";"53,8";"46,9"
"Fattori prevalentemente culturali";"27,9";"23,3";"11,1";"18,3";"17,6";"64,4";"33,3";"22,6";"24,7";"29,3";"34,0";"33,3";"36,3"
"Fattori prevalentemente professionalizzanti";"7,2";"4,7";"13,2";"9,5";"8,6";"0,5";"3,0";"7,7";"7,8";"5,4";"6,4";"5,6";"4,1"
"Né gli uni né gli altri";"7,0";"10,9";"7,1";"3,3";"5,5";"5,4";"12,6";"5,1";"7,8";"5,4";"7,4";"6,2";"10,3"
"Età all'immatricolazione (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Regolare o 1 anno di ritardo";"81,6";"89,4";"83,4";"91,3";"91,3";"86,4";"91,3";"60,1";"84,1";"96,9";"74,4";"89,9";"78,5"
"2 o più anni di ritardo";"18,4";"10,6";"16,6";"8,7";"8,7";"13,6";"8,7";"39,9";"15,9";"3,1";"25,6";"10,1";"21,5"
"Punteggio degli esami (medie, in 30-mi) ";"26,6";"25,8";"26,2";"24,2";"25,8";"27,9";"27,2";"26,6";"25,7";"27,3";"27,6";"26,0";"26,3"
"Voto di laurea (medie, in 110-mi) ";"105,5";"105,2";"105,6";"99,5";"101,7";"109,2";"106,2";"106,4";"102,4";"108,5";"108,4";"104,5";"103,4"
"Regolarità negli studi (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"In corso";"27,7";"18,9";"26,1";"12,6";"11,2";"15,4";"17,7";"39,8";"27,3";"75,0";"46,7";"25,1";"13,3"
"1° anno fuori corso";"21,2";"16,7";"20,1";"19,3";"14,1";"22,9";"25,4";"30,2";"14,8";"14,6";"21,9";"21,0";"21,5"
"2° anno fuori corso";"17,1";"19,7";"22,1";"16,5";"19,8";"19,8";"20,9";"12,1";"8,0";"10,4";"12,0";"17,0";"23,3"
"3° anno fuori corso";"8,9";"6,8";"8,5";"15,0";"12,3";"12,4";"10,7";"5,2";"5,7";"-";"6,2";"9,4";"10,2"
"4° anno fuori corso";"6,4";"13,6";"5,5";"11,8";"9,7";"9,2";"6,2";"2,5";"9,1";"-";"4,8";"6,1";"7,5"
"5° anno fuori corso e oltre";"18,6";"24,2";"17,7";"24,8";"32,9";"20,3";"19,2";"10,2";"35,2";"-";"8,4";"21,3";"24,2"
"Durata degli studi (medie, in anni) ";"6,1";"7,6";"6,0";"8,1";"7,5";"6,5";"6,4";"5,4";"8,7";"3,2";"4,8";"6,4";"6,7"
"Ritardo alla laurea (medie, in anni) ";"2,2";"3,1";"2,2";"2,8";"3,4";"2,6";"2,5";"1,3";"3,8";"0,2";"1,2";"2,5";"2,8"
"Indice di ritardo (rapporto fra ritardo e durata legale del corso) ";"0,57";"0,75";"0,59";"0,59";"0,86";"0,69";"0,67";"0,30";"0,92";"0,08";"0,32";"0,64";"0,74"
"5. CONDIZIONI DI STUDIO"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia (attiva fino al 2006) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza (attiva fino al 2006) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)";"Scienze matematiche, fisiche e naturali (attiva fino al 2006) (Fac.)";"Scienze politiche (Fac.)"
"Hanno alloggiato a meno di un'ora di viaggio dalla sede degli studi (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Più del 50% della durata degli studi";"69,7";"68,2";"72,5";"78,8";"66,0";"66,3";"70,7";"71,0";"80,5";"82,6";"66,3";"71,9";"66,4"
"Meno del 50%";"28,6";"30,2";"27,0";"20,7";"32,0";"32,8";"27,8";"26,6";"19,5";"17,4";"30,9";"26,5";"31,2"
"Hanno frequentato regolarmente (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Più del 75% degli insegnamenti previsti";"53,2";"72,9";"34,1";"90,0";"24,1";"49,1";"38,1";"91,4";"93,5";"96,7";"55,1";"81,1";"24,7"
"Tra il 50% e il 75%";"25,0";"19,4";"39,3";"8,7";"27,0";"29,7";"39,6";"5,3";"6,5";"3,3";"25,1";"13,5";"30,8"
"Tra il 25% e il 50%";"12,4";"4,7";"16,0";"0,8";"26,2";"12,7";"18,2";"1,1";"-";"-";"10,8";"2,3";"22,9"
"Meno del 25%";"8,5";"2,3";"10,1";"-";"22,0";"8,3";"3,8";"0,9";"-";"-";"7,2";"1,6";"20,5"
"Hanno usufruito del servizio di borse di studio (%)";"23,3";"14,7";"23,0";"23,7";"20,5";"24,1";"22,0";"20,9";"15,6";"28,3";"28,3";"23,0";"22,9"
"Hanno svolto periodi di studio all'estero nel corso degli studi universitari (%)";"5,6";"7,8";"7,9";"0,8";"3,1";"3,8";"31,8";"2,6";"5,2";"-";"2,3";"1,7";"6,2"
"Con Erasmus o altro programma dell'Unione Europea";"2,7";"5,4";"5,9";"0,4";"1,0";"1,9";"11,4";"1,1";"3,9";"-";"0,9";"1,0";"0,7"
"Altra esperienza riconosciuta dal corso di studi";"0,5";"-";"0,3";"0,4";"0,3";"0,5";"2,3";"0,4";"1,3";"-";"0,7";"0,2";"0,3"
"Iniziativa personale";"2,4";"2,3";"1,6";"-";"1,7";"1,2";"17,9";"1,1";"-";"-";"0,7";"0,4";"5,1"
"Non hanno compiuto studi all'estero";"93,0";"90,7";"91,1";"97,1";"95,5";"95,8";"67,7";"95,8";"87,0";"98,9";"96,6";"96,4";"92,5"
"1 o più esami all'estero convalidati (%)";"2,6";"4,7";"5,9";"-";"1,0";"1,9";"11,6";"1,3";"2,6";"-";"0,8";"0,7";"0,3"
"Hanno preparato all'estero una parte significativa della tesi (%)";"5,1";"13,2";"5,8";"7,9";"3,4";"4,0";"11,6";"5,3";"9,1";"3,3";"3,0";"3,8";"6,5"
"Hanno svolto tirocini/stage o lavoro riconosciuti dal corso di laurea (%)";"44,8";"89,9";"33,7";"70,1";"2,0";"10,6";"36,9";"71,4";"51,9";"90,2";"81,3";"48,9";"16,8"
"Presso l'università";"11,7";"4,7";"1,0";"9,5";"0,7";"2,6";"0,8";"43,7";"40,3";"68,5";"6,5";"33,7";"-"
"Al di fuori dell'università";"32,5";"85,3";"32,3";"58,1";"1,1";"8,0";"35,6";"26,6";"10,4";"21,7";"73,4";"14,8";"16,8"
"Nessuna esperienza di tirocinio o lavoro riconosciuto";"53,7";"10,1";"65,3";"27,8";"95,1";"88,2";"61,9";"27,3";"44,2";"8,7";"18,2";"49,1";"80,8"
"Mesi impiegati per la tesi/prova finale (medie)";"6,0";"10,6";"4,6";"5,3";"5,4";"7,0";"5,6";"7,0";"8,3";"3,6";"6,0";"7,3";"5,9"
"6. LAVORO DURANTE GLI STUDI"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia (attiva fino al 2006) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza (attiva fino al 2006) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)";"Scienze matematiche, fisiche e naturali (attiva fino al 2006) (Fac.)";"Scienze politiche (Fac.)"
"Hanno esperienze di lavoro (%) ";"73,4";"77,5";"79,5";"68,9";"71,6";"74,5";"84,3";"53,2";"71,4";"45,7";"78,6";"67,3";"79,5"
"Lavoratori-studenti";"5,8";"7,8";"7,8";"1,7";"6,0";"5,4";"3,5";"4,8";"5,2";"-";"7,3";"2,3";"12,0"
"Altre esperienze di lavoro con continuità a tempo pieno";"3,4";"8,5";"3,7";"4,6";"2,6";"2,6";"4,5";"3,1";"1,3";"-";"3,7";"3,2";"3,1"
"Lavoro a tempo parziale";"21,8";"22,5";"22,3";"24,1";"20,9";"21,5";"26,3";"12,5";"16,9";"10,9";"26,6";"18,9";"22,3"
"Lavoro occasionale, saltuario, stagionale";"42,4";"38,8";"45,6";"38,6";"42,1";"45,0";"50,0";"32,7";"48,1";"34,8";"41,0";"42,9";"42,1"
"Nessuna esperienza di lavoro";"25,8";"21,7";"19,6";"29,5";"27,7";"25,5";"15,4";"45,1";"24,7";"54,3";"21,2";"31,6";"18,5"
"Lavoro coerente con gli studi";"16,8";"32,6";"20,8";"13,3";"8,2";"16,5";"21,2";"16,5";"20,8";"2,2";"21,6";"14,5";"10,6"
"7. GIUDIZI SULL'ESPERIENZA UNIVERSITARIA"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia (attiva fino al 2006) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza (attiva fino al 2006) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)";"Scienze matematiche, fisiche e naturali (attiva fino al 2006) (Fac.)";"Scienze politiche (Fac.)"
"Sono complessivamente soddisfatti del corso di laurea (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Decisamente sì";"33,3";"29,5";"36,5";"34,0";"33,8";"32,8";"21,0";"31,2";"23,4";"48,9";"33,4";"33,8";"37,3"
"Più sì che no";"51,2";"56,6";"51,7";"51,0";"49,8";"53,8";"54,0";"45,5";"54,5";"44,6";"50,9";"53,4";"48,3"
"Più no che sì";"12,4";"13,2";"9,4";"12,4";"13,2";"10,4";"21,5";"16,5";"15,6";"6,5";"12,1";"10,3";"12,0"
"Decisamente no";"2,1";"-";"1,8";"1,7";"2,6";"1,7";"3,3";"5,3";"2,6";"-";"1,4";"1,6";"1,4"
"Sono soddisfatti dei rapporti con i docenti in generale (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Decisamente sì";"19,4";"24,8";"14,8";"11,2";"18,5";"22,4";"16,7";"23,3";"23,4";"26,1";"21,9";"20,3";"21,2"
"Più sì che no";"56,6";"60,5";"57,4";"58,9";"48,2";"62,3";"52,5";"51,9";"59,7";"64,1";"60,6";"58,5";"54,1"
"Più no che sì";"19,9";"13,2";"23,8";"26,1";"25,6";"13,0";"27,3";"19,8";"13,0";"9,8";"14,0";"18,6";"19,5"
"Decisamente no";"2,7";"-";"3,5";"1,2";"6,4";"1,4";"2,8";"3,1";"-";"-";"1,4";"1,5";"3,8"
"Sono soddisfatti dei rapporti con gli studenti (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Decisamente sì";"59,6";"68,2";"62,8";"63,1";"53,4";"58,7";"60,1";"59,1";"61,0";"56,5";"55,8";"63,7";"65,4"
"Più sì che no";"33,9";"25,6";"32,8";"32,0";"38,9";"34,9";"32,3";"33,4";"28,6";"35,9";"36,0";"31,9";"28,8"
"Più no che sì";"3,8";"2,3";"2,6";"2,5";"4,5";"4,5";"5,1";"4,8";"5,2";"6,5";"4,4";"2,7";"3,8"
"Decisamente no";"1,1";"3,1";"0,7";"1,2";"1,6";"1,2";"2,0";"0,9";"1,3";"-";"1,4";"0,4";"0,3"
"Valutazione delle aule (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Sempre o quasi sempre adeguate";"15,9";"17,8";"19,1";"17,8";"13,7";"12,5";"14,1";"18,2";"31,2";"23,9";"6,6";"24,3";"19,2"
"Spesso adeguate";"42,1";"41,9";"50,2";"44,8";"40,0";"49,3";"46,7";"40,2";"46,8";"50,0";"28,3";"45,9";"43,8"
"Raramente adeguate";"34,2";"34,1";"27,1";"32,4";"37,4";"33,7";"34,6";"33,0";"19,5";"26,1";"49,2";"24,9";"26,4"
"Mai adeguate";"5,7";"3,1";"2,3";"4,6";"6,2";"2,8";"4,0";"6,8";"-";"-";"12,6";"3,6";"5,5"
"Non utilizzate";"1,1";"1,6";"0,9";"-";"2,2";"1,2";"0,3";"-";"-";"-";"1,6";"0,1";"3,8"
"Valutazione delle postazioni informatiche (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Presenti e in numero adeguato";"19,7";"31,8";"33,7";"58,1";"8,0";"9,4";"21,5";"16,5";"48,1";"30,4";"5,3";"29,0";"4,8"
"Presenti, ma in numero inadeguato";"50,5";"58,1";"49,1";"36,5";"43,6";"60,8";"59,8";"53,6";"31,2";"47,8";"48,7";"61,8";"33,9"
"Non presenti";"11,0";"5,4";"3,8";"-";"15,4";"7,1";"5,3";"16,3";"7,8";"15,2";"20,0";"3,9";"22,9"
"Non utilizzate";"17,8";"3,9";"12,9";"4,6";"32,2";"22,4";"12,9";"11,4";"9,1";"6,5";"24,3";"4,3";"36,6"
"Valutazione delle biblioteche (prestito/consultazione, orari di apertura ...) (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Decisamente positiva";"18,3";"33,3";"19,1";"28,6";"18,6";"23,6";"25,3";"19,6";"32,5";"6,5";"13,6";"14,7";"10,3"
"Abbastanza positiva";"57,4";"55,0";"57,1";"58,5";"55,7";"59,2";"60,6";"52,1";"54,5";"45,7";"58,8";"60,0";"56,5"
"Abbastanza negativa";"12,6";"6,2";"11,8";"8,3";"14,5";"10,1";"9,8";"11,4";"2,6";"15,2";"14,2";"15,2";"13,0"
"Decisamente negativa";"4,2";"0,8";"3,5";"2,5";"4,9";"4,0";"1,5";"5,3";"2,6";"9,8";"5,0";"4,4";"4,8"
"Non utilizzate";"6,2";"3,9";"7,7";"1,7";"4,9";"2,6";"2,5";"9,9";"3,9";"22,8";"6,4";"4,3";"13,7"
"Ritengono che il carico di studio degli insegnamenti sia stato sostenibile (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Decisamente sì";"34,2";"26,4";"29,3";"27,4";"28,7";"37,3";"27,8";"37,8";"24,7";"29,3";"50,5";"25,3";"40,4"
"Più sì che no";"51,7";"58,9";"53,9";"56,8";"51,8";"51,7";"59,6";"45,1";"55,8";"62,0";"43,6";"57,1";"49,7"
"Si iscriverebbero di nuovo all'università? (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Sì, allo stesso corso dell'Ateneo";"56,5";"55,0";"61,6";"56,8";"63,3";"52,6";"45,5";"51,0";"46,8";"78,3";"48,9";"63,0";"55,5"
"Sì, ma ad un altro corso dell'Ateneo";"11,3";"12,4";"7,3";"6,6";"5,6";"13,9";"11,4";"7,5";"15,6";"7,6";"21,3";"10,1";"11,3"
"Sì, allo stesso corso ma in un altro Ateneo";"21,3";"19,4";"21,7";"32,0";"22,0";"17,2";"25,3";"35,2";"20,8";"7,6";"17,9";"17,2";"19,2"
"Sì, ma ad un altro corso e in un altro Ateneo";"8,1";"9,3";"7,1";"3,3";"7,7";"13,4";"16,2";"3,3";"7,8";"3,3";"8,6";"6,1";"9,9"
"Non si iscriverebbero più all'università";"1,6";"3,1";"1,8";"0,4";"0,6";"1,7";"1,3";"0,9";"6,5";"3,3";"1,3";"2,7";"3,1"
"8. CONOSCENZE LINGUISTICHE E INFORMATICHE"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia (attiva fino al 2006) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza (attiva fino al 2006) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)";"Scienze matematiche, fisiche e naturali (attiva fino al 2006) (Fac.)";"Scienze politiche (Fac.)"
"Lingue straniere: conoscenza "almeno buona" (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Inglese scritto";"63,5";"53,5";"66,2";"69,7";"56,7";"63,0";"86,4";"54,1";"55,8";"81,5";"55,0";"73,2";"60,3"
"Inglese parlato";"56,1";"49,6";"58,3";"56,4";"53,6";"59,2";"85,4";"44,6";"45,5";"66,3";"47,4";"59,1";"57,5"
"Francese scritto";"24,5";"6,2";"33,7";"17,8";"22,0";"21,9";"53,5";"15,8";"24,7";"18,5";"18,7";"14,1";"44,5"
"Francese parlato";"23,7";"9,3";"33,2";"16,6";"20,6";"21,5";"52,5";"14,5";"20,8";"17,4";"18,1";"13,4";"44,2"
"Spagnolo scritto";"8,4";"5,4";"9,9";"2,5";"2,5";"9,0";"42,2";"3,3";"3,9";"1,1";"7,0";"1,6";"17,5"
"Spagnolo parlato";"8,8";"7,8";"10,2";"3,7";"3,1";"9,4";"41,9";"3,1";"6,5";"-";"7,5";"1,8";"16,8"
"Tedesco scritto";"3,7";"0,8";"3,5";"0,8";"0,8";"2,8";"31,1";"1,3";"1,3";"-";"1,4";"1,0";"3,4"
"Tedesco parlato";"3,3";"-";"2,8";"0,8";"0,7";"2,6";"29,3";"1,1";"1,3";"-";"1,1";"0,9";"3,1"
"Strumenti informatici: conoscenza "almeno buona" (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Navigazione in Internet";"84,8";"79,1";"88,9";"75,5";"81,4";"83,7";"88,6";"82,4";"79,2";"87,0";"83,6";"88,2";"87,0"
"Word processor (elaborazione di testi)";"73,5";"70,5";"79,3";"58,9";"70,3";"71,7";"75,3";"64,4";"49,4";"81,5";"72,8";"81,4";"74,7"
"Fogli elettronici (Excel, ...)";"52,0";"62,0";"64,7";"36,1";"44,5";"39,6";"39,6";"43,5";"39,0";"67,4";"47,8";"69,6";"52,1"
"Sistemi operativi";"55,3";"51,9";"62,1";"42,3";"52,3";"51,9";"49,0";"51,6";"42,9";"54,3";"51,3";"67,4";"56,5"
"Multimedia (elaborazione di suoni, immagini, video)";"36,1";"41,9";"35,4";"35,3";"34,4";"32,3";"27,0";"36,0";"48,1";"46,7";"31,6";"48,1";"37,3"
"Linguaggi di programmazione";"24,3";"13,2";"24,4";"14,9";"22,3";"19,6";"14,6";"18,0";"16,9";"19,6";"21,9";"46,7";"21,2"
"Data base (Oracle, SQL server, Access, ...)";"27,9";"25,6";"35,4";"17,0";"26,3";"22,4";"21,5";"19,3";"13,0";"27,2";"23,8";"42,5";"25,3"
