"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Filosofia, letteratura storia e scienze sociali (FLESS) (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze dell'antichita' e del tardoantico (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi aziendali e giusprivatistici (Dip.)"
"In corso";"39,7";"30,5";"28,0";"52,6";"38,1";"28,7";"48,8";"30,9";"27,5";"21,6";"26,9";"33,9";"52,4";"12,0";"26,4";"47,7";"50,4";"25,0";"20,5";"32,1";"28,3";"51,6"
"1° anno fuori corso";"24,3";"32,9";"16,0";"31,8";"23,8";"15,8";"25,6";"23,6";"21,6";"24,9";"21,5";"27,4";"20,7";"19,7";"37,7";"31,1";"20,0";"15,9";"31,5";"27,1";"33,4";"22,6"
"2° anno fuori corso";"12,2";"14,7";"13,3";"10,4";"11,9";"12,9";"11,6";"25,5";"13,0";"19,9";"17,5";"8,1";"8,8";"17,9";"9,4";"9,1";"10,6";"25,0";"17,1";"11,8";"14,3";"9,3"
"3° anno fuori corso";"7,4";"7,6";"14,7";"3,3";"3,6";"15,3";"3,5";"9,1";"9,3";"6,6";"8,7";"11,3";"6,6";"13,7";"5,7";"6,1";"6,1";"9,1";"8,2";"6,1";"8,1";"6,5"
"4° anno fuori corso";"4,7";"3,9";"9,3";"1,4";"2,4";"7,2";"4,1";"3,6";"6,6";"7,1";"8,7";"8,1";"3,4";"10,3";"5,7";"0,8";"4,2";"9,1";"8,2";"6,5";"4,3";"3,4"
"5° anno fuori corso e oltre";"11,6";"10,5";"18,7";"0,5";"20,2";"20,1";"6,4";"7,3";"22,0";"19,9";"16,7";"11,3";"8,0";"26,5";"15,1";"5,3";"8,8";"15,9";"14,4";"16,4";"11,7";"6,5"
"Durata degli studi (medie, in anni) ";"5,2";"4,8";"5,8";"3,1";"5,2";"7,9";"4,0";"4,9";"8,1";"5,6";"6,1";"4,8";"5,2";"7,7";"5,4";"3,9";"4,4";"5,5";"4,9";"5,3";"5,0";"3,8"
"Ritardo alla laurea (medie, in anni) ";"1,6";"1,7";"2,5";"0,5";"2,1";"2,8";"1,1";"1,8";"2,9";"2,3";"2,1";"1,7";"1,2";"3,1";"2,1";"0,9";"1,2";"2,4";"1,8";"2,1";"1,8";"0,9"
"Indice di ritardo (rapporto fra ritardo e durata legale del corso) ";"0,48";"0,55";"0,79";"0,18";"0,64";"0,60";"0,37";"0,58";"0,70";"0,79";"0,61";"0,58";"0,29";"0,75";"0,62";"0,32";"0,40";"0,82";"0,63";"0,65";"0,58";"0,34"
"5. CONDIZIONI DI STUDIO"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Filosofia, letteratura storia e scienze sociali (FLESS) (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze dell'antichita' e del tardoantico (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi aziendali e giusprivatistici (Dip.)"
"Hanno alloggiato a meno di un'ora di viaggio dalla sede degli studi (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Più del 50% della durata degli studi";"73,1";"68,8";"72,2";"75,1";"76,5";"75,9";"77,1";"80,8";"70,4";"74,4";"73,1";"81,4";"75,9";"77,9";"68,8";"73,2";"71,1";"78,0";"65,7";"73,4";"68,8";"76,1"
"Meno del 50%";"25,7";"30,6";"26,1";"24,3";"21,0";"23,1";"21,0";"17,3";"28,0";"24,2";"24,6";"16,9";"23,1";"20,2";"31,3";"25,2";"27,1";"22,0";"33,3";"26,1";"30,9";"22,6"
"Hanno frequentato regolarmente (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Più del 75% degli insegnamenti previsti";"66,1";"53,8";"94,8";"95,8";"76,5";"93,8";"74,3";"84,6";"29,6";"70,7";"51,5";"84,7";"93,5";"83,7";"68,8";"75,6";"59,0";"95,1";"75,2";"46,9";"34,4";"55,8"
"Tra il 50% e il 75%";"19,2";"30,1";"3,5";"3,7";"14,8";"4,6";"12,4";"7,7";"29,4";"19,1";"21,6";"3,4";"5,2";"14,4";"22,9";"16,5";"22,3";"4,9";"19,0";"27,4";"37,3";"25,8"
"Tra il 25% e il 50%";"8,4";"10,7";"0,9";"0,5";"4,9";"0,5";"7,6";"1,9";"23,0";"4,7";"18,7";"6,8";"0,6";"-";"6,3";"3,9";"9,7";"-";"4,8";"14,9";"15,4";"11,0"
"Meno del 25%";"5,8";"5,1";"0,9";"-";"2,5";"0,5";"4,8";"5,8";"17,5";"4,2";"7,0";"3,4";"0,3";"1,9";"2,1";"2,4";"8,4";"-";"-";"10,8";"12,5";"6,9"
"Hanno usufruito del servizio di borse di studio (%)";"28,4";"30,5";"19,1";"23,8";"22,2";"25,1";"37,1";"21,2";"22,4";"24,2";"33,9";"27,1";"28,1";"16,3";"16,7";"33,1";"34,8";"22,0";"45,7";"22,0";"31,2";"26,5"
"Hanno svolto periodi di studio all'estero nel corso degli studi universitari (%)";"8,1";"22,2";"0,9";"3,7";"1,2";"4,1";"4,8";"1,9";"8,5";"2,8";"4,7";"5,1";"8,8";"7,7";"6,3";"4,7";"3,6";"2,4";"4,8";"5,4";"6,1";"7,9"
"Con Erasmus o altro programma dell'Unione Europea";"4,6";"11,8";"0,9";"-";"-";"4,1";"2,9";"-";"4,6";"1,9";"2,9";"5,1";"6,3";"5,8";"6,3";"2,4";"1,7";"2,4";"3,8";"2,9";"2,3";"3,9"
"Altra esperienza riconosciuta dal corso di studi";"0,9";"2,3";"-";"1,1";"1,2";"-";"-";"1,9";"0,4";"-";"-";"-";"1,0";"-";"-";"-";"0,6";"-";"-";"0,4";"2,3";"0,5"
"Iniziativa personale";"2,6";"8,0";"-";"2,1";"-";"-";"1,9";"-";"3,6";"0,9";"1,8";"-";"1,5";"1,9";"-";"2,4";"1,4";"-";"1,0";"2,1";"1,6";"3,5"
"Non hanno compiuto studi all'estero";"91,6";"77,3";"99,1";"95,8";"98,8";"95,9";"95,2";"98,1";"91,3";"97,2";"94,2";"94,9";"90,9";"92,3";"93,8";"95,3";"96,1";"97,6";"95,2";"94,6";"93,9";"91,8"
"1 o più esami all'estero convalidati (%)";"4,1";"10,4";"0,9";"-";"-";"0,5";"1,9";"-";"3,4";"1,4";"2,9";"-";"5,7";"5,8";"6,3";"2,4";"1,6";"2,4";"3,8";"2,9";"2,9";"3,7"
"Hanno preparato all'estero una parte significativa della tesi (%)";"2,7";"7,2";"-";"3,7";"2,5";"4,6";"4,8";"-";"2,2";"1,9";"0,6";"-";"1,6";"2,9";"2,1";"0,8";"2,0";"2,4";"1,0";"2,5";"2,9";"1,6"
"Hanno svolto tirocini/stage o lavoro riconosciuti dal corso di laurea (%)";"57,5";"55,7";"45,2";"87,8";"80,2";"88,7";"27,6";"55,8";"2,0";"78,1";"46,2";"5,1";"75,8";"84,6";"70,8";"78,0";"74,4";"82,9";"30,5";"13,7";"54,0";"40,8"
"Tirocini organizzati dal corso e svolti presso l'università";"14,0";"2,2";"27,8";"59,3";"58,0";"5,1";"8,6";"36,5";"0,6";"60,5";"0,6";"3,4";"26,0";"39,4";"2,1";"8,7";"8,3";"46,3";"15,2";"1,2";"0,6";"0,5"
"Tirocini organizzati dal corso e svolti al di fuori dell'università";"36,8";"42,6";"16,5";"28,0";"17,3";"78,5";"18,1";"19,2";"0,6";"12,6";"35,1";"1,7";"48,1";"36,5";"64,6";"61,4";"50,8";"24,4";"13,3";"7,1";"51,4";"28,7"
