"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia (attiva fino al 2006) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza (attiva fino al 2006) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)";"Scienze matematiche, fisiche e naturali (attiva fino al 2006) (Fac.)";"Scienze politiche (Fac.)"
"Liceo scientifico";"33,2";"44,1";"30,7";"53,1";"30,4";"26,4";"28,5";"34,4";"53,7";"81,0";"25,8";"54,1";"30,7"
"Liceo socio-psico-pedagogico o ist. magistrale";"7,9";"1,5";"1,1";"2,0";"4,2";"9,1";"7,0";"8,3";"4,9";"-";"23,5";"2,9";"4,3"
"Tecnico";"25,0";"35,3";"54,9";"6,6";"26,7";"8,8";"13,7";"19,0";"17,1";"-";"13,4";"24,6";"32,9"
"Professionale";"4,5";"3,7";"3,0";"6,1";"2,6";"1,9";"3,0";"13,1";"1,2";"9,5";"6,3";"3,2";"3,5"
"Istruzione artistica";"0,5";"-";"0,1";"-";"0,3";"3,0";"-";"0,3";"-";"-";"0,8";"0,1";"0,3"
"Titolo estero";"0,8";"0,7";"1,1";"3,6";"0,2";"0,8";"2,0";"1,8";"-";"-";"0,2";"0,7";"-"
"Voto di diploma (medie, in 100-mi) ";"81,4";"81,0";"83,7";"83,7";"80,0";"82,2";"83,7";"82,3";"78,2";"95,2";"79,6";"83,0";"78,0"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia (attiva fino al 2006) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza (attiva fino al 2006) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)";"Scienze matematiche, fisiche e naturali (attiva fino al 2006) (Fac.)";"Scienze politiche (Fac.)"
"Hanno precedenti esperienze universitarie (%) ";"9,3";"11,1";"3,9";"6,6";"4,5";"17,5";"6,4";"16,3";"15,9";"4,8";"14,0";"9,0";"11,4"
"Portate a termine";"1,3";"7,4";"0,3";"1,1";"0,3";"2,0";"0,5";"4,0";"2,9";"-";"1,4";"2,3";"0,4"
"Non portate a termine";"8,0";"3,7";"3,6";"5,5";"4,2";"15,5";"5,9";"12,3";"13,0";"4,8";"12,6";"6,7";"11,0"
"Nessuna precedente esperienza universitaria";"89,3";"86,7";"93,9";"92,9";"94,2";"81,0";"92,1";"82,4";"84,1";"95,2";"85,1";"89,2";"87,5"
"Età all'immatricolazione (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Regolare o 1 anno di ritardo";"85,5";"89,0";"88,7";"96,4";"91,5";"89,3";"92,2";"57,9";"81,7";"95,2";"82,7";"90,1";"81,3"
"2 o più anni di ritardo";"14,5";"11,0";"11,3";"3,6";"8,5";"10,7";"7,8";"42,1";"18,3";"4,8";"17,3";"9,9";"18,8"
"Punteggio degli esami (medie, in 30-mi) ";"26,6";"25,9";"26,5";"24,8";"25,7";"27,8";"27,5";"26,9";"25,7";"28,2";"27,6";"26,1";"26,6"
"Voto di laurea (medie, in 110-mi) ";"105,8";"105,8";"105,9";"99,7";"101,7";"109,5";"108,8";"108,0";"101,7";"111,7";"108,9";"104,9";"104,9"
"Regolarità negli studi (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"In corso";"21,1";"25,0";"17,9";"18,4";"9,6";"12,4";"9,3";"42,7";"19,5";"95,2";"36,6";"21,4";"10,9"
"1° anno fuori corso";"17,2";"18,4";"15,9";"17,9";"13,8";"21,2";"19,1";"24,4";"9,8";"4,8";"17,6";"15,0";"17,9"
"2° anno fuori corso";"15,3";"19,9";"14,7";"16,3";"14,1";"20,0";"16,7";"12,8";"12,2";"-";"14,2";"17,1";"17,1"
"3° anno fuori corso";"12,3";"13,2";"12,8";"14,8";"14,3";"14,2";"15,4";"6,7";"8,5";"-";"10,3";"10,2";"15,2"
"4° anno fuori corso";"9,3";"4,4";"10,4";"10,2";"11,6";"8,0";"11,5";"3,3";"14,6";"-";"8,6";"9,9";"8,4"
"5° anno fuori corso e oltre";"24,9";"19,1";"28,2";"22,4";"36,7";"24,4";"27,8";"10,1";"35,4";"-";"12,6";"26,4";"30,4"
"Durata degli studi (medie, in anni) ";"7,2";"8,1";"7,4";"7,8";"8,1";"7,3";"7,6";"6,1";"8,5";"2,9";"5,7";"7,4";"7,7"
"Ritardo alla laurea (medie, in anni) ";"2,8";"3,1";"3,0";"2,5";"3,7";"2,9";"3,2";"1,5";"3,4";"0,0";"1,7";"3,0";"3,3"
"Indice di ritardo (rapporto fra ritardo e durata legale del corso) ";"0,69";"0,70";"0,76";"0,51";"0,93";"0,74";"0,81";"0,30";"0,71";"0,01";"0,44";"0,73";"0,82"
"5. CONDIZIONI DI STUDIO"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia (attiva fino al 2006) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza (attiva fino al 2006) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)";"Scienze matematiche, fisiche e naturali (attiva fino al 2006) (Fac.)";"Scienze politiche (Fac.)"
"Hanno alloggiato a meno di un'ora di viaggio dalla sede degli studi (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Più del 50% della durata degli studi";"65,1";"68,1";"70,6";"71,4";"60,4";"62,6";"71,1";"74,9";"81,2";"85,7";"54,2";"71,1";"65,1"
"Meno del 50%";"31,2";"30,4";"28,3";"28,0";"38,5";"35,7";"27,7";"24,2";"18,8";"9,5";"31,7";"27,1";"33,5"
"Hanno frequentato regolarmente (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Più del 75% degli insegnamenti previsti";"46,3";"74,1";"32,1";"84,1";"22,7";"45,1";"41,7";"88,5";"95,7";"100,0";"45,1";"78,8";"25,0"
"Tra il 50% e il 75%";"23,8";"14,8";"31,3";"7,7";"28,2";"27,4";"38,3";"8,4";"4,3";"-";"21,5";"11,3";"27,9"
"Tra il 25% e il 50%";"13,9";"5,2";"22,6";"0,5";"22,8";"14,4";"11,6";"0,9";"-";"-";"9,9";"4,1";"22,4"
"Meno del 25%";"9,7";"2,2";"11,0";"0,5";"22,0";"9,8";"4,9";"0,4";"-";"-";"6,4";"1,5";"19,9"
"Hanno usufruito del servizio di borse di studio (%)";"22,8";"27,4";"22,0";"20,9";"20,6";"25,8";"29,1";"23,8";"21,7";"42,9";"20,1";"22,2";"26,1"
"Hanno svolto periodi di studio all'estero nel corso degli studi universitari (%)";"7,3";"6,7";"6,3";"2,2";"2,8";"4,8";"42,7";"7,5";"4,3";"-";"3,8";"2,0";"7,7"
"Con Erasmus o altro programma dell'Unione Europea";"3,3";"5,9";"3,9";"1,1";"1,3";"3,5";"13,8";"3,5";"2,9";"-";"1,9";"0,7";"3,3"
"Altra esperienza riconosciuta dal corso di studi";"0,8";"-";"0,2";"0,5";"0,1";"-";"5,9";"2,6";"-";"-";"0,5";"0,2";"1,1"
"Iniziativa personale";"3,0";"0,7";"2,0";"0,5";"1,5";"1,3";"22,0";"1,3";"1,4";"-";"1,0";"0,8";"2,9"
"Non hanno compiuto studi all'estero";"90,9";"91,1";"92,0";"94,0";"96,2";"94,3";"57,0";"91,6";"92,8";"100,0";"92,7";"96,4";"90,4"
"1 o più esami all'estero convalidati (%)";"2,7";"4,4";"3,8";"-";"1,0";"2,4";"11,6";"1,8";"2,9";"-";"2,1";"0,3";"1,5"
"Hanno preparato all'estero una parte significativa della tesi (%)";"3,9";"3,0";"3,8";"2,2";"1,1";"3,1";"22,7";"3,1";"4,3";"-";"1,7";"0,8";"3,7"
"Hanno svolto tirocini/stage o lavoro riconosciuti dal corso di laurea (%)";"29,8";"85,9";"5,5";"72,5";"0,9";"6,3";"7,9";"58,1";"46,4";"95,2";"81,3";"33,3";"0,4"
"Presso l'università";"7,3";"3,7";"0,2";"8,2";"0,4";"3,7";"0,7";"42,3";"40,6";"85,7";"7,0";"20,7";"-"
"Al di fuori dell'università";"22,2";"82,2";"5,3";"61,5";"0,4";"2,6";"7,2";"15,9";"5,8";"9,5";"73,6";"12,5";"0,4"
"Nessuna esperienza di tirocinio o lavoro riconosciuto";"68,5";"12,6";"92,6";"26,9";"97,7";"92,3";"90,4";"40,5";"52,2";"4,8";"16,5";"65,0";"97,8"
"Mesi impiegati per la tesi/prova finale (medie)";"7,1";"11,2";"6,4";"6,4";"6,1";"8,5";"8,1";"7,2";"8,3";"3,3";"6,4";"9,0";"6,8"
"6. LAVORO DURANTE GLI STUDI"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia (attiva fino al 2006) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza (attiva fino al 2006) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)";"Scienze matematiche, fisiche e naturali (attiva fino al 2006) (Fac.)";"Scienze politiche (Fac.)"
"Hanno esperienze di lavoro (%) ";"71,0";"77,0";"78,7";"60,4";"68,3";"68,5";"82,7";"52,0";"66,7";"33,3";"70,2";"68,0";"76,1"
"Lavoratori-studenti";"5,0";"7,4";"6,6";"1,6";"5,5";"3,7";"4,4";"3,1";"-";"-";"5,1";"2,6";"10,7"
"Altre esperienze di lavoro con continuità a tempo pieno";"4,1";"8,1";"5,1";"4,4";"3,5";"3,9";"5,4";"2,6";"2,9";"-";"4,5";"3,0";"2,6"
"Lavoro a tempo parziale";"20,1";"20,0";"22,4";"13,7";"19,6";"19,0";"23,0";"12,3";"15,9";"9,5";"23,1";"17,1";"19,9"
"Lavoro occasionale, saltuario, stagionale";"41,8";"41,5";"44,6";"40,7";"39,6";"41,8";"49,9";"33,9";"47,8";"23,8";"37,5";"45,3";"43,0"
"Nessuna esperienza di lavoro";"27,8";"21,5";"20,4";"37,9";"31,1";"31,1";"16,8";"47,1";"31,9";"66,7";"27,1";"31,2";"23,2"
"Lavoro coerente con gli studi";"15,7";"31,9";"20,5";"11,5";"7,2";"13,1";"24,4";"16,7";"15,9";"-";"18,9";"13,1";"9,6"
"7. GIUDIZI SULL'ESPERIENZA UNIVERSITARIA"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia (attiva fino al 2006) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza (attiva fino al 2006) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)";"Scienze matematiche, fisiche e naturali (attiva fino al 2006) (Fac.)";"Scienze politiche (Fac.)"
"Sono complessivamente soddisfatti del corso di laurea (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Decisamente sì";"32,9";"32,6";"34,7";"30,8";"31,6";"39,8";"33,6";"30,0";"27,5";"38,1";"28,2";"32,3";"41,9"
"Più sì che no";"49,2";"50,4";"49,5";"52,2";"49,5";"48,6";"49,4";"44,5";"49,3";"57,1";"48,8";"51,6";"45,2"
"Più no che sì";"12,5";"12,6";"11,6";"14,8";"15,8";"8,8";"14,3";"21,1";"17,4";"4,8";"9,2";"12,3";"9,9"
"Decisamente no";"1,8";"1,5";"2,4";"1,1";"2,2";"1,5";"1,5";"2,2";"4,3";"-";"0,8";"2,3";"1,8"
"Sono soddisfatti dei rapporti con i docenti in generale (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Decisamente sì";"19,1";"19,3";"14,8";"16,5";"17,4";"25,8";"26,9";"19,4";"24,6";"23,8";"18,1";"19,7";"17,6"
"Più sì che no";"54,9";"68,1";"54,3";"59,9";"46,7";"58,9";"53,1";"57,7";"50,7";"71,4";"55,3";"60,6";"54,4"
"Più no che sì";"19,6";"9,6";"24,0";"20,9";"28,9";"13,6";"17,3";"20,3";"20,3";"4,8";"12,7";"15,9";"24,3"
"Decisamente no";"2,9";"-";"4,8";"2,2";"6,0";"1,1";"2,0";"1,8";"2,9";"-";"0,9";"2,0";"2,2"
"Sono soddisfatti dei rapporti con gli studenti (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Decisamente sì";"60,3";"69,6";"65,2";"74,7";"57,8";"58,6";"59,8";"62,6";"65,2";"76,2";"51,7";"65,4";"58,1"
"Più sì che no";"31,2";"24,4";"29,7";"22,0";"35,3";"35,0";"33,8";"30,8";"29,0";"23,8";"30,2";"28,1";"33,5"
"Più no che sì";"3,7";"2,2";"1,9";"0,5";"4,5";"4,2";"4,2";"4,8";"2,9";"-";"4,0";"3,9";"5,1"
"Decisamente no";"0,9";"-";"1,0";"1,6";"1,6";"0,7";"1,2";"0,9";"1,4";"-";"0,7";"0,3";"0,7"
"Valutazione delle aule (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Sempre o quasi sempre adeguate";"14,5";"14,1";"18,6";"10,4";"13,2";"11,8";"25,7";"11,9";"23,2";"-";"4,6";"23,8";"11,8"
"Spesso adeguate";"40,5";"48,9";"46,8";"46,2";"33,4";"51,4";"49,9";"42,3";"49,3";"42,9";"24,5";"46,6";"44,9"
"Raramente adeguate";"35,5";"31,1";"29,7";"40,1";"41,9";"33,0";"21,2";"38,3";"21,7";"57,1";"48,7";"23,5";"36,0"
"Mai adeguate";"5,2";"3,7";"2,8";"3,3";"8,2";"2,6";"1,7";"5,3";"5,8";"-";"8,5";"3,9";"5,5"
"Non utilizzate";"1,0";"0,7";"1,0";"-";"2,5";"0,7";"1,2";"0,9";"-";"-";"0,3";"0,5";"0,7"
"Valutazione delle postazioni informatiche (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Presenti e in numero adeguato";"16,2";"25,9";"26,4";"39,0";"10,6";"9,8";"19,8";"14,5";"42,0";"-";"4,8";"23,2";"8,8"
"Presenti, ma in numero inadeguato";"56,7";"60,0";"52,3";"54,4";"56,0";"59,7";"55,1";"63,0";"29,0";"52,4";"56,7";"66,0";"52,2"
"Non presenti";"8,7";"8,1";"6,8";"2,2";"9,9";"7,9";"6,2";"12,3";"13,0";"33,3";"12,0";"4,4";"12,5"
"Non utilizzate";"14,5";"4,4";"13,0";"4,4";"21,4";"21,9";"18,5";"8,4";"14,5";"14,3";"12,0";"4,6";"25,0"
"Valutazione delle biblioteche (prestito/consultazione, orari di apertura ...) (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Decisamente positiva";"19,1";"33,3";"19,5";"21,4";"18,9";"23,4";"30,4";"14,5";"29,0";"9,5";"11,6";"20,0";"12,1"
"Abbastanza positiva";"57,6";"46,7";"56,7";"61,0";"59,1";"58,0";"59,5";"56,4";"53,6";"61,9";"56,5";"59,8";"55,1"
"Abbastanza negativa";"11,9";"13,3";"11,8";"12,1";"13,0";"10,9";"6,4";"15,4";"8,7";"14,3";"11,8";"9,7";"19,5"
"Decisamente negativa";"4,6";"0,7";"5,9";"2,7";"4,9";"5,3";"2,0";"4,4";"-";"9,5";"3,8";"5,3";"6,6"
"Non utilizzate";"3,6";"4,4";"4,9";"1,6";"3,2";"2,0";"1,5";"7,9";"8,7";"4,8";"2,6";"3,6";"5,9"
"Ritengono che il carico di studio degli insegnamenti sia stato sostenibile (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Decisamente sì";"34,0";"32,6";"30,8";"30,2";"30,4";"46,2";"33,8";"30,4";"26,1";"28,6";"39,5";"26,3";"43,4"
"Più sì che no";"47,8";"50,4";"52,3";"50,0";"49,5";"43,3";"48,6";"51,1";"58,0";"66,7";"38,8";"52,7";"44,9"
"Si iscriverebbero di nuovo all'università? (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Sì, allo stesso corso dell'Ateneo";"61,1";"63,0";"66,7";"57,1";"63,5";"66,1";"60,5";"53,3";"47,8";"90,5";"51,3";"64,0";"64,0"
"Sì, ma ad un altro corso dell'Ateneo";"10,0";"7,4";"7,1";"7,7";"7,1";"10,9";"11,9";"7,0";"11,6";"-";"15,6";"11,2";"8,5"
"Sì, allo stesso corso ma in un altro Ateneo";"16,2";"14,1";"17,1";"27,5";"18,8";"9,6";"13,1";"31,3";"30,4";"4,8";"12,3";"17,4";"9,6"
"Sì, ma ad un altro corso e in un altro Ateneo";"8,0";"8,9";"6,3";"7,1";"8,8";"10,5";"12,1";"5,7";"7,2";"4,8";"7,3";"4,4";"14,0"
"Non si iscriverebbero più all'università";"1,7";"4,4";"1,8";"-";"1,4";"2,2";"2,2";"1,3";"1,4";"-";"1,1";"2,0";"2,9"
"8. CONOSCENZE LINGUISTICHE E INFORMATICHE"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia (attiva fino al 2006) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza (attiva fino al 2006) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)";"Scienze matematiche, fisiche e naturali (attiva fino al 2006) (Fac.)";"Scienze politiche (Fac.)"
"Lingue straniere: conoscenza "almeno buona" (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Inglese scritto";"56,9";"52,6";"60,5";"71,4";"45,9";"54,3";"84,4";"57,3";"53,6";"66,7";"42,7";"69,1";"62,5"
"Inglese parlato";"50,8";"45,9";"53,2";"65,9";"44,0";"47,7";"81,0";"46,7";"47,8";"71,4";"37,6";"56,0";"57,4"
"Francese scritto";"23,1";"6,7";"30,0";"14,8";"19,7";"21,9";"47,7";"16,7";"20,3";"23,8";"16,7";"13,6";"42,3"
"Francese parlato";"22,5";"8,9";"28,5";"12,6";"20,4";"21,0";"48,1";"14,1";"18,8";"23,8";"16,9";"11,8";"40,4"
"Spagnolo scritto";"8,0";"5,2";"3,9";"2,7";"1,8";"9,2";"30,4";"2,6";"1,4";"-";"9,6";"1,8";"27,9"
"Spagnolo parlato";"8,0";"5,2";"3,9";"1,1";"2,4";"8,3";"29,1";"3,1";"4,3";"-";"9,7";"2,3";"27,6"
"Tedesco scritto";"3,3";"2,2";"2,1";"1,1";"1,5";"2,6";"21,5";"0,9";"1,4";"-";"1,6";"0,8";"4,4"
"Tedesco parlato";"3,1";"2,2";"1,7";"1,1";"1,5";"2,4";"20,5";"0,4";"1,4";"-";"1,4";"1,1";"4,0"
"Strumenti informatici: conoscenza "almeno buona" (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Navigazione in Internet";"76,9";"77,8";"83,3";"70,3";"70,6";"73,3";"79,5";"78,0";"84,1";"71,4";"70,3";"86,9";"82,7"
"Word processor (elaborazione di testi)";"64,1";"70,4";"73,5";"59,3";"53,7";"63,9";"64,9";"57,7";"47,8";"76,2";"58,9";"78,3";"65,1"
"Fogli elettronici (Excel, ...)";"41,4";"56,3";"57,9";"39,6";"29,7";"31,5";"31,4";"37,0";"34,8";"57,1";"32,4";"65,0";"38,2"
"Sistemi operativi";"44,9";"48,9";"53,9";"48,4";"38,6";"38,3";"41,2";"43,6";"30,4";"71,4";"35,9";"61,9";"46,7"
"Multimedia (elaborazione di suoni, immagini, video)";"21,9";"23,0";"22,3";"23,1";"19,0";"15,5";"15,8";"26,4";"29,0";"38,1";"17,8";"38,3";"21,0"
"Linguaggi di programmazione";"18,2";"8,1";"18,2";"18,1";"15,2";"12,3";"12,1";"14,5";"8,7";"23,8";"15,7";"41,7";"13,6"
"Data base (Oracle, SQL server, Access, ...)";"23,0";"21,5";"29,4";"24,2";"18,5";"17,9";"16,8";"22,5";"10,1";"38,1";"16,3";"40,7";"23,5"
"Realizzazione siti web";"11,2";"8,1";"11,3";"11,0";"8,0";"5,0";"5,4";"12,3";"7,2";"4,8";"8,6";"31,4";"7,7"
"Reti di trasmissione dati";"12,1";"5,2";"11,1";"16,5";"10,9";"6,8";"8,1";"11,5";"8,7";"19,0";"11,3";"23,2";"12,9"
"CAD/CAM/CAE - Progettazione assistita";"7,5";"16,3";"6,6";"8,2";"7,0";"6,3";"3,5";"9,7";"4,3";"14,3";"5,6";"13,3";"7,4"
"9. PROSPETTIVE DI STUDIO"
